,Australia,Australia (%)
Abbotsbury,2438.0,63.4
Australia,13629481.0,72.6
Abbotsford,3256.0,67.1
Acacia Gardens,1235.0,69.6
Adamstown,4131.0,84.8
Adamstown Heights,4313.0,82.8
Airds,2775.0,67.6
Albion Park,8454.0,80.7
Albion Park Rail,5563.0,76.7
Alexandria,2674.0,63.7
Alfords Point,2695.0,75.6
Allambie Heights,4773.0,70.7
Allawah,1748.0,40.2
Ambarvale,5239.0,69.4
Annandale,5470.0,67.4
Argenton,1052.0,82.1
Arncliffe,4723.0,51.1
Artarmon,4257.0,52.7
Ashbury,1909.0,59.2
Ashcroft,1920.0,58.8
Ashfield,8617.0,42.4
Asquith,2264.0,73.7
Auburn,9873.0,37.3
Austinmer,1743.0,78.7
Avoca Beach,3342.0,81.7
Balgowlah,4226.0,68.3
Balgowlah Heights,2247.0,71.7
Balgownie,4524.0,73.2
Balmain,5739.0,63.7
Balmain East,1169.0,66.8
Bangor,4567.0,80.5
Banksia,1481.0,49.4
Bankstown,9674.0,38.2
Bar Beach,1046.0,78.1
Barden Ridge,3148.0,81.4
Bardwell Park,1335.0,60.2
Bardwell Valley,1149.0,60.0
Barnsley,1649.0,89.9
Barrack Heights,4353.0,68.0
Barrack Point,459.0,80.5
Bass Hill,5293.0,61.5
Bateau Bay,9318.0,83.7
Baulkham Hills,23282.0,69.6
Bayview,2255.0,71.9
Beacon Hill,4159.0,69.4
Beaconsfield,396.0,57.5
Beecroft,6084.0,71.5
Belfield,3037.0,53.5
Bella Vista,2784.0,62.4
Bellambi,3205.0,73.6
Bellevue Hill,5569.0,58.2
Belmont,5206.0,86.4
Belmont North,4788.0,88.2
Belmont South,997.0,88.0
Belmore,5115.0,41.3
Belrose,5512.0,72.7
Bensville,1492.0,84.9
Berala,3232.0,41.8
Berkeley,5183.0,69.3
Berkeley Vale,7048.0,75.1
Berowra,3229.0,74.7
Berowra Heights,4019.0,78.4
Beverley Park,1340.0,64.6
Beverly Hills,5165.0,59.2
Bexley,9561.0,53.6
Bexley North,2227.0,56.9
Bidwill,3063.0,67.1
Birchgrove,2004.0,69.9
Birmingham Gardens,1480.0,83.7
Birrong,1475.0,51.6
Blackalls Park,2389.0,86.4
Blackbutt,2135.0,70.1
Blackett,2441.0,69.9
Blacksmiths,1546.0,89.6
Blacktown,21445.0,57.3
Blackwall,1400.0,82.1
Blairmount,438.0,77.4
Blakehurst,3703.0,69.5
Blaxland,5740.0,81.8
Blue Bay,697.0,82.9
Blue Haven,3796.0,80.9
Bolton Point,1982.0,86.5
Bondi,4001.0,45.7
Bondi Beach,5015.0,46.6
Bondi Junction,3395.0,44.4
Bonnet Bay,1940.0,83.4
Bonnyrigg,3678.0,41.6
Bonnyrigg Heights,2965.0,41.9
Booker Bay,1079.0,81.4
Boolaroo,1050.0,88.4
Booragul,1386.0,84.9
Bossley Park,7031.0,48.8
Botany,4506.0,60.4
Bow Bowing,1018.0,62.5
Bradbury,6604.0,73.1
Broadmeadow,1162.0,80.0
Bronte,4438.0,65.6
Brookvale,1400.0,56.2
Budgewoi,2423.0,82.5
Buff Point,2840.0,83.1
Bulli,4275.0,79.8
Burwood,4134.0,37.1
Burwood Heights,603.0,62.7
Busby,2530.0,62.6
Cabarita,776.0,66.8
Cabramatta,4978.0,25.7
Cabramatta West,2524.0,38.7
Cambridge Gardens,1711.0,78.5
Cambridge Park,4707.0,76.8
Camden,2490.0,81.2
Camden South,3850.0,82.7
Cammeray,3664.0,62.0
Campbelltown,6705.0,67.5
Camperdown,3607.0,66.1
Campsie,6457.0,31.0
Canada Bay,767.0,63.5
Canley Heights,3798.0,39.2
Canley Vale,3265.0,32.3
Canterbury,2346.0,43.1
Canton Beach,843.0,75.3
Cardiff,4274.0,84.8
Cardiff Heights,1484.0,83.5
Cardiff South,2322.0,86.5
Caringbah,16391.0,79.6
Carlingford,11470.0,58.9
Carlton,4897.0,51.3
Carramar,1121.0,36.1
Carrington,1361.0,84.6
Carss Park,871.0,75.7
Cartwright,1272.0,56.3
Castle Cove,1331.0,57.3
Castle Hill,21309.0,67.6
Castlecrag,1696.0,64.2
Casula,6552.0,58.5
Caves Beach,3535.0,85.8
Cecil Hills,3001.0,51.6
Centennial Park,1151.0,54.8
Charlestown,9604.0,84.7
Charmhaven,1880.0,83.8
Chatswood,4571.0,44.7
Chatswood West,4136.0,55.2
Cheltenham,1481.0,74.9
Cherrybrook,10776.0,57.9
Chester Hill,5557.0,55.8
Chifley,2040.0,68.3
Chippendale,1556.0,47.2
Chipping Norton,6023.0,67.0
Chiswick,855.0,65.3
Chittaway Bay,1701.0,85.6
Chittaway Point,633.0,79.5
Church Point,770.0,68.8
Claremont Meadows,2386.0,68.5
Claymore,2183.0,61.1
Clontarf,1039.0,63.5
Clovelly,2956.0,67.8
Coal Point,1415.0,84.7
Coledale,722.0,80.3
Collaroy,10246.0,77.8
Colyton,5562.0,68.4
Como,3055.0,83.2
Concord,8431.0,63.3
Concord West,3855.0,65.1
Condell Park,4980.0,55.5
Coniston,1066.0,57.3
Connells Point,2031.0,72.1
Coogee,8053.0,60.1
Cooks Hill,2021.0,80.1
Copacabana,2266.0,82.6
Cordeaux Heights,3710.0,76.3
Corrimal,6918.0,72.9
Cranebrook,10209.0,78.1
Cremorne,6019.0,59.0
Cremorne Point,1082.0,60.5
Cringila,1006.0,42.8
Cromer,5145.0,74.2
Cronulla,12355.0,75.9
Croudace Bay,337.0,87.8
Crows Nest,1995.0,60.5
Croydon,5009.0,55.1
Croydon Park,5773.0,54.7
Curl Curl,1403.0,76.0
Currans Hill,3472.0,78.8
Daceyville,765.0,62.7
Daleys Point,369.0,80.9
Dapto,8116.0,75.3
Darling Point,2302.0,56.5
Darlinghurst,4176.0,45.5
Darlington,1145.0,56.1
Davidson,1833.0,72.1
Davistown,1683.0,87.2
Dawes Point,169.0,49.0
Dean Park,1796.0,54.7
Dee Why,9219.0,56.1
Denistone,2457.0,70.5
Denistone East,1239.0,64.0
Denistone West,559.0,71.6
Dharruk,1811.0,63.2
Dolans Bay,920.0,81.1
Dolls Point,753.0,62.0
Doonside,8092.0,59.3
Double Bay,1768.0,54.9
Dover Heights,1754.0,52.4
Drummoyne,6842.0,66.4
Dudley,1985.0,87.8
Dulwich Hill,6129.0,49.2
Dundas,5582.0,58.3
Dundas Valley,3940.0,58.4
Dural,2542.0,67.1
Eagle Vale,3938.0,66.8
Earlwood,8913.0,52.9
East Gosford,2655.0,79.7
East Hills,1951.0,76.8
East Killara,1335.0,46.7
East Lindfield,2165.0,63.9
East Ryde,1627.0,72.4
Eastern Creek,388.0,71.2
Eastlakes,2638.0,37.5
Eastwood,7608.0,54.0
Edensor Park,4280.0,45.9
Edgecliff,1659.0,59.9
Edgeworth,6770.0,87.1
Elanora Heights,2838.0,75.6
Elderslie,2208.0,83.7
Eleebana,4922.0,85.5
Elermore Vale,4065.0,84.3
Elizabeth Bay,2483.0,52.0
Emerton,1454.0,63.1
Empire Bay,1269.0,83.3
Emu Heights,2680.0,81.2
Emu Plains,6205.0,76.4
Enfield,1251.0,51.1
Engadine,14855.0,82.8
Enmore,1985.0,56.5
Epping,10870.0,60.2
Erina,3437.0,76.8
Ermington,6655.0,64.7
Erskine Park,4848.0,69.2
Erskineville,3051.0,63.3
Eschol Park,2054.0,73.4
Ettalong Beach,3294.0,80.9
Fairfield,4438.0,30.4
Fairfield East,952.0,41.2
Fairfield Heights,2269.0,41.6
Fairfield West,4721.0,45.8
Fairlight,3541.0,65.8
Fairy Meadow,4470.0,66.3
Farmborough Heights,2930.0,78.0
Faulconbridge,3032.0,78.6
Fennell Bay,1763.0,86.9
Figtree,7594.0,74.2
Five Dock,4422.0,60.7
Fletcher,634.0,89.7
Flinders,1986.0,76.1
Floraville,1148.0,88.6
Forest Lodge,1419.0,62.9
Forestville,4980.0,66.7
Forresters Beach,1964.0,85.0
Frenchs Forest,8769.0,71.3
Garden Suburb,1379.0,86.8
Gateshead,3126.0,85.3
Georges Hall,5232.0,65.9
Georgetown,1488.0,82.9
Girraween,2091.0,58.0
Gladesville,7207.0,67.9
Glebe,6389.0,58.8
Glen Alpine,3029.0,72.6
Glenbrook,4138.0,82.3
Glendale,2636.0,87.1
Glendenning,2597.0,55.2
Glenfield,4361.0,62.4
Glenhaven,4185.0,73.8
Glenmore Park,12433.0,73.5
Glenning Valley,1382.0,193.6
Glenwood,5575.0,60.1
Gordon,3783.0,60.3
Gorokan,5955.0,82.9
Gosford,1894.0,68.9
Granville,11303.0,54.4
Grays Point,2244.0,81.5
Green Point,5020.0,79.8
Green Valley,5062.0,43.9
Greenacre,11037.0,53.5
Greenfield Park,2158.0,40.2
Greenwich,3532.0,66.5
Greystanes,14451.0,66.6
Guildford,5668.0,53.6
Guildford West,2716.0,65.5
Gwynneville,1277.0,65.1
Gymea,5128.0,78.4
Gymea Bay,5443.0,84.9
Haberfield,4125.0,61.3
Halekulani,1956.0,85.0
Hamilton,3116.0,78.7
Hamilton East,835.0,83.8
Hamilton North,727.0,85.6
Hamilton South,2945.0,79.7
Hammondville,2035.0,59.1
Harrington Park,2392.0,79.3
Harris Park,2417.0,35.0
Hassall Grove,2605.0,59.3
Haymarket,539.0,10.6
Heathcote,5068.0,85.5
Hebersham,3603.0,60.3
Heckenberg,1749.0,59.3
Henley,298.0,71.6
Highfields,522.0,87.6
Hillsborough,626.0,89.4
Hillsdale,2194.0,37.9
Hinchinbrook,5166.0,52.2
Holmesville,1352.0,89.8
Holsworthy,2469.0,85.0
Homebush,1921.0,44.3
Homebush West,748.0,28.1
Horningsea Park,1550.0,58.3
Hornsby,10188.0,55.7
Hornsby Heights,4189.0,70.8
Horsley,4185.0,78.5
Hoxton Park,1694.0,50.8
Hunters Hill,6281.0,71.3
Huntleys Point,138.0,81.7
Hurlstone Park,2552.0,50.9
Hurstville,8174.0,40.1
Hurstville Grove,1549.0,69.1
Illawong,5926.0,75.0
Ingleburn,9474.0,66.5
Ingleside,620.0,64.5
Islington,1157.0,82.8
Jamisontown,3684.0,76.0
Jannali,3915.0,78.2
Jesmond,1620.0,69.2
Jewells,2352.0,89.0
Kahibah,2024.0,84.8
Kanahooka,3341.0,73.8
Kangaroo Point,446.0,77.2
Kanwal,3045.0,82.1
Kareela,1955.0,75.9
Kariong,4686.0,78.4
Kearns,2169.0,75.3
Keiraville,2351.0,68.2
Kellyville,9211.0,68.7
Kembla Grange,109.0,82.0
Kensington,5041.0,47.2
Kilaben Bay,1070.0,87.8
Killara,5102.0,65.2
Killarney Heights,2511.0,62.0
Killarney Vale,6097.0,85.5
Kincumber,5537.0,82.8
Kincumber South,461.0,73.3
Kings Langley,6711.0,70.5
Kings Park,2482.0,70.4
Kingsford,6139.0,42.9
Kingsgrove,5827.0,54.0
Kingswood,6074.0,70.2
Kirrawee,7624.0,79.3
Kirribilli,1925.0,55.5
Kogarah,4660.0,43.0
Kogarah Bay,1226.0,65.6
Koolewong,479.0,60.8
Koonawarra,2720.0,72.3
Kotara,3298.0,86.6
Kotara South,966.0,86.0
Kurnell,1642.0,76.9
Kyeemagh,476.0,56.5
Kyle Bay,952.0,76.9
La Perouse,323.0,77.3
Lake Haven,2813.0,81.3
Lake Heights,2105.0,57.1
Lake Illawarra,2405.0,73.8
Lakelands,1332.0,84.9
Lakemba,4686.0,32.4
Lalor Park,5503.0,74.0
Lambton,3766.0,83.0
Lane Cove,5058.0,62.8
Lane Cove North,4905.0,57.6
Lane Cove West,1362.0,64.7
Lansvale,1251.0,51.6
Lapstone,741.0,82.9
Lavender Bay,690.0,64.5
Leichhardt,7995.0,64.0
Leonay,1915.0,76.5
Lethbridge Park,3422.0,70.3
Leumeah,6467.0,71.5
Lewisham,1793.0,61.2
Liberty Grove,644.0,47.1
Lidcombe,5106.0,40.1
Lilli Pilli,1750.0,82.0
Lilyfield,4575.0,65.9
Lindfield,5391.0,65.8
Linley Point,236.0,65.6
Lisarow,3739.0,79.0
Little Bay,1287.0,67.7
Liverpool,7350.0,35.9
Loftus,3319.0,85.1
Long Jetty,4285.0,80.5
Long Point,266.0,74.3
Longueville,1555.0,76.5
Lugarno,4302.0,77.8
Lurnea,4776.0,59.7
Macquarie Fields,8784.0,64.1
Macquarie Hills,2263.0,89.9
Macquarie Links,186.0,57.1
Macquarie Park,2915.0,48.5
Malabar,3037.0,66.7
Mangerton,1850.0,73.1
Manly,7800.0,55.1
Manly Vale,3133.0,63.5
Marayong,4416.0,62.4
Mardi,1794.0,74.6
Marks Point,1446.0,85.9
Marmong Point,362.0,90.3
Maroubra,13993.0,55.2
Marrickville,11244.0,45.3
Marsfield,6009.0,53.4
Maryland,5999.0,87.2
Maryville,854.0,82.7
Mascot,4088.0,51.1
Matraville,5100.0,59.0
Mayfield,7270.0,80.6
Mayfield East,1195.0,81.2
Mayfield West,1410.0,82.6
Mays Hill,307.0,46.4
McMahons Point,1162.0,55.4
Meadowbank,872.0,42.3
Melrose Park,1377.0,69.3
Menai,7863.0,74.5
Merewether,8572.0,86.0
Merewether Heights,1134.0,87.6
Merrylands,9849.0,50.0
Merrylands West,3168.0,57.7
Middle Cove,594.0,62.4
Miller,1906.0,60.4
Millers Point,663.0,53.9
Milperra,3303.0,84.0
Milsons Point,507.0,39.1
Minchinbury,3200.0,61.0
Minmi,581.0,90.2
Minto,7233.0,64.0
Miranda,8878.0,71.4
Mona Vale,6568.0,70.8
Monterey,2329.0,57.5
Moorebank,5114.0,85.8
Mortdale,6087.0,66.1
Mortlake,263.0,73.1
Mosman,16480.0,66.4
Mount Annan,5340.0,80.4
Mount Colah,4890.0,71.3
Mount Druitt,5543.0,48.0
Mount Hutton,2581.0,85.6
Mount Keira,1052.0,75.9
Mount Kembla,757.0,82.2
Mount Lewis,624.0,56.4
Mount Ousley,1329.0,75.9
Mount Pleasant,695.0,74.9
Mount Pritchard,4927.0,55.1
Mount Riverview,2524.0,81.5
Mount Saint Thomas,1082.0,69.7
Mount Warrigal,3945.0,71.0
Narara,6517.0,80.5
Narellan,3024.0,83.0
Narellan Vale,5637.0,81.0
Naremburn,3001.0,61.7
Narrabeen,4553.0,71.6
Narraweena,3653.0,69.5
Narwee,2017.0,51.2
Neutral Bay,5543.0,57.7
New Lambton,7697.0,85.4
New Lambton Heights,2496.0,86.1
Newcastle,1124.0,64.3
Newcastle East,672.0,73.5
Newcastle West,111.0,63.8
Newington,1537.0,52.2
Newport,6458.0,72.2
Newtown,7563.0,60.7
Niagara Park,1949.0,82.3
Norah Head,949.0,86.0
Noraville,2121.0,85.0
Normanhurst,3177.0,71.2
North Avoca,1788.0,83.2
North Balgowlah,2357.0,74.7
North Bondi,4501.0,54.8
North Curl Curl,2348.0,74.1
North Epping,2934.0,70.8
North Gosford,2561.0,79.1
North Lambton,2435.0,81.4
North Manly,1724.0,66.2
North Narrabeen,4073.0,74.8
North Parramatta,4823.0,55.4
North Rocks,5043.0,69.8
North Ryde,6522.0,66.1
North St Marys,2699.0,71.1
North Strathfield,1551.0,50.8
North Sydney,3069.0,55.9
North Turramurra,2536.0,68.9
North Wahroonga,1482.0,66.5
North Willoughby,2216.0,59.6
North Wollongong,1180.0,58.5
Northbridge,3966.0,68.4
Northmead,4755.0,71.8
Northwood,671.0,72.0
Oak Flats,4973.0,74.6
Oakhurst,3551.0,55.9
Oatlands,3265.0,66.5
Oatley,7390.0,78.7
Old Guildford,1185.0,54.8
Old Toongabbie,3429.0,68.5
Ourimbah,2187.0,81.3
Oxley Park,1644.0,68.1
Oyster Bay,4518.0,82.7
Paddington,6522.0,56.7
Padstow,7734.0,63.9
Padstow Heights,2591.0,76.0
Pagewood,2016.0,60.2
Palm Beach,1003.0,62.6
Panania,8189.0,75.8
Parramatta,5966.0,33.2
Peakhurst,5910.0,73.5
Peakhurst Heights,1883.0,79.9
Pearl Beach,123.0,76.9
Pelican,758.0,92.2
Pendle Hill,5380.0,59.4
Pennant Hills,4259.0,69.6
Penrith,8272.0,71.5
Penrose,1122.0,73.9
Penshurst,6144.0,56.4
Petersham,3951.0,60.2
Phillip Bay,508.0,72.4
Picnic Point,4232.0,81.4
Plumpton,3358.0,49.4
Point Clare,2499.0,78.4
Point Frederick,1245.0,76.5
Point Piper,735.0,53.5
Port Kembla,2694.0,58.9
Potts Point,3160.0,44.1
Prairiewood,1513.0,45.8
Prestons,4585.0,54.2
Primbee,1037.0,66.3
Prospect,2593.0,60.6
Punchbowl,7884.0,46.0
Putney,2087.0,72.5
Pymble,6185.0,66.8
Pyrmont,2992.0,38.1
Quakers Hill,14632.0,63.9
Queens Park,1684.0,63.3
Raby,4599.0,72.4
Ramsgate,461.0,63.6
Ramsgate Beach,865.0,64.0
Randwick,14681.0,55.7
Rankin Park,2181.0,85.5
Redfern,5249.0,47.9
Redhead,2761.0,86.4
Regents Park,1888.0,49.3
Regentville,641.0,82.4
Revesby,8349.0,74.7
Revesby Heights,1041.0,82.4
Rhodes,500.0,68.1
Riverstone,4896.0,77.4
Riverview,2463.0,76.1
Riverwood,5335.0,51.2
Rockdale,4590.0,40.2
Rocky Point,205.0,92.8
Rodd Point,847.0,68.3
Rooty Hill,5970.0,53.7
Rose Bay,4341.0,49.1
Rosebery,3042.0,43.7
Roselands,5692.0,57.4
Rosemeadow,5434.0,68.4
Roseville,5604.0,69.9
Roseville Chase,1038.0,68.2
Rouse Hill,2277.0,72.3
Rozelle,4338.0,63.9
Ruse,4510.0,77.6
Rushcutters Bay,995.0,44.9
Russell Lea,3394.0,66.4
Russell Vale,991.0,80.4
Rydalmere,1016.0,71.9
Ryde,12198.0,60.2
Sadleir,1818.0,62.3
San Remo,3261.0,84.0
Sandringham,816.0,73.1
Sans Souci,6063.0,65.3
Saratoga,3070.0,81.3
Scarborough,286.0,82.7
Schofields,2228.0,74.2
Scotland Island,423.0,57.6
Seaforth,4212.0,69.7
Sefton,2965.0,57.9
Seven Hills,11358.0,64.3
Shalvey,2591.0,69.0
Shell Cove,931.0,78.0
Shellharbour,2582.0,77.5
Shelly Beach,1136.0,87.5
Shortland,3583.0,83.3
Silverwater,580.0,52.4
Smithfield,5288.0,51.1
South Coogee,3205.0,64.5
South Granville,1921.0,58.5
South Hurstville,2481.0,57.7
South Penrith,9085.0,75.4
South Turramurra,1950.0,68.1
South Wentworthville,3067.0,63.7
Speers Point,2594.0,85.7
Springfield,3280.0,83.7
Springwood,6389.0,79.8
St Andrews,4290.0,68.7
St Clair,14700.0,69.6
St Helens Park,4188.0,72.8
St Huberts Island,890.0,81.6
St Ives,7911.0,56.9
St Ives Chase,1737.0,56.8
St Johns Park,2262.0,39.3
St Leonards,1248.0,46.9
St Marys,5877.0,63.8
St Peters,1291.0,56.7
Stanhope Gardens,1808.0,66.3
Stanmore,4411.0,63.2
Stockton,3774.0,86.7
Strathfield,9146.0,44.5
Strathfield South,1501.0,49.3
Summer Hill,3379.0,54.0
Surry Hills,6246.0,44.1
Sutherland,6789.0,74.2
Swansea,4082.0,87.4
Swansea Heads,528.0,87.7
Sydenham,490.0,49.1
Sydney,3871.0,26.3
Sylvania,6677.0,74.9
Sylvania Waters,2202.0,65.9
Tacoma,625.0,83.3
Tacoma South,216.0,69.9
Tamarama,876.0,60.3
Taren Point,764.0,69.0
Tarrawanna,1040.0,73.4
Tascott,1315.0,79.2
Tempe,1728.0,51.9
Teralba,1192.0,83.0
Terrey Hills,2196.0,75.8
Terrigal,7363.0,78.2
The Entrance,2097.0,76.1
The Entrance North,884.0,83.7
The Hill,1486.0,77.3
The Junction,1065.0,84.3
Thirroul,4548.0,81.5
Thornleigh,5456.0,71.4
Tighes Hill,1200.0,82.7
Tingira Heights,2607.0,88.6
Toongabbie,8252.0,64.5
Toowoon Bay,407.0,77.7
Toronto,4461.0,87.0
Toukley,3367.0,81.5
Towradgi,2198.0,72.2
Tregear,2748.0,68.8
Tuggerah,740.0,80.3
Tuggerawong,1032.0,83.2
Tumbi Umbi,2835.0,83.8
Turramurra,7070.0,68.8
Turrella,732.0,54.3
Ultimo,1265.0,31.2
Umina Beach,12484.0,82.1
Unanderra,4280.0,72.1
Valentine,4381.0,84.7
Valley Heights,1088.0,80.3
Vaucluse,5044.0,56.5
Villawood,3273.0,48.1
Voyager Point,507.0,66.7
Wahroonga,10262.0,68.2
Waitara,1055.0,62.5
Wakeley,1979.0,40.6
Wallsend,9717.0,84.5
Wamberal,4484.0,82.5
Warabrook,1646.0,81.8
Waratah,3653.0,82.9
Waratah West,2290.0,81.8
Wareemba,894.0,62.9
Warilla,4150.0,71.5
Warners Bay,5542.0,84.1
Warrawee,1813.0,74.8
Warrawong,2389.0,50.6
Warriewood,2166.0,71.9
Warrimoo,1911.0,84.6
Warwick Farm,1940.0,42.3
Watanobbi,2586.0,80.3
Waterloo,2344.0,45.4
Watsons Bay,479.0,73.2
Wattle Grove,5529.0,57.7
Waverley,2072.0,58.4
Waverton,1964.0,61.7
Wentworthville,4860.0,50.9
Werrington,2361.0,67.4
Werrington County,3218.0,78.4
Werrington Downs,2809.0,78.9
West Gosford,1210.0,73.9
West Hoxton,2823.0,59.7
West Pennant Hills,9966.0,62.8
West Pymble,3292.0,70.0
West Ryde,5771.0,53.7
West Wallsend,1481.0,90.6
West Wollongong,3121.0,70.0
Westleigh,3066.0,74.3
Westmead,4542.0,45.4
Wetherill Park,3066.0,48.0
Whalan,4011.0,68.4
Whitebridge,2188.0,90.0
Wickham,525.0,81.1
Wiley Park,3023.0,35.0
Willmot,1800.0,71.1
Willoughby,3351.0,62.2
Willoughby East,1203.0,72.2
Windale,2473.0,84.4
Windang,1813.0,76.6
Winmalee,5123.0,81.1
Winston Hills,6273.0,70.6
Wollongong,8136.0,60.2
Wollstonecraft,4354.0,57.5
Wombarra,633.0,75.4
Woodbine,1808.0,66.4
Woodcroft,1935.0,39.4
Woodpark,836.0,66.2
Woodrising,1322.0,86.8
Woollahra,4008.0,57.0
Woolloomooloo,1465.0,48.2
Woolooware,5643.0,79.3
Woolwich,585.0,73.1
Woonona,7789.0,80.2
Woronora,1470.0,81.8
Woronora Heights,2608.0,86.0
Woy Woy,7994.0,80.8
Woy Woy Bay,408.0,83.1
Wyoming,7041.0,78.5
Wyong,2519.0,79.5
Wyongah,1478.0,85.0
Yagoona,7953.0,54.8
Yarrawarrah,1345.0,88.0
Yattalunga,440.0,80.3
Yennora,540.0,42.2
Yowie Bay,2997.0,82.9
Zetland,364.0,62.7
