,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Dwelling type not stated,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%),Dwelling type not stated (%)
Fairfield East,663.0,8.0,47.0,0.0,3.0,92.0,1.1,6.5,0.0,0.4
Fairfield Heights,1317.0,347.0,68.0,11.0,4.0,75.4,19.9,3.9,0.6,0.2
Fairfield West,2975.0,124.0,12.0,3.0,5.0,95.4,4.0,0.4,0.1,0.2
Fairlight,662.0,338.0,1443.0,13.0,28.0,26.7,13.6,58.1,0.5,1.1
Fairy Meadow,1738.0,333.0,502.0,154.0,5.0,63.6,12.2,18.4,5.6,0.2
Farmborough Heights,1181.0,12.0,13.0,0.0,4.0,97.6,1.0,1.1,0.0,0.3
Faulconbridge,1365.0,11.0,13.0,3.0,10.0,97.4,0.8,0.9,0.2,0.7
Fennell Bay,726.0,6.0,31.0,4.0,3.0,94.3,0.8,4.0,0.5,0.4
Figtree,2992.0,148.0,298.0,173.0,11.0,82.6,4.1,8.2,4.8,0.3
Five Dock,1718.0,397.0,746.0,38.0,49.0,58.3,13.5,25.3,1.3,1.7
Fletcher,226.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Flinders,607.0,303.0,4.0,0.0,0.0,66.4,33.2,0.4,0.0,0.0
Floraville,373.0,78.0,7.0,0.0,4.0,80.7,16.9,1.5,0.0,0.9
Forest Lodge,63.0,579.0,444.0,6.0,4.0,5.7,52.8,40.5,0.5,0.4
Forestville,2431.0,116.0,157.0,0.0,19.0,89.3,4.3,5.8,0.0,0.7
Forresters Beach,744.0,32.0,28.0,3.0,9.0,91.2,3.9,3.4,0.4,1.1
Frenchs Forest,3883.0,115.0,36.0,5.0,22.0,95.6,2.8,0.9,0.1,0.5
Garden Suburb,521.0,3.0,5.0,3.0,0.0,97.9,0.6,0.9,0.6,0.0
Gateshead,1250.0,78.0,27.0,9.0,8.0,91.1,5.7,2.0,0.7,0.6
Georges Hall,2368.0,139.0,15.0,6.0,8.0,93.4,5.5,0.6,0.2,0.3
Georgetown,713.0,23.0,82.0,7.0,0.0,86.4,2.8,9.9,0.8,0.0
Girraween,945.0,234.0,142.0,3.0,3.0,71.2,17.6,10.7,0.2,0.2
Gladesville,2401.0,321.0,1683.0,37.0,25.0,53.7,7.2,37.7,0.8,0.6
Glebe,366.0,2289.0,2358.0,38.0,81.0,7.1,44.6,45.9,0.7,1.6
Glen Alpine,1147.0,6.0,6.0,0.0,4.0,98.6,0.5,0.5,0.0,0.3
Glenbrook,1665.0,47.0,28.0,0.0,9.0,95.2,2.7,1.6,0.0,0.5
Glendale,1070.0,49.0,72.0,3.0,8.0,89.0,4.1,6.0,0.2,0.7
Glendenning,1364.0,9.0,0.0,0.0,5.0,99.0,0.7,0.0,0.0,0.4
Glenfield,1554.0,516.0,38.0,5.0,102.0,70.2,23.3,1.7,0.2,4.6
Glenhaven,1558.0,85.0,10.0,3.0,7.0,93.7,5.1,0.6,0.2,0.4
Glenmore Park,4838.0,296.0,39.0,3.0,72.0,92.2,5.6,0.7,0.1,1.4
Glenning Valley,211.0,12.0,0.0,0.0,4.0,93.0,5.3,0.0,0.0,1.8
Glenwood,2810.0,57.0,0.0,3.0,5.0,97.7,2.0,0.0,0.1,0.2
Gordon,1609.0,124.0,355.0,0.0,16.0,76.5,5.9,16.9,0.0,0.8
Gorokan,2660.0,388.0,102.0,3.0,6.0,84.2,12.3,3.2,0.1,0.2
Gosford,184.0,137.0,875.0,20.0,18.0,14.9,11.1,70.9,1.6,1.5
Granville,5125.0,376.0,1204.0,44.0,58.0,75.3,5.5,17.7,0.6,0.9
Grays Point,859.0,16.0,4.0,0.0,7.0,97.0,1.8,0.5,0.0,0.8
Green Point,1697.0,281.0,110.0,260.0,7.0,72.1,11.9,4.7,11.0,0.3
Green Valley,2568.0,468.0,47.0,0.0,64.0,81.6,14.9,1.5,0.0,2.0
Greenacre,4941.0,1046.0,431.0,14.0,35.0,76.4,16.2,6.7,0.2,0.5
Greenfield Park,1369.0,100.0,0.0,0.0,3.0,93.0,6.8,0.0,0.0,0.2
Greenwich,1074.0,66.0,777.0,0.0,19.0,55.5,3.4,40.1,0.0,1.0
Greystanes,6809.0,196.0,71.0,10.0,46.0,95.5,2.7,1.0,0.1,0.6
Guildford,2612.0,323.0,683.0,21.0,24.0,71.3,8.8,18.6,0.6,0.7
Guildford West,1183.0,145.0,23.0,14.0,8.0,86.2,10.6,1.7,1.0,0.6
Gwynneville,475.0,81.0,227.0,4.0,3.0,60.1,10.3,28.7,0.5,0.4
Gymea,1502.0,483.0,667.0,20.0,9.0,56.0,18.0,24.9,0.7,0.3
Gymea Bay,1946.0,124.0,7.0,5.0,0.0,93.5,6.0,0.3,0.2,0.0
Haberfield,1781.0,331.0,236.0,46.0,9.0,74.1,13.8,9.8,1.9,0.4
Halekulani,764.0,0.0,14.0,203.0,12.0,76.9,0.0,1.4,20.4,1.2
Hamilton,1200.0,177.0,411.0,51.0,5.0,65.1,9.6,22.3,2.8,0.3
Hamilton East,331.0,3.0,57.0,6.0,0.0,83.4,0.8,14.4,1.5,0.0
Hamilton North,349.0,17.0,15.0,3.0,0.0,90.9,4.4,3.9,0.8,0.0
Hamilton South,932.0,162.0,629.0,0.0,7.0,53.9,9.4,36.4,0.0,0.4
Hammondville,928.0,164.0,12.0,0.0,0.0,84.1,14.9,1.1,0.0,0.0
Harrington Park,899.0,3.0,0.0,0.0,0.0,99.7,0.3,0.0,0.0,0.0
Harris Park,549.0,136.0,1819.0,4.0,23.0,21.7,5.4,71.9,0.2,0.9
Hassall Grove,1194.0,25.0,3.0,3.0,0.0,97.5,2.0,0.2,0.2,0.0
Haymarket,3.0,0.0,1320.0,10.0,32.0,0.2,0.0,96.7,0.7,2.3
Heathcote,1587.0,198.0,166.0,41.0,5.0,79.5,9.9,8.3,2.1,0.3
Hebersham,1583.0,158.0,31.0,3.0,9.0,88.7,8.9,1.7,0.2,0.5
Heckenberg,800.0,81.0,12.0,0.0,0.0,89.6,9.1,1.3,0.0,0.0
Henley,125.0,0.0,15.0,0.0,3.0,87.4,0.0,10.5,0.0,2.1
Highfields,234.0,11.0,16.0,0.0,0.0,89.7,4.2,6.1,0.0,0.0
Hillsborough,231.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hillsdale,363.0,174.0,1653.0,3.0,3.0,16.5,7.9,75.3,0.1,0.1
Hinchinbrook,2551.0,192.0,7.0,0.0,26.0,91.9,6.9,0.3,0.0,0.9
Holmesville,514.0,0.0,8.0,3.0,3.0,97.3,0.0,1.5,0.6,0.6
Holsworthy,775.0,29.0,0.0,0.0,6.0,95.7,3.6,0.0,0.0,0.7
Homebush,799.0,64.0,521.0,32.0,4.0,56.3,4.5,36.7,2.3,0.3
Homebush West,268.0,52.0,645.0,27.0,6.0,26.9,5.2,64.6,2.7,0.6
Horningsea Park,586.0,225.0,0.0,0.0,3.0,72.0,27.6,0.0,0.0,0.4
Hornsby,3221.0,392.0,3730.0,12.0,37.0,43.6,5.3,50.5,0.2,0.5
Hornsby Heights,1878.0,35.0,13.0,3.0,5.0,97.1,1.8,0.7,0.2,0.3
Horsley,1569.0,65.0,4.0,0.0,19.0,94.7,3.9,0.2,0.0,1.1
Hoxton Park,857.0,77.0,6.0,3.0,3.0,90.6,8.1,0.6,0.3,0.3
Hunters Hill,1972.0,188.0,575.0,13.0,26.0,71.1,6.8,20.7,0.5,0.9
Huntleys Point,51.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hurlstone Park,1092.0,268.0,402.0,58.0,5.0,59.8,14.7,22.0,3.2,0.3
Hurstville,3300.0,593.0,3469.0,18.0,54.0,44.4,8.0,46.7,0.2,0.7
Hurstville Grove,712.0,24.0,0.0,3.0,3.0,96.0,3.2,0.0,0.4,0.4
Illawong,2078.0,77.0,12.0,0.0,21.0,95.0,3.5,0.5,0.0,1.0
Ingleburn,3590.0,1348.0,149.0,8.0,20.0,70.2,26.4,2.9,0.2,0.4
Ingleside,163.0,132.0,48.0,0.0,5.0,46.8,37.9,13.8,0.0,1.4
Islington,567.0,71.0,50.0,12.0,4.0,80.5,10.1,7.1,1.7,0.6
Jamisontown,1271.0,143.0,300.0,3.0,76.0,70.9,8.0,16.7,0.2,4.2
Jannali,1438.0,101.0,401.0,11.0,16.0,73.1,5.1,20.4,0.6,0.8
Jesmond,549.0,363.0,158.0,0.0,10.0,50.8,33.6,14.6,0.0,0.9
Jewells,866.0,5.0,9.0,3.0,0.0,98.1,0.6,1.0,0.3,0.0
Kahibah,819.0,126.0,51.0,6.0,4.0,81.4,12.5,5.1,0.6,0.4
Kanahooka,1460.0,12.0,101.0,102.0,12.0,86.5,0.7,6.0,6.0,0.7
Kangaroo Point,179.0,0.0,0.0,0.0,3.0,98.4,0.0,0.0,0.0,1.6
Kanwal,1148.0,110.0,35.0,79.0,0.0,83.7,8.0,2.6,5.8,0.0
Kareela,836.0,5.0,0.0,0.0,4.0,98.9,0.6,0.0,0.0,0.5
Kariong,1761.0,150.0,4.0,3.0,7.0,91.5,7.8,0.2,0.2,0.4
Kearns,801.0,31.0,3.0,0.0,0.0,95.9,3.7,0.4,0.0,0.0
Keiraville,939.0,156.0,250.0,6.0,0.0,69.5,11.5,18.5,0.4,0.0
Kellyville,3857.0,101.0,6.0,3.0,45.0,96.1,2.5,0.1,0.1,1.1
Kembla Grange,32.0,8.0,3.0,3.0,0.0,69.6,17.4,6.5,6.5,0.0
Kensington,1030.0,284.0,2595.0,58.0,55.0,25.6,7.1,64.5,1.4,1.4
Kilaben Bay,420.0,9.0,3.0,0.0,4.0,96.3,2.1,0.7,0.0,0.9
Killara,2100.0,30.0,594.0,6.0,7.0,76.7,1.1,21.7,0.2,0.3
Killarney Heights,1321.0,19.0,0.0,0.0,11.0,97.8,1.4,0.0,0.0,0.8
Killarney Vale,2538.0,97.0,60.0,7.0,76.0,91.4,3.5,2.2,0.3,2.7
Kincumber,1686.0,811.0,122.0,6.0,12.0,63.9,30.8,4.6,0.2,0.5
Kincumber South,84.0,6.0,0.0,247.0,0.0,24.9,1.8,0.0,73.3,0.0
Kings Langley,2888.0,129.0,14.0,0.0,4.0,95.2,4.3,0.5,0.0,0.1
Kings Park,1119.0,70.0,8.0,0.0,9.0,92.8,5.8,0.7,0.0,0.7
Kingsford,1969.0,946.0,2497.0,40.0,50.0,35.8,17.2,45.4,0.7,0.9
Kingsgrove,3380.0,132.0,176.0,48.0,105.0,88.0,3.4,4.6,1.2,2.7
Kingswood,1865.0,553.0,695.0,16.0,31.0,59.0,17.5,22.0,0.5,1.0
Kirrawee,2524.0,456.0,563.0,20.0,4.0,70.8,12.8,15.8,0.6,0.1
Kirribilli,77.0,191.0,1696.0,13.0,9.0,3.9,9.6,85.4,0.7,0.5
Kogarah,1472.0,277.0,2269.0,28.0,54.0,35.9,6.8,55.3,0.7,1.3
Kogarah Bay,619.0,21.0,0.0,3.0,4.0,95.7,3.2,0.0,0.5,0.6
Koolewong,331.0,8.0,10.0,0.0,0.0,94.8,2.3,2.9,0.0,0.0
Koonawarra,1197.0,58.0,0.0,3.0,0.0,95.2,4.6,0.0,0.2,0.0
Kotara,1413.0,40.0,28.0,3.0,34.0,93.1,2.6,1.8,0.2,2.2
Kotara South,432.0,5.0,9.0,0.0,0.0,96.9,1.1,2.0,0.0,0.0
Kurnell,718.0,3.0,7.0,47.0,3.0,92.3,0.4,0.9,6.0,0.4
Kyeemagh,284.0,21.0,0.0,3.0,3.0,91.3,6.8,0.0,1.0,1.0
Kyle Bay,404.0,4.0,3.0,0.0,0.0,98.3,1.0,0.7,0.0,0.0
La Perouse,112.0,8.0,0.0,0.0,3.0,91.1,6.5,0.0,0.0,2.4
Lake Haven,1026.0,204.0,154.0,0.0,3.0,74.0,14.7,11.1,0.0,0.2
Lake Heights,1103.0,134.0,152.0,8.0,0.0,79.0,9.6,10.9,0.6,0.0
Lake Illawarra,804.0,254.0,332.0,5.0,8.0,57.3,18.1,23.7,0.4,0.6
Lakelands,438.0,51.0,0.0,3.0,8.0,87.6,10.2,0.0,0.6,1.6
Lakemba,1311.0,137.0,3488.0,24.0,61.0,26.1,2.7,69.5,0.5,1.2
Lalor Park,2570.0,38.0,295.0,14.0,3.0,88.0,1.3,10.1,0.5,0.1
Lambton,1510.0,263.0,111.0,13.0,37.0,78.1,13.6,5.7,0.7,1.9
Lane Cove,1221.0,355.0,1907.0,16.0,33.0,34.6,10.1,54.0,0.5,0.9
Lane Cove North,1279.0,212.0,2260.0,3.0,92.0,33.3,5.5,58.8,0.1,2.4
Lane Cove West,602.0,58.0,143.0,0.0,0.0,75.0,7.2,17.8,0.0,0.0
Lansvale,768.0,0.0,19.0,4.0,4.0,96.6,0.0,2.4,0.5,0.5
Lapstone,322.0,3.0,10.0,0.0,0.0,96.1,0.9,3.0,0.0,0.0
Lavender Bay,40.0,123.0,349.0,3.0,3.0,7.7,23.7,67.4,0.6,0.6
Leichhardt,2536.0,1732.0,1178.0,51.0,49.0,45.7,31.2,21.2,0.9,0.9
Leonay,836.0,3.0,3.0,0.0,13.0,97.8,0.4,0.4,0.0,1.5
Lethbridge Park,1487.0,40.0,120.0,0.0,13.0,89.6,2.4,7.2,0.0,0.8
Leumeah,2632.0,371.0,186.0,3.0,17.0,82.0,11.6,5.8,0.1,0.5
Lewisham,478.0,223.0,433.0,13.0,23.0,40.9,19.1,37.0,1.1,2.0
Liberty Grove,56.0,249.0,230.0,0.0,0.0,10.5,46.5,43.0,0.0,0.0
Lidcombe,2779.0,538.0,615.0,59.0,22.0,69.2,13.4,15.3,1.5,0.5
Lilli Pilli,657.0,17.0,0.0,3.0,18.0,94.5,2.4,0.0,0.4,2.6
Lilyfield,1638.0,577.0,645.0,16.0,13.0,56.7,20.0,22.3,0.6,0.4
Lindfield,2053.0,90.0,724.0,13.0,6.0,71.1,3.1,25.1,0.5,0.2
Linley Point,123.0,0.0,7.0,0.0,0.0,94.6,0.0,5.4,0.0,0.0
Lisarow,1285.0,170.0,12.0,3.0,0.0,87.4,11.6,0.8,0.2,0.0
Little Bay,460.0,71.0,169.0,5.0,4.0,64.9,10.0,23.8,0.7,0.6
Liverpool,2749.0,746.0,3799.0,59.0,84.0,37.0,10.0,51.1,0.8,1.1
Loftus,1230.0,107.0,16.0,5.0,3.0,90.4,7.9,1.2,0.4,0.2
Long Jetty,1504.0,600.0,258.0,60.0,47.0,60.9,24.3,10.4,2.4,1.9
Long Point,93.0,16.0,0.0,0.0,4.0,82.3,14.2,0.0,0.0,3.5
Longueville,579.0,9.0,4.0,0.0,55.0,89.5,1.4,0.6,0.0,8.5
Lugarno,1805.0,36.0,26.0,3.0,0.0,96.5,1.9,1.4,0.2,0.0
Lurnea,2281.0,291.0,58.0,6.0,13.0,86.1,11.0,2.2,0.2,0.5
Macquarie Fields,3197.0,1254.0,109.0,6.0,20.0,69.7,27.3,2.4,0.1,0.4
Macquarie Hills,812.0,13.0,7.0,5.0,3.0,96.7,1.5,0.8,0.6,0.4
Macquarie Links,94.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Macquarie Park,15.0,574.0,1960.0,71.0,47.0,0.6,21.5,73.5,2.7,1.8
Malabar,873.0,81.0,418.0,5.0,6.0,63.1,5.9,30.2,0.4,0.4
Mangerton,666.0,108.0,309.0,4.0,0.0,61.3,9.9,28.4,0.4,0.0
Manly,793.0,695.0,5010.0,74.0,80.0,11.9,10.4,75.3,1.1,1.2
Manly Vale,853.0,48.0,1157.0,11.0,6.0,41.1,2.3,55.8,0.5,0.3
Marayong,2183.0,109.0,92.0,12.0,5.0,90.9,4.5,3.8,0.5,0.2
Mardi,593.0,229.0,0.0,0.0,12.0,71.1,27.5,0.0,0.0,1.4
Marks Point,395.0,268.0,109.0,3.0,0.0,51.0,34.6,14.1,0.4,0.0
Marmong Point,145.0,0.0,18.0,6.0,3.0,84.3,0.0,10.5,3.5,1.7
Maroubra,3600.0,2058.0,4328.0,129.0,69.0,35.3,20.2,42.5,1.3,0.7
Marrickville,3734.0,1733.0,3579.0,172.0,70.0,40.2,18.7,38.5,1.9,0.8
Marsfield,1655.0,1812.0,1187.0,9.0,39.0,35.2,38.5,25.2,0.2,0.8
Maryland,2146.0,115.0,22.0,0.0,3.0,93.9,5.0,1.0,0.0,0.1
Maryville,422.0,52.0,7.0,3.0,3.0,86.7,10.7,1.4,0.6,0.6
Mascot,1683.0,405.0,592.0,27.0,32.0,61.4,14.8,21.6,1.0,1.2
Matraville,1705.0,854.0,480.0,32.0,13.0,55.3,27.7,15.6,1.0,0.4
Mayfield,3107.0,196.0,573.0,38.0,46.0,78.5,4.9,14.5,1.0,1.2
Mayfield East,560.0,42.0,67.0,0.0,3.0,83.3,6.3,10.0,0.0,0.4
Mayfield West,585.0,64.0,73.0,3.0,3.0,80.4,8.8,10.0,0.4,0.4
Mays Hill,175.0,50.0,6.0,0.0,18.0,70.3,20.1,2.4,0.0,7.2
McMahons Point,128.0,209.0,841.0,6.0,9.0,10.7,17.5,70.5,0.5,0.8
Meadowbank,57.0,14.0,988.0,8.0,24.0,5.2,1.3,90.6,0.7,2.2
Melrose Park,647.0,18.0,6.0,3.0,8.0,94.9,2.6,0.9,0.4,1.2
Menai,2415.0,611.0,216.0,0.0,31.0,73.8,18.7,6.6,0.0,0.9
Merewether,2708.0,558.0,1064.0,16.0,15.0,62.1,12.8,24.4,0.4,0.3
Merewether Heights,497.0,3.0,3.0,0.0,3.0,98.2,0.6,0.6,0.0,0.6
Merrylands,4129.0,792.0,2065.0,15.0,63.0,58.5,11.2,29.2,0.2,0.9
Merrylands West,1186.0,141.0,693.0,0.0,4.0,58.6,7.0,34.2,0.0,0.2
Middle Cove,341.0,7.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0
Miller,761.0,22.0,336.0,0.0,4.0,67.8,2.0,29.9,0.0,0.4
Millers Point,3.0,115.0,526.0,18.0,9.0,0.4,17.1,78.4,2.7,1.3
Milperra,1256.0,15.0,4.0,0.0,0.0,98.5,1.2,0.3,0.0,0.0
Milsons Point,0.0,0.0,702.0,3.0,3.0,0.0,0.0,99.2,0.4,0.4
Minchinbury,1268.0,198.0,6.0,3.0,14.0,85.2,13.3,0.4,0.2,0.9
Minmi,205.0,4.0,0.0,0.0,0.0,98.1,1.9,0.0,0.0,0.0
Minto,2254.0,1200.0,140.0,0.0,26.0,62.3,33.1,3.9,0.0,0.7
Miranda,2655.0,708.0,1624.0,94.0,11.0,52.1,13.9,31.9,1.8,0.2
Mona Vale,2113.0,363.0,973.0,18.0,12.0,60.7,10.4,28.0,0.5,0.3
Monterey,833.0,268.0,627.0,6.0,10.0,47.8,15.4,36.0,0.3,0.6
Moorebank,1775.0,230.0,54.0,8.0,3.0,85.7,11.1,2.6,0.4,0.1
Mortdale,1903.0,408.0,1433.0,32.0,4.0,50.3,10.8,37.9,0.8,0.1
Mortlake,59.0,49.0,46.0,0.0,9.0,36.2,30.1,28.2,0.0,5.5
Mosman,3986.0,1405.0,5439.0,87.0,149.0,36.0,12.7,49.2,0.8,1.3
Mount Annan,2020.0,3.0,4.0,0.0,0.0,99.7,0.1,0.2,0.0,0.0
Mount Colah,2078.0,96.0,49.0,7.0,5.0,93.0,4.3,2.2,0.3,0.2
Mount Druitt,2357.0,695.0,716.0,3.0,17.0,62.2,18.3,18.9,0.1,0.4
Mount Hutton,809.0,220.0,99.0,3.0,3.0,71.3,19.4,8.7,0.3,0.3
Mount Keira,456.0,6.0,17.0,6.0,0.0,94.0,1.2,3.5,1.2,0.0
Mount Kembla,314.0,3.0,0.0,0.0,0.0,99.1,0.9,0.0,0.0,0.0
Mount Lewis,324.0,4.0,3.0,3.0,0.0,97.0,1.2,0.9,0.9,0.0
Mount Ousley,594.0,11.0,42.0,7.0,6.0,90.0,1.7,6.4,1.1,0.9
Mount Pleasant,320.0,3.0,8.0,0.0,0.0,96.7,0.9,2.4,0.0,0.0
Mount Pritchard,2542.0,217.0,127.0,8.0,40.0,86.6,7.4,4.3,0.3,1.4
Mount Riverview,1045.0,3.0,9.0,0.0,0.0,98.9,0.3,0.9,0.0,0.0
Mount Saint Thomas,566.0,29.0,14.0,3.0,3.0,92.0,4.7,2.3,0.5,0.5
Mount Warrigal,1822.0,8.0,8.0,4.0,12.0,98.3,0.4,0.4,0.2,0.6
Narara,2441.0,233.0,10.0,0.0,13.0,90.5,8.6,0.4,0.0,0.5
Narellan,1092.0,110.0,10.0,5.0,0.0,89.7,9.0,0.8,0.4,0.0
Narellan Vale,2047.0,128.0,3.0,0.0,5.0,93.8,5.9,0.1,0.0,0.2
Naremburn,946.0,411.0,780.0,4.0,21.0,43.8,19.0,36.1,0.2,1.0
Narrabeen,633.0,435.0,1864.0,22.0,9.0,21.4,14.7,62.9,0.7,0.3
Narraweena,1430.0,209.0,335.0,4.0,27.0,71.3,10.4,16.7,0.2,1.3
Narwee,936.0,155.0,407.0,5.0,3.0,62.2,10.3,27.0,0.3,0.2
Neutral Bay,440.0,703.0,3928.0,12.0,30.0,8.6,13.7,76.8,0.2,0.6
New Lambton,3144.0,225.0,569.0,20.0,14.0,79.2,5.7,14.3,0.5,0.4
New Lambton Heights,790.0,9.0,20.0,0.0,17.0,94.5,1.1,2.4,0.0,2.0
Newcastle,44.0,185.0,455.0,11.0,44.0,6.0,25.0,61.6,1.5,6.0
Newcastle East,22.0,185.0,238.0,5.0,3.0,4.9,40.8,52.5,1.1,0.7
Newcastle West,0.0,4.0,29.0,30.0,3.0,0.0,6.1,43.9,45.5,4.5
Newington,74.0,160.0,170.0,0.0,0.0,18.3,39.6,42.1,0.0,0.0
Newport,2505.0,132.0,919.0,12.0,11.0,70.0,3.7,25.7,0.3,0.3
Newtown,282.0,3374.0,2144.0,285.0,34.0,4.6,55.1,35.0,4.7,0.6
Niagara Park,719.0,47.0,54.0,0.0,4.0,87.3,5.7,6.6,0.0,0.5
Norah Head,340.0,15.0,9.0,39.0,3.0,83.7,3.7,2.2,9.6,0.7
Noraville,928.0,29.0,45.0,3.0,0.0,92.3,2.9,4.5,0.3,0.0
Normanhurst,1171.0,197.0,59.0,3.0,120.0,75.5,12.7,3.8,0.2,7.7
North Avoca,752.0,23.0,28.0,0.0,3.0,93.3,2.9,3.5,0.0,0.4
North Balgowlah,1004.0,51.0,45.0,0.0,0.0,91.3,4.6,4.1,0.0,0.0
North Bondi,696.0,955.0,1931.0,43.0,12.0,19.1,26.3,53.1,1.2,0.3
North Curl Curl,955.0,82.0,74.0,0.0,0.0,86.0,7.4,6.7,0.0,0.0
North Epping,1311.0,105.0,10.0,0.0,10.0,91.3,7.3,0.7,0.0,0.7
North Gosford,895.0,203.0,118.0,6.0,3.0,73.1,16.6,9.6,0.5,0.2
North Lambton,1070.0,31.0,120.0,0.0,13.0,86.7,2.5,9.7,0.0,1.1
North Manly,816.0,37.0,47.0,3.0,3.0,90.1,4.1,5.2,0.3,0.3
North Narrabeen,1662.0,36.0,81.0,153.0,27.0,84.8,1.8,4.1,7.8,1.4
North Parramatta,889.0,164.0,2271.0,18.0,21.0,26.4,4.9,67.5,0.5,0.6
North Rocks,2264.0,131.0,9.0,3.0,3.0,93.9,5.4,0.4,0.1,0.1
