,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
North Rocks,214.0,4.0,59.0,13.0,73.8,1.4,20.3,4.5
North Ryde,308.0,203.0,188.0,24.0,42.6,28.1,26.0,3.3
North St Marys,143.0,265.0,69.0,16.0,28.9,53.6,14.0,3.2
North Strathfield,359.0,3.0,110.0,13.0,74.0,0.6,22.7,2.7
North Sydney,1288.0,29.0,320.0,30.0,77.3,1.7,19.2,1.8
North Turramurra,55.0,0.0,37.0,11.0,52.9,0.0,35.6,10.6
North Wahroonga,30.0,0.0,23.0,0.0,58.8,0.0,45.1,0.0
North Willoughby,289.0,24.0,88.0,12.0,70.3,5.8,21.4,2.9
North Wollongong,298.0,67.0,109.0,4.0,62.9,14.1,23.0,0.8
Northbridge,252.0,5.0,124.0,6.0,65.3,1.3,32.1,1.6
Northmead,507.0,125.0,126.0,20.0,65.1,16.0,16.2,2.6
Northwood,15.0,0.0,10.0,0.0,53.6,0.0,35.7,0.0
Oak Flats,299.0,20.0,132.0,8.0,65.6,4.4,28.9,1.8
Oakhurst,238.0,19.0,106.0,0.0,65.4,5.2,29.1,0.0
Oatlands,225.0,102.0,76.0,33.0,51.6,23.4,17.4,7.6
Oatley,432.0,0.0,151.0,12.0,72.6,0.0,25.4,2.0
Old Guildford,75.0,11.0,51.0,3.0,53.6,7.9,36.4,2.1
Old Toongabbie,196.0,200.0,67.0,10.0,41.3,42.1,14.1,2.1
Ourimbah,213.0,12.0,87.0,3.0,67.8,3.8,27.7,1.0
Oxley Park,176.0,30.0,59.0,7.0,64.2,10.9,21.5,2.6
Oyster Bay,101.0,3.0,52.0,4.0,62.7,1.9,32.3,2.5
Paddington,1743.0,47.0,596.0,53.0,71.5,1.9,24.4,2.2
Padstow,522.0,359.0,191.0,26.0,47.5,32.7,17.4,2.4
Padstow Heights,73.0,0.0,88.0,3.0,44.2,0.0,53.3,1.8
Pagewood,111.0,59.0,42.0,11.0,49.6,26.3,18.8,4.9
Palm Beach,67.0,0.0,55.0,9.0,51.1,0.0,42.0,6.9
Panania,415.0,435.0,152.0,36.0,39.9,41.9,14.6,3.5
Parramatta,3429.0,321.0,647.0,65.0,76.8,7.2,14.5,1.5
Peakhurst,264.0,280.0,126.0,27.0,37.9,40.2,18.1,3.9
Peakhurst Heights,23.0,45.0,11.0,3.0,27.7,54.2,13.3,3.6
Pearl Beach,24.0,0.0,11.0,3.0,61.5,0.0,28.2,7.7
Pelican,46.0,0.0,15.0,3.0,71.9,0.0,23.4,4.7
Pendle Hill,721.0,304.0,256.0,23.0,55.2,23.3,19.6,1.8
Pennant Hills,307.0,33.0,99.0,11.0,68.4,7.3,22.0,2.4
Penrith,1425.0,576.0,394.0,48.0,58.3,23.6,16.1,2.0
Penrose (Wollongong),38.0,99.0,30.0,4.0,22.1,57.6,17.4,2.3
Penshurst,1027.0,68.0,271.0,24.0,73.8,4.9,19.5,1.7
Petersham,1054.0,73.0,361.0,18.0,70.0,4.8,24.0,1.2
Phillip Bay,16.0,26.0,10.0,0.0,30.8,50.0,19.2,0.0
Picnic Point,156.0,33.0,61.0,6.0,61.7,13.0,24.1,2.4
Plumpton,346.0,7.0,124.0,4.0,71.8,1.5,25.7,0.8
Point Clare,155.0,43.0,72.0,7.0,55.8,15.5,25.9,2.5
Point Frederick,202.0,40.0,71.0,10.0,63.5,12.6,22.3,3.1
Point Piper,93.0,0.0,51.0,8.0,61.2,0.0,33.6,5.3
Port Kembla,211.0,58.0,133.0,16.0,50.2,13.8,31.7,3.8
Potts Point,1420.0,23.0,347.0,24.0,78.2,1.3,19.1,1.3
Prairiewood,54.0,119.0,30.0,4.0,25.8,56.9,14.4,1.9
Prestons,321.0,64.0,118.0,17.0,61.5,12.3,22.6,3.3
Primbee,75.0,34.0,53.0,6.0,45.2,20.5,31.9,3.6
Prospect,145.0,4.0,63.0,3.0,68.1,1.9,29.6,1.4
Punchbowl (Canterbury and Bankstown),885.0,361.0,342.0,35.0,54.6,22.3,21.1,2.2
Putney,93.0,4.0,42.0,3.0,65.5,2.8,29.6,2.1
Pymble,251.0,4.0,88.0,9.0,70.9,1.1,24.9,2.5
Pyrmont,1825.0,214.0,467.0,27.0,72.0,8.4,18.4,1.1
Quakers Hill,1403.0,327.0,403.0,32.0,64.8,15.1,18.6,1.5
Queens Park,193.0,34.0,98.0,5.0,58.5,10.3,29.7,1.5
Raby,223.0,0.0,69.0,3.0,75.6,0.0,23.4,1.0
Ramsgate,47.0,0.0,12.0,3.0,77.0,0.0,19.7,4.9
Ramsgate Beach,166.0,0.0,39.0,3.0,78.3,0.0,18.4,1.4
Randwick,3909.0,159.0,1159.0,93.0,73.5,3.0,21.8,1.7
Rankin Park,62.0,0.0,27.0,3.0,68.1,0.0,29.7,3.3
Redfern,1282.0,1076.0,418.0,55.0,45.3,38.0,14.8,1.9
Redhead,109.0,15.0,68.0,4.0,56.2,7.7,35.1,2.1
Regents Park,319.0,200.0,86.0,9.0,52.0,32.6,14.0,1.5
Regentville,25.0,0.0,23.0,3.0,50.0,0.0,46.0,6.0
Revesby,494.0,533.0,214.0,32.0,38.7,41.8,16.8,2.5
Revesby Heights,30.0,0.0,11.0,5.0,66.7,0.0,24.4,11.1
Rhodes,205.0,13.0,64.0,0.0,72.2,4.6,22.5,0.0
Riverstone,295.0,154.0,139.0,12.0,49.2,25.7,23.2,2.0
Riverview (Lane Cove),62.0,4.0,54.0,10.0,47.3,3.1,41.2,7.6
Riverwood,382.0,1222.0,154.0,51.0,21.1,67.6,8.5,2.8
Rockdale,1556.0,109.0,324.0,26.0,77.3,5.4,16.1,1.3
Rocky Point,4.0,0.0,8.0,0.0,44.4,0.0,88.9,0.0
Rodd Point,46.0,0.0,19.0,0.0,67.6,0.0,27.9,0.0
Rooty Hill,535.0,165.0,235.0,18.0,56.2,17.3,24.7,1.9
Rose Bay,1028.0,14.0,369.0,42.0,70.7,1.0,25.4,2.9
Rosebery,596.0,83.0,172.0,13.0,69.2,9.6,20.0,1.5
Roselands,533.0,171.0,158.0,23.0,60.2,19.3,17.8,2.6
Rosemeadow,301.0,232.0,105.0,11.0,46.5,35.8,16.2,1.7
Roseville,323.0,6.0,128.0,16.0,68.9,1.3,27.3,3.4
Roseville Chase,35.0,0.0,23.0,5.0,57.4,0.0,37.7,8.2
Rouse Hill,200.0,4.0,89.0,6.0,66.7,1.3,29.7,2.0
Rozelle,898.0,51.0,242.0,14.0,74.5,4.2,20.1,1.2
Ruse,172.0,28.0,79.0,6.0,60.8,9.9,27.9,2.1
Rushcutters Bay,444.0,0.0,150.0,8.0,73.5,0.0,24.8,1.3
Russell Lea,312.0,83.0,93.0,8.0,62.5,16.6,18.6,1.6
Russell Vale,43.0,33.0,24.0,6.0,40.2,30.8,22.4,5.6
Rydalmere,48.0,71.0,20.0,9.0,31.8,47.0,13.2,6.0
Ryde,1635.0,317.0,536.0,47.0,64.5,12.5,21.1,1.9
Sadleir,62.0,332.0,49.0,8.0,13.7,73.5,10.8,1.8
San Remo,226.0,15.0,94.0,14.0,65.3,4.3,27.2,4.0
Sandringham,71.0,4.0,22.0,3.0,69.6,3.9,21.6,2.9
Sans Souci,526.0,134.0,149.0,30.0,62.8,16.0,17.8,3.6
Saratoga,133.0,15.0,66.0,3.0,61.9,7.0,30.7,1.4
Scarborough,24.0,0.0,13.0,0.0,64.9,0.0,35.1,0.0
Schofields,205.0,4.0,96.0,14.0,64.1,1.3,30.0,4.4
Scotland Island,23.0,0.0,18.0,0.0,53.5,0.0,41.9,0.0
Seaforth,190.0,65.0,116.0,9.0,50.0,17.1,30.5,2.4
Sefton,197.0,164.0,99.0,14.0,41.5,34.5,20.8,2.9
Seven Hills,682.0,650.0,326.0,37.0,40.2,38.3,19.2,2.2
Shalvey,76.0,446.0,52.0,9.0,13.1,76.6,8.9,1.5
Shell Cove,112.0,0.0,29.0,0.0,78.3,0.0,20.3,0.0
Shellharbour,185.0,55.0,70.0,7.0,58.9,17.5,22.3,2.2
Shelly Beach,77.0,0.0,33.0,3.0,69.4,0.0,29.7,2.7
Shortland,174.0,56.0,107.0,10.0,50.0,16.1,30.7,2.9
Silverwater (Auburn),115.0,0.0,40.0,4.0,72.3,0.0,25.2,2.5
Smithfield,517.0,315.0,265.0,29.0,45.8,27.9,23.5,2.6
South Coogee,154.0,633.0,169.0,26.0,15.7,64.5,17.2,2.6
South Granville,87.0,70.0,67.0,6.0,37.5,30.2,28.9,2.6
South Hurstville,309.0,22.0,92.0,13.0,70.7,5.0,21.1,3.0
South Penrith,509.0,135.0,198.0,18.0,59.3,15.7,23.1,2.1
South Turramurra,45.0,0.0,23.0,0.0,65.2,0.0,33.3,0.0
South Wentworthville,339.0,134.0,85.0,10.0,59.6,23.6,14.9,1.8
Speers Point,166.0,44.0,74.0,9.0,56.1,14.9,25.0,3.0
Springfield (Gosford),118.0,166.0,67.0,6.0,33.1,46.5,18.8,1.7
Springwood,376.0,13.0,196.0,12.0,62.9,2.2,32.8,2.0
St Andrews,189.0,75.0,81.0,11.0,52.9,21.0,22.7,3.1
St Clair (Penrith),604.0,45.0,318.0,25.0,60.9,4.5,32.1,2.5
St Helens Park,425.0,27.0,73.0,9.0,79.7,5.1,13.7,1.7
St Huberts Island,35.0,0.0,12.0,0.0,72.9,0.0,25.0,0.0
St Ives,323.0,0.0,124.0,21.0,69.2,0.0,26.6,4.5
St Ives Chase,48.0,0.0,18.0,3.0,71.6,0.0,26.9,4.5
St Johns Park,98.0,45.0,65.0,10.0,44.7,20.5,29.7,4.6
St Leonards,961.0,10.0,142.0,17.0,85.1,0.9,12.6,1.5
St Marys,964.0,302.0,262.0,46.0,61.4,19.2,16.7,2.9
St Peters,335.0,5.0,64.0,7.0,81.3,1.2,15.5,1.7
Stanhope Gardens,193.0,0.0,96.0,4.0,66.3,0.0,33.0,1.4
Stanmore,945.0,38.0,263.0,19.0,74.4,3.0,20.7,1.5
Stockton,226.0,133.0,113.0,15.0,46.4,27.3,23.2,3.1
Strathfield,1732.0,130.0,382.0,44.0,75.7,5.7,16.7,1.9
Strathfield South,195.0,20.0,37.0,13.0,72.8,7.5,13.8,4.9
Summer Hill (Ashfield),1002.0,19.0,265.0,15.0,77.0,1.5,20.4,1.2
Surry Hills,2447.0,677.0,626.0,53.0,64.3,17.8,16.4,1.4
Sutherland,1239.0,224.0,238.0,22.0,71.9,13.0,13.8,1.3
Swansea,329.0,108.0,106.0,18.0,58.6,19.3,18.9,3.2
Swansea Heads,32.0,0.0,13.0,0.0,71.1,0.0,28.9,0.0
Sydenham,65.0,0.0,34.0,3.0,63.1,0.0,33.0,2.9
Sydney,2036.0,3.0,428.0,42.0,81.1,0.1,17.1,1.7
Sylvania,433.0,132.0,216.0,11.0,54.7,16.7,27.3,1.4
Sylvania Waters,119.0,3.0,35.0,3.0,75.3,1.9,22.2,1.9
Tacoma,16.0,0.0,13.0,0.0,57.1,0.0,46.4,0.0
Tacoma South,4.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0
Tamarama,168.0,0.0,98.0,6.0,61.8,0.0,36.0,2.2
Taren Point,47.0,0.0,22.0,5.0,65.3,0.0,30.6,6.9
Tarrawanna,47.0,74.0,29.0,3.0,30.9,48.7,19.1,2.0
Tascott,90.0,0.0,20.0,0.0,82.6,0.0,18.3,0.0
Tempe,180.0,8.0,73.0,6.0,67.4,3.0,27.3,2.2
Teralba,47.0,10.0,73.0,6.0,34.3,7.3,53.3,4.4
Terrey Hills,47.0,4.0,60.0,4.0,40.9,3.5,52.2,3.5
Terrigal,722.0,22.0,219.0,18.0,73.4,2.2,22.3,1.8
The Entrance,541.0,31.0,125.0,13.0,76.3,4.4,17.6,1.8
The Entrance North,133.0,6.0,48.0,3.0,70.4,3.2,25.4,1.6
The Hill,341.0,8.0,119.0,0.0,72.7,1.7,25.4,0.0
The Junction,160.0,80.0,57.0,3.0,53.0,26.5,18.9,1.0
Thirroul,315.0,32.0,149.0,9.0,62.4,6.3,29.5,1.8
Thornleigh,247.0,70.0,115.0,16.0,54.8,15.5,25.5,3.5
Tighes Hill,133.0,13.0,84.0,5.0,56.1,5.5,35.4,2.1
Tingira Heights,50.0,88.0,36.0,4.0,28.2,49.7,20.3,2.3
Toongabbie,669.0,241.0,253.0,28.0,56.0,20.2,21.2,2.3
Toowoon Bay,55.0,3.0,28.0,5.0,59.8,3.3,30.4,5.4
Toronto,331.0,287.0,132.0,25.0,42.6,36.9,17.0,3.2
Toukley,446.0,78.0,168.0,17.0,62.9,11.0,23.7,2.4
Towradgi,145.0,104.0,95.0,10.0,41.0,29.4,26.8,2.8
Tregear,139.0,494.0,39.0,13.0,20.3,72.0,5.7,1.9
Tuggerah,111.0,0.0,22.0,3.0,82.8,0.0,16.4,2.2
Tuggerawong,53.0,0.0,50.0,9.0,47.7,0.0,45.0,8.1
Tumbi Umbi,129.0,92.0,77.0,3.0,43.1,30.8,25.8,1.0
Turramurra,289.0,20.0,176.0,16.0,57.2,4.0,34.9,3.2
Turrella,13.0,16.0,15.0,5.0,26.0,32.0,30.0,10.0
Ultimo,852.0,150.0,411.0,23.0,59.2,10.4,28.5,1.6
Umina Beach,1133.0,49.0,381.0,41.0,70.7,3.1,23.8,2.6
Unanderra,153.0,503.0,124.0,23.0,19.0,62.6,15.4,2.9
Valentine,161.0,0.0,47.0,10.0,73.9,0.0,21.6,4.6
Valley Heights,33.0,0.0,19.0,0.0,61.1,0.0,35.2,0.0
Vaucluse,481.0,6.0,230.0,32.0,64.5,0.8,30.8,4.3
Villawood,70.0,914.0,73.0,29.0,6.5,84.2,6.7,2.7
Voyager Point,14.0,3.0,22.0,3.0,34.1,7.3,53.7,7.3
Wahroonga,342.0,8.0,225.0,24.0,57.3,1.3,37.7,4.0
Waitara,941.0,88.0,242.0,14.0,73.2,6.8,18.8,1.1
Wakeley,147.0,26.0,73.0,6.0,58.8,10.4,29.2,2.4
Wallsend,619.0,298.0,384.0,23.0,46.9,22.6,29.1,1.7
Wamberal,284.0,0.0,101.0,16.0,70.8,0.0,25.2,4.0
Warabrook,128.0,51.0,61.0,4.0,52.9,21.1,25.2,1.7
Waratah,366.0,195.0,176.0,15.0,48.7,26.0,23.4,2.0
Waratah West,166.0,89.0,79.0,7.0,48.8,26.2,23.2,2.1
Wareemba,90.0,0.0,42.0,9.0,64.3,0.0,30.0,6.4
Warilla,256.0,412.0,154.0,17.0,30.5,49.1,18.4,2.0
Warners Bay,437.0,59.0,177.0,6.0,64.3,8.7,26.0,0.9
Warrawee,39.0,0.0,16.0,4.0,62.9,0.0,25.8,6.5
Warrawong,235.0,541.0,135.0,19.0,25.3,58.2,14.5,2.0
Warriewood,172.0,0.0,115.0,11.0,58.3,0.0,39.0,3.7
Warrimoo,78.0,0.0,45.0,0.0,62.9,0.0,36.3,0.0
Warwick Farm,414.0,475.0,113.0,24.0,40.4,46.3,11.0,2.3
Watanobbi,176.0,203.0,59.0,8.0,39.6,45.7,13.3,1.8
Waterloo,1117.0,1745.0,217.0,63.0,35.6,55.5,6.9,2.0
Watsons Bay,20.0,3.0,36.0,3.0,33.3,5.0,60.0,5.0
Wattle Grove,192.0,42.0,445.0,12.0,27.8,6.1,64.5,1.7
Waverley,383.0,55.0,199.0,19.0,58.2,8.4,30.2,2.9
Waverton,443.0,11.0,144.0,12.0,72.7,1.8,23.6,2.0
Wentworthville,1215.0,253.0,224.0,34.0,70.3,14.6,13.0,2.0
Werrington,374.0,75.0,85.0,6.0,69.3,13.9,15.7,1.1
Werrington County,85.0,3.0,61.0,0.0,55.9,2.0,40.1,0.0
Werrington Downs,95.0,0.0,47.0,3.0,66.9,0.0,33.1,2.1
West Gosford,166.0,27.0,35.0,3.0,72.2,11.7,15.2,1.3
West Hoxton,186.0,11.0,55.0,8.0,71.0,4.2,21.0,3.1
West Pennant Hills,367.0,27.0,146.0,16.0,66.5,4.9,26.4,2.9
West Pymble,84.0,5.0,54.0,0.0,58.7,3.5,37.8,0.0
West Ryde,1326.0,166.0,268.0,27.0,74.2,9.3,15.0,1.5
West Wallsend,43.0,0.0,43.0,6.0,46.7,0.0,46.7,6.5
West Wollongong,295.0,64.0,136.0,7.0,58.6,12.7,27.0,1.4
Westleigh,70.0,7.0,42.0,5.0,56.0,5.6,33.6,4.0
Westmead,1402.0,397.0,219.0,23.0,68.7,19.5,10.7,1.1
Wetherill Park,192.0,27.0,96.0,4.0,59.6,8.4,29.8,1.2
Whalan,163.0,625.0,78.0,18.0,18.5,70.8,8.8,2.0
Whitebridge,83.0,10.0,37.0,3.0,61.9,7.5,27.6,2.2
Wickham,128.0,23.0,80.0,10.0,53.3,9.6,33.3,4.2
Wiley Park,1119.0,96.0,189.0,16.0,78.7,6.8,13.3,1.1
Willmot,76.0,272.0,29.0,8.0,19.7,70.6,7.5,2.1
Willoughby,413.0,27.0,182.0,10.0,65.6,4.3,28.9,1.6
Willoughby East,64.0,0.0,22.0,7.0,70.3,0.0,24.2,7.7
Windale,26.0,768.0,55.0,32.0,2.9,87.1,6.2,3.6
Windang,118.0,3.0,97.0,6.0,53.4,1.4,43.9,2.7
Winmalee,188.0,15.0,71.0,3.0,68.6,5.5,25.9,1.1
Winston Hills,213.0,5.0,83.0,14.0,67.4,1.6,26.3,4.4
Wollongong,2210.0,545.0,712.0,52.0,62.8,15.5,20.2,1.5
Wollstonecraft,1407.0,69.0,339.0,36.0,76.1,3.7,18.3,1.9
Wombarra,34.0,0.0,13.0,3.0,69.4,0.0,26.5,6.1
Woodbine,129.0,0.0,27.0,6.0,79.1,0.0,16.6,3.7
Woodcroft,188.0,34.0,45.0,4.0,69.6,12.6,16.7,1.5
Woodpark,31.0,0.0,18.0,4.0,58.5,0.0,34.0,7.5
Woodrising,70.0,6.0,25.0,4.0,69.3,5.9,24.8,4.0
Woollahra,678.0,12.0,283.0,21.0,67.9,1.2,28.4,2.1
Woolloomooloo,599.0,375.0,166.0,24.0,51.5,32.2,14.3,2.1
Woolooware,256.0,6.0,134.0,16.0,62.0,1.5,32.4,3.9
Woolwich,30.0,0.0,13.0,3.0,65.2,0.0,28.3,6.5
Woonona,508.0,395.0,202.0,23.0,45.0,35.0,17.9,2.0
Woronora,40.0,0.0,22.0,0.0,65.6,0.0,36.1,0.0
Woy Woy,692.0,364.0,278.0,34.0,50.6,26.6,20.3,2.5
Woy Woy Bay,18.0,0.0,9.0,0.0,75.0,0.0,37.5,0.0
Wyoming,346.0,225.0,211.0,19.0,43.1,28.1,26.3,2.4
Wyong,211.0,205.0,104.0,10.0,39.9,38.8,19.7,1.9
Wyongah,90.0,3.0,44.0,3.0,65.2,2.2,31.9,2.2
Yagoona,453.0,497.0,372.0,36.0,33.4,36.7,27.4,2.7
Yarrawarrah,7.0,0.0,9.0,0.0,58.3,0.0,75.0,0.0
Yattalunga,17.0,0.0,5.0,0.0,70.8,0.0,20.8,0.0
Yennora,39.0,123.0,30.0,4.0,19.8,62.4,15.2,2.0
Yowie Bay,69.0,0.0,48.0,4.0,55.6,0.0,38.7,3.2
Zetland,463.0,4.0,95.0,3.0,81.7,0.7,16.8,0.5
