,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Abbotsbury,3943.0,1383.0,10.0,94.1,33.0,0.2
Australia,17095569.0,4416037.0,206358.0,86.1,22.2,1.0
Abbotsford,4089.0,1401.0,47.0,82.7,28.3,1.0
Acacia Gardens,2732.0,1062.0,13.0,87.8,34.1,0.4
Adamstown,4780.0,538.0,18.0,90.8,10.2,0.3
Adamstown Heights,4855.0,656.0,29.0,93.5,12.6,0.6
Airds,3052.0,660.0,3.0,81.6,17.6,0.1
Albion Park,10328.0,1511.0,14.0,91.7,13.4,0.1
Albion Park Rail,6206.0,1116.0,20.0,89.5,16.1,0.3
Alexandria,4386.0,1522.0,54.0,74.9,26.0,0.9
Alfords Point,3201.0,724.0,6.0,94.8,21.4,0.2
Allambie Heights,5839.0,1605.0,54.0,89.3,24.5,0.8
Allawah,3693.0,2567.0,59.0,75.0,52.1,1.2
Ambarvale,6340.0,1667.0,13.0,86.3,22.7,0.2
Annandale,6778.0,1988.0,80.0,81.8,24.0,1.0
Argenton,1227.0,135.0,4.0,91.8,10.1,0.3
Arncliffe,7189.0,3489.0,119.0,84.5,41.0,1.4
Artarmon,6380.0,3415.0,116.0,76.3,40.8,1.4
Ashbury,2812.0,1055.0,20.0,86.7,32.5,0.6
Ashcroft,2599.0,1013.0,14.0,84.1,32.8,0.5
Ashfield,14642.0,10585.0,305.0,68.9,49.8,1.4
Asquith,2742.0,829.0,8.0,88.7,26.8,0.3
Auburn,20583.0,16909.0,258.0,68.7,56.4,0.9
Austinmer,2021.0,335.0,14.0,91.4,15.2,0.6
Avoca Beach,3778.0,591.0,23.0,90.0,14.1,0.5
Balgowlah,5393.0,1627.0,61.0,84.1,25.4,1.0
Balgowlah Heights,2693.0,846.0,23.0,84.4,26.5,0.7
Balgownie,5131.0,1163.0,26.0,92.0,20.9,0.5
Balmain,7402.0,2718.0,109.0,78.7,28.9,1.2
Balmain East,1352.0,466.0,31.0,80.1,27.6,1.8
Bangor,4827.0,819.0,15.0,93.0,15.8,0.3
Banksia,2533.0,1319.0,11.0,85.7,44.6,0.4
Bankstown,20222.0,13417.0,200.0,76.5,50.7,0.8
Bar Beach,1199.0,149.0,11.0,90.7,11.3,0.8
Barden Ridge,3964.0,649.0,7.0,94.6,15.5,0.2
Bardwell Park,2117.0,818.0,20.0,88.7,34.3,0.8
Bardwell Valley,1751.0,662.0,15.0,89.1,33.7,0.8
Barnsley,1707.0,109.0,4.0,94.9,6.1,0.2
Barrack Heights,5495.0,1407.0,6.0,89.2,22.8,0.1
Barrack Point,492.0,74.0,0.0,89.6,13.5,0.0
Bass Hill,6270.0,2349.0,31.0,86.8,32.5,0.4
Bateau Bay,10393.0,1236.0,15.0,89.6,10.7,0.1
Baulkham Hills,30772.0,9965.0,232.0,89.2,28.9,0.7
Bayview,2723.0,699.0,19.0,88.1,22.6,0.6
Beacon Hill,5498.0,1647.0,54.0,89.5,26.8,0.9
Beaconsfield,465.0,187.0,6.0,69.5,28.0,0.9
Beecroft,7912.0,2327.0,85.0,91.9,27.0,1.0
Belfield,4890.0,2249.0,30.0,85.7,39.4,0.5
Bella Vista,5631.0,2439.0,60.0,88.3,38.2,0.9
Bellambi,3657.0,734.0,15.0,87.7,17.6,0.4
Bellevue Hill,7471.0,3089.0,170.0,79.1,32.7,1.8
Belmont,5969.0,550.0,12.0,92.2,8.5,0.2
Belmont North,5226.0,424.0,5.0,93.7,7.6,0.1
Belmont South,1089.0,74.0,5.0,93.4,6.3,0.4
Belmore,9387.0,5696.0,79.0,77.4,47.0,0.7
Belrose,7470.0,2160.0,62.0,88.8,25.7,0.7
Bensville,2569.0,310.0,5.0,91.2,11.0,0.2
Berala,6194.0,4071.0,46.0,78.5,51.6,0.6
Berkeley,6394.0,1693.0,14.0,86.2,22.8,0.2
Berkeley Vale,7274.0,845.0,10.0,91.2,10.6,0.1
Berowra,3901.0,925.0,22.0,91.1,21.6,0.5
Berowra Heights,4667.0,933.0,19.0,90.1,18.0,0.4
Beverley Park,1763.0,652.0,16.0,88.0,32.6,0.8
Beverly Hills,6904.0,3206.0,50.0,85.7,39.8,0.6
Bexley,14955.0,7056.0,116.0,83.5,39.4,0.6
Bexley North,3358.0,1379.0,6.0,89.2,36.6,0.2
Bidwill,3484.0,913.0,0.0,80.6,21.1,0.0
Birchgrove,2790.0,895.0,41.0,79.3,25.4,1.2
Birmingham Gardens,1529.0,262.0,21.0,82.8,14.2,1.1
Birrong,1712.0,778.0,10.0,86.3,39.2,0.5
Blackalls Park,2575.0,250.0,4.0,92.9,9.0,0.1
Blackbutt,2747.0,733.0,15.0,88.4,23.6,0.5
Blackett,2622.0,732.0,6.0,81.7,22.8,0.2
Blacksmiths,1138.0,53.0,0.0,95.8,4.5,0.0
Blacktown,31440.0,15426.0,234.0,80.8,39.6,0.6
Blackwall,1593.0,206.0,11.0,85.7,11.1,0.6
Blairmount,478.0,129.0,0.0,88.4,23.8,0.0
Blakehurst,4756.0,1443.0,24.0,89.1,27.0,0.4
Blaxland,6424.0,1033.0,21.0,92.4,14.9,0.3
Blue Bay,787.0,96.0,5.0,85.4,10.4,0.5
Blue Haven,5324.0,732.0,4.0,90.6,12.5,0.1
Bolton Point,1962.0,154.0,3.0,91.0,7.1,0.1
Bondi,6123.0,3574.0,380.0,65.4,38.2,4.1
Bondi Beach,5920.0,3188.0,582.0,57.1,30.7,5.6
Bondi Junction,5055.0,3097.0,330.0,63.2,38.7,4.1
Bonnet Bay,2032.0,332.0,7.0,93.1,15.2,0.3
Bonnyrigg,7208.0,4232.0,25.0,86.8,51.0,0.3
Bonnyrigg Heights,6356.0,3558.0,28.0,91.6,51.3,0.4
Booker Bay,1222.0,156.0,0.0,87.0,11.1,0.0
Boolaroo,887.0,68.0,0.0,93.0,7.1,0.0
Booragul,1357.0,115.0,0.0,95.1,8.1,0.0
Bossley Park,12328.0,6525.0,44.0,88.5,46.8,0.3
Botany,6243.0,2174.0,33.0,83.7,29.2,0.4
Bow Bowing,1435.0,518.0,11.0,89.6,32.3,0.7
Bradbury,8053.0,2014.0,44.0,87.2,21.8,0.5
Broadmeadow,1588.0,234.0,10.0,91.8,13.5,0.6
Bronte,4853.0,1611.0,74.0,79.3,26.3,1.2
Brookvale,2632.0,1083.0,98.0,81.7,33.6,3.0
Budgewoi,2628.0,344.0,5.0,88.9,11.6,0.2
Buff Point,3085.0,396.0,3.0,90.0,11.6,0.1
Bulli,4826.0,745.0,17.0,88.5,13.7,0.3
Burwood,7811.0,6925.0,222.0,65.2,57.8,1.9
Burwood Heights,873.0,365.0,7.0,86.4,36.1,0.7
Busby,3401.0,1250.0,6.0,86.1,31.7,0.2
Cabarita,1806.0,683.0,20.0,80.9,30.6,0.9
Cabramatta,16005.0,12349.0,105.0,80.8,62.3,0.5
Cabramatta West,5687.0,3378.0,19.0,89.0,52.9,0.3
Cambridge Gardens,1914.0,334.0,3.0,92.1,16.1,0.1
Cambridge Park,5435.0,1029.0,5.0,90.9,17.2,0.1
Camden,2877.0,422.0,13.0,90.9,13.3,0.4
Camden South,3976.0,549.0,5.0,91.1,12.6,0.1
Cammeray,5412.0,2080.0,84.0,80.8,31.1,1.3
Campbelltown,6761.0,1860.0,22.0,84.4,23.2,0.3
Camperdown,4690.0,1779.0,186.0,71.7,27.2,2.8
Campsie,14247.0,12592.0,290.0,69.5,61.4,1.4
Canada Bay,1039.0,389.0,5.0,84.6,31.7,0.4
Canley Heights,8555.0,5320.0,27.0,87.2,54.2,0.3
Canley Vale,7596.0,5322.0,37.0,84.6,59.3,0.4
Canterbury,4376.0,2490.0,58.0,80.8,46.0,1.1
Canton Beach,925.0,149.0,0.0,89.4,14.4,0.0
Cardiff,5433.0,498.0,16.0,93.7,8.6,0.3
Cardiff Heights,2512.0,289.0,4.0,93.5,10.8,0.1
Cardiff South,2639.0,201.0,5.0,91.6,7.0,0.2
Caringbah,19097.0,3287.0,107.0,89.7,15.4,0.5
Carlingford,18444.0,8656.0,207.0,86.3,40.5,1.0
Carlton,7650.0,4013.0,72.0,79.4,41.7,0.7
Carramar,2344.0,1563.0,15.0,79.2,52.8,0.5
Carrington (Newcastle),1531.0,162.0,3.0,85.3,9.0,0.2
Carss Park,1130.0,285.0,6.0,93.0,23.5,0.5
Cartwright,1698.0,694.0,5.0,81.5,33.3,0.2
Castle Cove,2085.0,889.0,47.0,87.6,37.3,2.0
Castle Hill,31425.0,10815.0,240.0,88.8,30.6,0.7
Castlecrag,2495.0,878.0,43.0,88.9,31.3,1.5
Casula,11427.0,5067.0,83.0,86.6,38.4,0.6
Caves Beach,3900.0,408.0,8.0,94.2,9.9,0.2
Cecil Hills,6081.0,2788.0,5.0,89.7,41.1,0.1
Centennial Park,1549.0,602.0,27.0,72.5,28.2,1.3
Charlestown,10858.0,1277.0,44.0,92.6,10.9,0.4
Charmhaven,2018.0,246.0,0.0,91.3,11.1,0.0
Chatswood,8642.0,7414.0,449.0,64.0,54.9,3.3
Chatswood West,6055.0,3195.0,132.0,77.9,41.1,1.7
Cheltenham,1933.0,498.0,17.0,92.3,23.8,0.8
Cherrybrook,16098.0,7496.0,170.0,87.1,40.5,0.9
Chester Hill,8932.0,3927.0,50.0,85.0,37.4,0.5
Chifley,2623.0,769.0,19.0,85.2,25.0,0.6
Chippendale,1595.0,1299.0,463.0,39.2,31.9,11.4
Chipping Norton,7562.0,2378.0,17.0,88.2,27.7,0.2
Chiswick,1767.0,716.0,19.0,74.3,30.1,0.8
Chittaway Bay,1932.0,232.0,7.0,90.8,10.9,0.3
Chittaway Point,730.0,95.0,3.0,90.8,11.8,0.4
Church Point,1026.0,280.0,13.0,89.0,24.3,1.1
Claremont Meadows,3006.0,848.0,10.0,87.0,24.5,0.3
Claymore,2505.0,831.0,3.0,76.0,25.2,0.1
Clontarf,1410.0,436.0,19.0,89.2,27.6,1.2
Clovelly,3687.0,1144.0,66.0,83.3,25.8,1.5
Coal Point,1582.0,178.0,8.0,91.4,10.3,0.5
Coledale,888.0,125.0,5.0,92.2,13.0,0.5
Collaroy,12439.0,2953.0,188.0,87.5,20.8,1.3
Colyton,6739.0,1916.0,29.0,85.5,24.3,0.4
Como,3552.0,490.0,10.0,95.1,13.1,0.3
Concord,11281.0,4048.0,77.0,86.7,31.1,0.6
Concord West,4854.0,1656.0,42.0,87.9,30.0,0.8
Condell Park,9042.0,4087.0,40.0,86.8,39.2,0.4
Coniston,1651.0,632.0,3.0,87.7,33.6,0.2
Connells Point,2568.0,691.0,9.0,89.7,24.1,0.3
Coogee,9765.0,4059.0,776.0,74.1,30.8,5.9
Cooks Hill,2502.0,377.0,20.0,85.4,12.9,0.7
Copacabana,2321.0,320.0,8.0,86.9,12.0,0.3
Cordeaux Heights,4596.0,960.0,20.0,90.7,18.9,0.4
Corrimal,5920.0,1331.0,19.0,90.6,20.4,0.3
Cranebrook,11666.0,1876.0,19.0,89.1,14.3,0.1
Cremorne,7791.0,3359.0,118.0,74.6,32.2,1.1
Cremorne Point,1284.0,495.0,18.0,70.5,27.2,1.0
Cringila,1889.0,1010.0,6.0,86.6,46.3,0.3
Cromer,6866.0,1758.0,50.0,89.9,23.0,0.7
Cronulla,13943.0,2587.0,183.0,83.2,15.4,1.1
Croudace Bay,381.0,27.0,0.0,96.7,6.9,0.0
Crows Nest,2401.0,958.0,33.0,76.1,30.4,1.0
Croydon,7807.0,3844.0,129.0,80.9,39.9,1.3
Croydon Park,8847.0,3937.0,69.0,84.6,37.7,0.7
Curl Curl,1848.0,417.0,23.0,87.3,19.7,1.1
Currans Hill,4521.0,769.0,13.0,90.8,15.5,0.3
Daceyville,1017.0,384.0,0.0,85.6,32.3,0.0
Daleys Point,484.0,99.0,5.0,91.7,18.8,0.9
Dapto,9441.0,2016.0,10.0,90.1,19.2,0.1
Darling Point,2922.0,1165.0,81.0,76.0,30.3,2.1
Darlinghurst,4839.0,2539.0,640.0,47.8,25.1,6.3
Darlington (Sydney),1335.0,670.0,150.0,61.2,30.7,6.9
Davidson,2166.0,633.0,28.0,89.4,26.1,1.2
Davistown,2135.0,237.0,9.0,92.9,10.3,0.4
Dawes Point,390.0,170.0,75.0,51.0,22.2,9.8
Dean Park,2726.0,1079.0,11.0,87.7,34.7,0.4
Dee Why,13178.0,6020.0,163.0,75.5,34.5,0.9
Denistone,3075.0,993.0,28.0,89.5,28.9,0.8
Denistone East,1759.0,689.0,16.0,86.6,33.9,0.8
Denistone West,684.0,229.0,4.0,90.4,30.3,0.5
Dharruk,2321.0,895.0,3.0,82.8,31.9,0.1
Dolans Bay,1153.0,147.0,8.0,93.9,12.0,0.7
Dolls Point,1373.0,547.0,13.0,82.6,32.9,0.8
Doonside,10922.0,4684.0,60.0,83.8,35.9,0.5
Double Bay,3691.0,1605.0,116.0,78.5,34.1,2.5
Dover Heights,3301.0,1610.0,50.0,84.0,41.0,1.3
Drummoyne,8598.0,2620.0,73.0,82.8,25.2,0.7
Dudley,2095.0,185.0,0.0,93.6,8.3,0.0
Dulwich Hill,9718.0,4519.0,119.0,79.6,37.0,1.0
Dundas,7901.0,3733.0,102.0,81.7,38.6,1.1
Dundas Valley,5283.0,2205.0,55.0,84.5,35.3,0.9
Dural (Baulkham Hills and Hornsby),6243.0,1828.0,37.0,88.5,25.9,0.5
Eagle Vale,4902.0,1579.0,17.0,87.7,28.2,0.3
Earlwood,14444.0,6272.0,71.0,87.2,37.9,0.4
East Gosford,3024.0,574.0,8.0,86.1,16.3,0.2
East Hills,2361.0,515.0,13.0,91.6,20.0,0.5
East Killara,2386.0,1427.0,61.0,83.7,50.1,2.1
East Lindfield,3181.0,1178.0,41.0,88.2,32.7,1.1
East Ryde,2058.0,563.0,8.0,91.5,25.0,0.4
Eastern Creek,494.0,120.0,0.0,90.5,22.0,0.0
Eastlakes,5021.0,3549.0,66.0,75.9,53.7,1.0
Eastwood,10951.0,6629.0,222.0,75.9,45.9,1.5
Edensor Park,8398.0,4504.0,20.0,90.2,48.4,0.2
Edgecliff,1173.0,537.0,37.0,72.0,32.9,2.3
Edgeworth,5488.0,421.0,13.0,92.9,7.1,0.2
Elanora Heights,3428.0,741.0,11.0,90.5,19.6,0.3
Elderslie (Camden),2417.0,341.0,5.0,91.2,12.9,0.2
Eleebana,5322.0,673.0,17.0,94.0,11.9,0.3
Elermore Vale,4332.0,552.0,8.0,91.6,11.7,0.2
Elizabeth Bay,3213.0,1495.0,228.0,64.9,30.2,4.6
Emerton,1668.0,677.0,0.0,75.3,30.6,0.0
Empire Bay,2128.0,243.0,7.0,89.7,10.2,0.3
Emu Heights,3108.0,495.0,3.0,93.7,14.9,0.1
Emu Plains,7027.0,1347.0,18.0,88.5,17.0,0.2
Enfield,2169.0,1111.0,22.0,84.4,43.2,0.9
Engadine,16741.0,2328.0,52.0,93.3,13.0,0.3
Enmore (Marrickville),2508.0,968.0,34.0,74.6,28.8,1.0
Epping,15238.0,7841.0,242.0,80.3,41.3,1.3
Erina,4497.0,953.0,25.0,90.6,19.2,0.5
Ermington,8953.0,3123.0,66.0,86.6,30.2,0.6
Erskine Park,6186.0,1655.0,20.0,89.4,23.9,0.3
Erskineville,5180.0,1988.0,47.0,79.0,30.3,0.7
Eschol Park,2339.0,521.0,6.0,90.0,20.0,0.2
Ettalong Beach,3668.0,512.0,46.0,87.2,12.2,1.1
Fairfield,11723.0,9300.0,63.0,75.7,60.1,0.4
Fairfield East,3757.0,2281.0,16.0,84.0,51.0,0.4
Fairfield Heights,4794.0,3418.0,22.0,79.9,56.9,0.4
Fairfield West,9031.0,5133.0,20.0,87.7,49.8,0.2
Fairlight,4440.0,1529.0,97.0,78.9,27.2,1.7
Fairy Meadow,5482.0,1758.0,130.0,85.3,27.4,2.0
Farmborough Heights,3407.0,660.0,20.0,88.4,17.1,0.5
Faulconbridge,3679.0,658.0,12.0,91.7,16.4,0.3
Fennell Bay,1445.0,146.0,0.0,93.3,9.4,0.0
Figtree,9551.0,2228.0,32.0,92.0,21.5,0.3
Five Dock,6698.0,2547.0,45.0,84.2,32.0,0.6
Fletcher,1840.0,160.0,0.0,95.1,8.3,0.0
Flinders,3751.0,766.0,0.0,90.4,18.5,0.0
Floraville,1425.0,130.0,0.0,95.4,8.7,0.0
Forest Lodge,1789.0,677.0,22.0,74.3,28.1,0.9
Forestville,6890.0,2241.0,67.0,88.3,28.7,0.9
Forresters Beach,2069.0,268.0,9.0,90.4,11.7,0.4
Frenchs Forest,11193.0,3392.0,100.0,89.1,27.0,0.8
Garden Suburb,1576.0,176.0,7.0,91.8,10.3,0.4
Gateshead,3294.0,231.0,6.0,92.9,6.5,0.2
Georges Hall,7295.0,2461.0,28.0,90.6,30.6,0.3
Georgetown,1750.0,164.0,3.0,94.2,8.8,0.2
Girraween,3362.0,1752.0,39.0,82.8,43.2,1.0
Gladesville,9376.0,2998.0,87.0,86.6,27.7,0.8
Glebe,7979.0,3158.0,344.0,72.1,28.5,3.1
Glen Alpine,4008.0,1076.0,7.0,91.0,24.4,0.2
Glenbrook,4825.0,707.0,22.0,93.9,13.8,0.4
Glendale,2840.0,249.0,7.0,94.8,8.3,0.2
Glendenning,4123.0,1948.0,29.0,85.5,40.4,0.6
Glenfield,5545.0,2207.0,24.0,82.0,32.7,0.4
Glenhaven,5112.0,1259.0,34.0,90.9,22.4,0.6
Glenmore Park,17382.0,3878.0,60.0,90.5,20.2,0.3
Glenning Valley,1776.0,247.0,4.0,92.8,12.9,0.2
Glenwood,11920.0,5440.0,190.0,85.8,39.1,1.4
Gordon,5001.0,2245.0,115.0,83.4,37.5,1.9
Gorokan,6406.0,837.0,15.0,90.7,11.8,0.2
Gosford,2217.0,618.0,17.0,73.4,20.5,0.6
Granville,18219.0,10331.0,144.0,79.6,45.1,0.6
Grays Point,2643.0,400.0,7.0,93.4,14.1,0.2
Green Point (Gosford),5745.0,1069.0,28.0,88.9,16.5,0.4
Green Valley,10079.0,5629.0,33.0,84.3,47.1,0.3
Greenacre,19420.0,8966.0,93.0,86.5,39.9,0.4
Greenfield Park,4682.0,2808.0,13.0,88.8,53.3,0.2
Greenwich,4106.0,1436.0,147.0,81.2,28.4,2.9
Greystanes,18139.0,5901.0,66.0,90.1,29.3,0.3
Guildford,8887.0,4432.0,54.0,78.9,39.4,0.5
Guildford West,3531.0,1239.0,9.0,83.8,29.4,0.2
Gwynneville,1884.0,852.0,107.0,74.6,33.8,4.2
Gymea,6130.0,1152.0,27.0,90.1,16.9,0.4
Gymea Bay,6971.0,863.0,28.0,93.9,11.6,0.4
Haberfield,5819.0,2057.0,62.0,88.3,31.2,0.9
Halekulani,2140.0,266.0,0.0,90.0,11.2,0.0
Hamilton,3335.0,585.0,22.0,89.9,15.8,0.6
Hamilton East,885.0,103.0,19.0,92.2,10.7,2.0
Hamilton North,765.0,73.0,6.0,91.4,8.7,0.7
Hamilton South,3499.0,522.0,13.0,89.2,13.3,0.3
Hammondville,2629.0,725.0,7.0,91.3,25.2,0.2
Harrington Park,5384.0,1072.0,20.0,88.9,17.7,0.3
Harris Park,4123.0,3962.0,195.0,60.2,57.8,2.8
Hassall Grove,3871.0,1606.0,17.0,88.6,36.7,0.4
Haymarket,902.0,2903.0,1105.0,20.9,67.3,25.6
Heathcote,5523.0,652.0,15.0,94.4,11.1,0.3
Hebersham,4760.0,1610.0,26.0,83.5,28.2,0.5
Heckenberg,2434.0,973.0,7.0,84.8,33.9,0.2
Henley,426.0,110.0,0.0,89.1,23.0,0.0
Highfields,644.0,64.0,0.0,93.9,9.3,0.0
Hillsborough (Lake Macquarie),632.0,39.0,0.0,95.3,5.9,0.0
Hillsdale,3310.0,2495.0,44.0,72.5,54.6,1.0
Hinchinbrook,9128.0,4558.0,34.0,87.5,43.7,0.3
Holmesville,1483.0,85.0,0.0,96.2,5.5,0.0
Holsworthy,3908.0,1129.0,15.0,89.6,25.9,0.3
Homebush,4337.0,3901.0,139.0,61.8,55.6,2.0
Homebush West,2457.0,2695.0,61.0,58.9,64.6,1.5
Horningsea Park,2948.0,1232.0,8.0,83.9,35.0,0.2
Hornsby,14832.0,7718.0,204.0,79.3,41.3,1.1
Hornsby Heights,5328.0,1463.0,23.0,90.3,24.8,0.4
Horsley,6197.0,1114.0,10.0,91.2,16.4,0.1
Hoxton Park,3119.0,1600.0,24.0,85.1,43.7,0.7
Hunters Hill,7722.0,2214.0,85.0,85.6,24.5,0.9
Huntleys Point,166.0,34.0,0.0,93.3,19.1,0.0
Hurlstone Park,4032.0,1940.0,46.0,84.5,40.7,1.0
Hurstville,16481.0,13636.0,368.0,70.6,58.4,1.6
Hurstville Grove,2165.0,673.0,5.0,92.9,28.9,0.2
Illawong,7060.0,1593.0,23.0,93.5,21.1,0.3
Ingleburn,11470.0,4163.0,57.0,84.7,30.7,0.4
Ingleside,240.0,56.0,0.0,88.2,20.6,0.0
Islington,1211.0,160.0,8.0,79.2,10.5,0.5
Jamisontown,4275.0,839.0,12.0,89.3,17.5,0.3
Jannali,5041.0,901.0,14.0,90.7,16.2,0.3
Jesmond,1827.0,665.0,58.0,74.8,27.2,2.4
Jewells,2402.0,200.0,12.0,93.5,7.8,0.5
Kahibah,2316.0,244.0,4.0,93.6,9.9,0.2
Kanahooka,4497.0,1059.0,8.0,91.1,21.4,0.2
Kangaroo Point,532.0,126.0,6.0,92.2,21.8,1.0
Kanwal,3313.0,441.0,5.0,90.1,12.0,0.1
Kareela,2294.0,522.0,10.0,94.2,21.4,0.4
Kariong,5409.0,994.0,19.0,88.5,16.3,0.3
Kearns,2549.0,537.0,5.0,92.5,19.5,0.2
Keiraville,2422.0,916.0,117.0,78.9,29.8,3.8
Kellyville,16078.0,5373.0,75.0,87.6,29.3,0.4
Kembla Grange,125.0,18.0,0.0,84.5,12.2,0.0
Kensington,7408.0,4893.0,364.0,68.3,45.1,3.4
Kilaben Bay,1183.0,166.0,16.0,92.9,13.0,1.3
Killara,7770.0,2781.0,109.0,86.6,31.0,1.2
Killarney Heights,3646.0,1308.0,44.0,88.2,31.6,1.1
Killarney Vale,6218.0,656.0,8.0,91.7,9.7,0.1
Kincumber,6568.0,959.0,15.0,92.0,13.4,0.2
Kincumber South,625.0,147.0,8.0,88.4,20.8,1.1
Kings Langley,8249.0,2382.0,33.0,89.5,25.9,0.4
Kings Park,2913.0,859.0,15.0,89.2,26.3,0.5
Kingsford,9581.0,6558.0,256.0,67.3,46.1,1.8
Kingsgrove,9344.0,4277.0,51.0,87.4,40.0,0.5
Kingswood (Penrith),6991.0,1839.0,79.0,85.4,22.5,1.0
Kirrawee,8193.0,1406.0,33.0,91.6,15.7,0.4
Kirribilli,2444.0,1203.0,152.0,70.2,34.6,4.4
Kogarah,8207.0,6071.0,173.0,70.1,51.8,1.5
Kogarah Bay,1705.0,526.0,15.0,90.8,28.0,0.8
Koolewong,720.0,148.0,3.0,82.8,17.0,0.3
Koonawarra,3209.0,712.0,3.0,88.4,19.6,0.1
Kotara,3730.0,380.0,7.0,94.5,9.6,0.2
Kotara South,1106.0,109.0,0.0,95.3,9.4,0.0
Kurnell,1870.0,350.0,3.0,88.6,16.6,0.1
Kyeemagh,737.0,289.0,0.0,93.3,36.6,0.0
Kyle Bay,1177.0,297.0,3.0,92.8,23.4,0.2
La Perouse,342.0,62.0,6.0,87.5,15.9,1.5
