,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Australian citizenship (%),People born overseas (%),Overseas visitors (excluded from people counts) (%)
Lake Haven,3266.0,540.0,4.0,90.3,14.9,0.1
Lake Heights,2567.0,1020.0,6.0,87.9,34.9,0.2
Lake Illawarra,2737.0,598.0,6.0,87.8,19.2,0.2
Lakelands,1490.0,177.0,0.0,95.4,11.3,0.0
Lakemba,10088.0,8232.0,108.0,69.7,56.9,0.7
Lalor Park,6190.0,1438.0,17.0,86.4,20.1,0.2
Lambton,4273.0,534.0,29.0,91.3,11.4,0.6
Lane Cove,7549.0,2879.0,99.0,83.2,31.7,1.1
Lane Cove North,7009.0,3143.0,131.0,79.5,35.6,1.5
Lane Cove West,1963.0,639.0,11.0,89.1,29.0,0.5
Lansvale,2028.0,1003.0,9.0,87.3,43.2,0.4
Lapstone,800.0,135.0,10.0,93.7,15.8,1.2
Lavender Bay,671.0,260.0,113.0,73.7,28.6,12.4
Leichhardt,10029.0,3429.0,101.0,81.9,28.0,0.8
Leonay,2194.0,480.0,11.0,90.9,19.9,0.5
Lethbridge Park,3752.0,953.0,16.0,81.0,20.6,0.3
Leumeah,7520.0,2129.0,31.0,86.8,24.6,0.4
Lewisham,2324.0,829.0,11.0,84.2,30.0,0.4
Liberty Grove,1506.0,1017.0,35.0,73.8,49.8,1.7
Lidcombe,10226.0,7804.0,153.0,72.2,55.1,1.1
Lilli Pilli (Sutherland Shire),1987.0,265.0,6.0,91.2,12.2,0.3
Lilyfield,5664.0,1754.0,64.0,83.8,25.9,0.9
Lindfield,6373.0,2362.0,59.0,86.7,32.1,0.8
Linley Point,312.0,106.0,0.0,89.9,30.5,0.0
Lisarow,4783.0,803.0,22.0,90.5,15.2,0.4
Little Bay,1570.0,455.0,8.0,85.9,24.9,0.4
Liverpool,15041.0,11842.0,94.0,70.6,55.5,0.4
Loftus,3738.0,475.0,8.0,93.9,11.9,0.2
Long Jetty,4444.0,589.0,5.0,86.9,11.5,0.1
Long Point (Campbelltown),310.0,75.0,0.0,91.4,22.1,0.0
Longueville,1846.0,393.0,19.0,90.6,19.3,0.9
Lugarno,5300.0,1089.0,19.0,92.9,19.1,0.3
Lurnea,5947.0,2446.0,17.0,79.7,32.8,0.2
Macquarie Fields,10595.0,3889.0,49.0,81.7,30.0,0.4
Macquarie Hills,1895.0,164.0,14.0,94.4,8.2,0.7
Macquarie Links,787.0,292.0,3.0,86.4,32.1,0.3
Macquarie Park,3416.0,2757.0,757.0,61.0,49.2,13.5
Malabar,2882.0,1176.0,26.0,61.4,25.1,0.6
Mangerton,2379.0,537.0,14.0,84.8,19.2,0.5
Manly,8966.0,4808.0,652.0,64.3,34.5,4.7
Manly Vale,4207.0,1536.0,49.0,83.0,30.3,1.0
Marayong,5847.0,2277.0,26.0,85.7,33.4,0.4
Mardi,2540.0,553.0,3.0,86.6,18.9,0.1
Marks Point,1531.0,128.0,4.0,92.5,7.7,0.2
Marmong Point,378.0,30.0,0.0,95.7,7.6,0.0
Maroubra,20486.0,9869.0,320.0,77.2,37.2,1.2
Marrickville,18676.0,9694.0,255.0,80.6,41.9,1.1
Marsfield,8554.0,5449.0,267.0,71.9,45.8,2.2
Maryland (Newcastle),7153.0,717.0,13.0,94.1,9.4,0.2
Maryville,1164.0,136.0,0.0,83.7,9.8,0.0
Mascot,6697.0,3486.0,169.0,78.6,40.9,2.0
Matraville,7470.0,2933.0,43.0,85.0,33.4,0.5
Mayfield (Newcastle),8018.0,1219.0,50.0,89.0,13.5,0.6
Mayfield East,1348.0,149.0,3.0,91.0,10.1,0.2
Mayfield West,1485.0,174.0,0.0,90.1,10.6,0.0
Mays Hill,539.0,302.0,11.0,77.7,43.5,1.6
McMahons Point,1435.0,681.0,58.0,70.0,33.2,2.8
Meadowbank,1644.0,1168.0,44.0,61.3,43.5,1.6
Melrose Park,1783.0,545.0,3.0,88.6,27.1,0.1
Menai,9811.0,2096.0,35.0,91.0,19.4,0.3
Merewether,9557.0,1043.0,39.0,92.2,10.1,0.4
Merewether Heights,1309.0,131.0,5.0,95.3,9.5,0.4
Merrylands,16393.0,9321.0,130.0,78.5,44.6,0.6
Merrylands West,4917.0,2099.0,21.0,84.7,36.2,0.4
Middle Cove,916.0,315.0,13.0,89.5,30.8,1.3
Miller,2487.0,916.0,6.0,83.0,30.6,0.2
Millers Point,934.0,458.0,171.0,46.4,22.7,8.5
Milperra,3640.0,541.0,22.0,93.7,13.9,0.6
Milsons Point,867.0,598.0,137.0,55.9,38.5,8.8
Minchinbury,4684.0,1745.0,31.0,88.7,33.0,0.6
Minmi,695.0,39.0,0.0,94.9,5.3,0.0
Minto,9017.0,3533.0,35.0,82.1,32.2,0.3
Miranda,11266.0,2942.0,62.0,86.2,22.5,0.5
Mona Vale,8315.0,2116.0,55.0,87.2,22.2,0.6
Monterey,3336.0,1398.0,17.0,80.4,33.7,0.4
Moorebank,6690.0,2132.0,14.0,88.0,28.1,0.2
Mortdale,8245.0,2908.0,71.0,85.5,30.2,0.7
Mortlake,396.0,145.0,3.0,81.0,29.7,0.6
Mosman,20945.0,7826.0,325.0,79.8,29.8,1.2
Mount Annan,7706.0,1263.0,26.0,91.9,15.1,0.3
Mount Colah,6337.0,1734.0,26.0,90.9,24.9,0.4
Mount Druitt,10188.0,6211.0,92.0,75.0,45.7,0.7
Mount Hutton,2871.0,278.0,5.0,92.4,8.9,0.2
Mount Keira,1312.0,250.0,11.0,90.8,17.3,0.8
Mount Kembla,820.0,129.0,3.0,90.3,14.2,0.3
Mount Lewis,987.0,430.0,4.0,90.1,39.3,0.4
Mount Ousley,1574.0,320.0,5.0,93.4,19.0,0.3
Mount Pleasant,833.0,185.0,0.0,91.9,20.4,0.0
Mount Pritchard,7576.0,3387.0,14.0,85.2,38.1,0.2
Mount Riverview,2770.0,455.0,0.0,92.5,15.2,0.0
Mount Saint Thomas,1340.0,335.0,5.0,90.3,22.6,0.3
Mount Warrigal,4637.0,1179.0,8.0,89.5,22.8,0.2
Narara,7020.0,1209.0,38.0,90.1,15.5,0.5
Narellan,3149.0,447.0,4.0,89.8,12.7,0.1
Narellan Vale,6761.0,1015.0,20.0,92.0,13.8,0.3
Naremburn,4089.0,1561.0,58.0,82.6,31.5,1.2
Narrabeen,5436.0,1229.0,23.0,84.5,19.1,0.4
Narraweena,4814.0,1428.0,24.0,88.0,26.1,0.4
Narwee,4155.0,2202.0,39.0,82.8,43.9,0.8
Neutral Bay,7449.0,3420.0,156.0,72.5,33.3,1.5
New Lambton,8507.0,976.0,24.0,92.1,10.6,0.3
New Lambton Heights,1676.0,207.0,7.0,93.5,11.5,0.4
Newcastle,1355.0,245.0,120.0,78.0,14.1,6.9
Newcastle East,756.0,116.0,46.0,77.5,11.9,4.7
Newcastle West,280.0,54.0,21.0,80.2,15.5,6.0
Newington,3451.0,2385.0,81.0,70.3,48.6,1.6
Newport,8025.0,1920.0,73.0,87.0,20.8,0.8
Newtown,9417.0,3609.0,366.0,69.5,26.6,2.7
Niagara Park,2104.0,327.0,10.0,91.9,14.3,0.4
Norah Head,1013.0,107.0,3.0,88.5,9.4,0.3
Noraville,2354.0,257.0,3.0,92.4,10.1,0.1
Normanhurst,4260.0,1235.0,25.0,89.0,25.8,0.5
North Avoca,1970.0,296.0,10.0,86.8,13.0,0.4
North Balgowlah,2902.0,762.0,42.0,87.7,23.0,1.3
North Bondi,6388.0,2758.0,174.0,74.7,32.3,2.0
North Curl Curl,2996.0,736.0,36.0,88.9,21.8,1.1
North Epping,3792.0,1160.0,34.0,90.7,27.7,0.8
North Gosford,2965.0,562.0,19.0,86.2,16.3,0.6
North Lambton,2678.0,440.0,27.0,88.7,14.6,0.9
North Manly,2336.0,743.0,21.0,85.4,27.2,0.8
North Narrabeen,4559.0,994.0,62.0,86.4,18.8,1.2
North Parramatta,5784.0,3119.0,96.0,69.1,37.3,1.1
North Rocks,6514.0,2068.0,33.0,90.0,28.6,0.5
North Ryde,8828.0,3278.0,72.0,86.6,32.2,0.7
North St Marys,3092.0,785.0,4.0,84.8,21.5,0.1
North Strathfield,2590.0,1326.0,65.0,78.9,40.4,2.0
North Sydney,4064.0,2130.0,241.0,67.1,35.2,4.0
North Turramurra,3279.0,1053.0,31.0,85.4,27.4,0.8
North Wahroonga,1977.0,725.0,16.0,88.5,32.5,0.7
North Willoughby,3260.0,1335.0,42.0,84.7,34.7,1.1
North Wollongong,1351.0,524.0,107.0,76.4,29.6,6.0
Northbridge,5337.0,1583.0,69.0,88.5,26.2,1.1
Northmead,6072.0,1645.0,41.0,87.1,23.6,0.6
Northwood,816.0,190.0,3.0,90.2,21.0,0.3
Oak Flats,5726.0,1215.0,7.0,89.5,19.0,0.1
Oakhurst,5666.0,2498.0,26.0,86.9,38.3,0.4
Oatlands,4633.0,1658.0,69.0,86.6,31.0,1.3
Oatley,8781.0,1828.0,49.0,92.1,19.2,0.5
Old Guildford,1903.0,825.0,9.0,83.8,36.3,0.4
Old Toongabbie,4481.0,1466.0,28.0,88.5,29.0,0.6
Ourimbah,2751.0,457.0,4.0,89.5,14.9,0.1
Oxley Park,2125.0,619.0,9.0,84.2,24.5,0.4
Oyster Bay,4668.0,730.0,6.0,93.7,14.7,0.1
Paddington,8733.0,3634.0,227.0,74.9,31.2,1.9
Padstow,10230.0,3538.0,52.0,87.3,30.2,0.4
Padstow Heights,3202.0,693.0,12.0,92.9,20.1,0.3
Pagewood,2563.0,949.0,17.0,86.4,32.0,0.6
Palm Beach,1233.0,258.0,12.0,76.8,16.1,0.7
Panania,10104.0,2355.0,32.0,91.9,21.4,0.3
Parramatta,11112.0,10635.0,518.0,60.2,57.6,2.8
Peakhurst,8137.0,2147.0,32.0,88.6,23.4,0.3
Peakhurst Heights,2170.0,384.0,0.0,94.6,16.7,0.0
Pearl Beach,422.0,113.0,4.0,88.1,23.6,0.8
Pelican,814.0,31.0,5.0,94.4,3.6,0.6
Pendle Hill,8042.0,3837.0,55.0,80.7,38.5,0.6
Pennant Hills,5844.0,2110.0,47.0,85.6,30.9,0.7
Penrith,9464.0,2339.0,42.0,83.0,20.5,0.4
Penrose (Wollongong),1298.0,287.0,4.0,90.9,20.1,0.3
Penshurst,9427.0,4308.0,94.0,84.2,38.5,0.8
Petersham,6044.0,2207.0,110.0,81.8,29.9,1.5
Phillip Bay,617.0,171.0,9.0,87.8,24.3,1.3
Picnic Point,5520.0,893.0,20.0,92.9,15.0,0.3
Plumpton,6818.0,3534.0,66.0,86.7,44.9,0.8
Point Clare,2676.0,504.0,12.0,89.9,16.9,0.4
Point Frederick,1484.0,302.0,9.0,87.7,17.8,0.5
Point Piper,1073.0,448.0,28.0,76.2,31.8,2.0
Port Kembla,3864.0,1375.0,4.0,88.4,31.5,0.1
Potts Point,3864.0,1920.0,698.0,56.2,27.9,10.1
Prairiewood,2582.0,1433.0,3.0,90.1,50.0,0.1
Prestons,10657.0,5063.0,44.0,83.1,39.5,0.3
Primbee,1468.0,396.0,23.0,89.2,24.1,1.4
Prospect,3706.0,1449.0,23.0,87.9,34.4,0.5
Punchbowl (Canterbury and Bankstown),14448.0,7837.0,78.0,84.0,45.5,0.5
Putney,2931.0,773.0,22.0,91.8,24.2,0.7
Pymble,8228.0,2990.0,110.0,87.8,31.9,1.2
Pyrmont,5554.0,4253.0,750.0,50.1,38.4,6.8
Quakers Hill,21448.0,8518.0,178.0,85.7,34.1,0.7
Queens Park,2282.0,818.0,25.0,83.8,30.0,0.9
Raby,5447.0,1404.0,18.0,89.5,23.1,0.3
Ramsgate,877.0,269.0,3.0,83.3,25.5,0.3
Ramsgate Beach,1169.0,422.0,7.0,81.5,29.4,0.5
Randwick,19558.0,9369.0,553.0,75.8,36.3,2.1
Rankin Park,2422.0,241.0,13.0,94.3,9.4,0.5
Redfern,7709.0,4022.0,249.0,67.1,35.0,2.2
Redhead,3062.0,345.0,9.0,91.8,10.3,0.3
Regents Park,4136.0,2284.0,23.0,83.0,45.8,0.5
Regentville,651.0,105.0,0.0,91.2,14.7,0.0
Revesby,10527.0,3473.0,41.0,88.8,29.3,0.3
Revesby Heights,1197.0,195.0,0.0,90.5,14.8,0.0
Rhodes,1128.0,644.0,36.0,67.6,38.6,2.2
Riverstone,5410.0,906.0,19.0,88.7,14.9,0.3
Riverview (Lane Cove),3009.0,691.0,24.0,90.0,20.7,0.7
Riverwood,8063.0,4236.0,51.0,82.0,43.1,0.5
Rockdale,9555.0,7405.0,140.0,68.3,52.9,1.0
Rocky Point,232.0,20.0,0.0,92.1,7.9,0.0
Rodd Point,1155.0,304.0,0.0,92.8,24.4,0.0
Rooty Hill,10269.0,5160.0,70.0,83.7,42.1,0.6
Rose Bay,6772.0,3177.0,112.0,75.8,35.6,1.3
Rosebery,5895.0,3434.0,46.0,79.4,46.2,0.6
Roselands,8642.0,3559.0,45.0,85.0,35.0,0.4
Rosemeadow,6521.0,1894.0,24.0,87.9,25.5,0.3
Roseville,7288.0,2296.0,100.0,88.2,27.8,1.2
Roseville Chase,1396.0,414.0,16.0,89.4,26.5,1.0
Rouse Hill,5707.0,1439.0,32.0,88.2,22.2,0.5
Rozelle,5274.0,1964.0,98.0,76.7,28.6,1.4
Ruse,5066.0,1028.0,9.0,90.1,18.3,0.2
Rushcutters Bay,1249.0,697.0,89.0,55.9,31.2,4.0
Russell Lea,4493.0,1308.0,37.0,88.7,25.8,0.7
Russell Vale,1187.0,147.0,0.0,92.2,11.4,0.0
Rydalmere,1258.0,398.0,14.0,88.8,28.1,1.0
Ryde,17284.0,7175.0,145.0,84.8,35.2,0.7
Sadleir,2453.0,888.0,14.0,86.8,31.4,0.5
San Remo,3607.0,407.0,6.0,89.9,10.1,0.1
Sandringham,1118.0,295.0,5.0,90.5,23.9,0.4
Sans Souci,7507.0,2315.0,35.0,87.6,27.0,0.4
Saratoga,3228.0,474.0,3.0,87.8,12.9,0.1
Scarborough,309.0,49.0,0.0,89.3,14.2,0.0
Schofields,3519.0,851.0,9.0,90.0,21.8,0.2
Scotland Island,507.0,198.0,7.0,79.0,30.8,1.1
Seaforth,5465.0,1743.0,74.0,86.0,27.4,1.2
Sefton,4587.0,2180.0,19.0,85.1,40.4,0.4
Seven Hills,15721.0,5932.0,103.0,87.2,32.9,0.6
Shalvey,3029.0,842.0,0.0,81.2,22.6,0.0
Shell Cove,2581.0,517.0,5.0,91.1,18.2,0.2
Shellharbour,2911.0,545.0,5.0,88.1,16.5,0.2
Shelly Beach,1198.0,111.0,0.0,89.1,8.3,0.0
Shortland,3634.0,532.0,168.0,87.0,12.7,4.0
Silverwater (Auburn),771.0,1120.0,7.0,26.7,38.8,0.2
Smithfield,9483.0,4477.0,35.0,85.4,40.3,0.3
South Coogee,4357.0,1399.0,50.0,81.2,26.1,0.9
South Granville,2947.0,1266.0,13.0,85.4,36.7,0.4
South Hurstville,3875.0,1758.0,36.0,84.8,38.5,0.8
South Penrith,10437.0,2174.0,43.0,90.3,18.8,0.4
South Turramurra,2609.0,840.0,26.0,86.9,28.0,0.9
South Wentworthville,4393.0,1718.0,21.0,85.2,33.3,0.4
Speers Point,2876.0,310.0,7.0,92.7,10.0,0.2
Springfield (Gosford),3542.0,437.0,4.0,87.3,10.8,0.1
Springwood,7626.0,1330.0,26.0,92.9,16.2,0.3
St Andrews,5371.0,1650.0,14.0,90.2,27.7,0.2
St Clair (Penrith),17989.0,5016.0,82.0,89.4,24.9,0.4
St Helens Park,5321.0,1210.0,16.0,86.7,19.7,0.3
St Huberts Island,991.0,157.0,6.0,90.4,14.3,0.5
St Ives,12343.0,5885.0,102.0,86.9,41.4,0.7
St Ives Chase,2736.0,1254.0,35.0,87.5,40.1,1.1
St Johns Park,4854.0,2968.0,14.0,89.4,54.6,0.3
St Leonards,2174.0,1838.0,117.0,54.7,46.2,2.9
St Marys,7942.0,2743.0,35.0,81.7,28.2,0.4
St Peters,2025.0,796.0,23.0,77.9,30.6,0.9
Stanhope Gardens,3516.0,1464.0,50.0,82.6,34.4,1.2
Stanmore,5731.0,1983.0,74.0,80.1,27.7,1.0
Stockton,3885.0,295.0,4.0,92.3,7.0,0.1
Strathfield,14785.0,10541.0,360.0,72.2,51.5,1.8
Strathfield South,2574.0,1364.0,24.0,82.9,43.9,0.8
Summer Hill (Ashfield),4736.0,2125.0,80.0,77.3,34.7,1.3
Surry Hills,8374.0,5178.0,570.0,55.7,34.4,3.8
Sutherland,8194.0,2004.0,47.0,86.1,21.1,0.5
Swansea,4204.0,363.0,8.0,90.6,7.8,0.2
Swansea Heads,577.0,46.0,0.0,95.5,7.6,0.0
Sydenham,743.0,387.0,13.0,77.3,40.3,1.4
Sydney,3351.0,5893.0,5342.0,24.7,43.5,39.4
Sylvania,8644.0,2145.0,38.0,89.9,22.3,0.4
Sylvania Waters,2637.0,805.0,12.0,87.1,26.6,0.4
Tacoma,687.0,61.0,0.0,95.5,8.5,0.0
Tacoma South,243.0,27.0,0.0,88.7,9.9,0.0
Tamarama,1048.0,445.0,99.0,69.3,29.4,6.5
Taren Point,1107.0,258.0,4.0,87.6,20.4,0.3
Tarrawanna,1314.0,288.0,7.0,90.2,19.8,0.5
Tascott,1474.0,256.0,3.0,86.9,15.1,0.2
Tempe,2591.0,1071.0,17.0,81.5,33.7,0.5
Teralba,1349.0,104.0,4.0,92.5,7.1,0.3
Terrey Hills,2471.0,560.0,3.0,85.9,19.5,0.1
Terrigal,8465.0,1838.0,97.0,86.9,18.9,1.0
The Entrance,2225.0,309.0,9.0,84.5,11.7,0.3
The Entrance North,947.0,105.0,0.0,85.6,9.5,0.0
The Hill,1626.0,267.0,38.0,77.4,12.7,1.8
The Junction,1177.0,130.0,0.0,90.9,10.0,0.0
Thirroul,5069.0,733.0,29.0,91.5,13.2,0.5
Thornleigh,6909.0,2130.0,55.0,90.0,27.8,0.7
Tighes Hill,1335.0,162.0,9.0,90.1,10.9,0.6
Tingira Heights,2879.0,235.0,8.0,90.2,7.4,0.3
Toongabbie,10750.0,4155.0,97.0,87.1,33.7,0.8
Toowoon Bay,437.0,51.0,3.0,89.5,10.5,0.6
Toronto,4687.0,512.0,11.0,90.8,9.9,0.2
Toukley,3760.0,508.0,11.0,89.5,12.1,0.3
Towradgi,2801.0,673.0,12.0,91.0,21.9,0.4
Tregear,3090.0,811.0,5.0,81.1,21.3,0.1
Tuggerah,836.0,134.0,4.0,89.0,14.3,0.4
Tuggerawong,1038.0,119.0,4.0,90.2,10.3,0.3
Tumbi Umbi,3980.0,549.0,0.0,92.0,12.7,0.0
Turramurra,9135.0,3015.0,110.0,88.3,29.2,1.1
Turrella,869.0,401.0,12.0,86.0,39.7,1.2
Ultimo,2055.0,2620.0,411.0,37.0,47.2,7.4
Umina Beach,12925.0,1745.0,42.0,84.0,11.3,0.3
Unanderra,5121.0,1186.0,11.0,87.0,20.1,0.2
Valentine,5311.0,586.0,6.0,93.6,10.3,0.1
Valley Heights,1253.0,232.0,0.0,93.7,17.4,0.0
Vaucluse,6978.0,3008.0,121.0,76.5,33.0,1.3
Villawood,4252.0,2261.0,10.0,82.9,44.1,0.2
Voyager Point,1204.0,386.0,9.0,92.2,29.6,0.7
Wahroonga,12366.0,4093.0,121.0,87.3,28.9,0.9
Waitara,3552.0,2278.0,76.0,69.4,44.5,1.5
Wakeley,4238.0,2634.0,14.0,88.9,55.2,0.3
Wallsend,10992.0,1195.0,43.0,93.1,10.1,0.4
Wamberal,5012.0,690.0,11.0,87.7,12.1,0.2
Warabrook,1962.0,318.0,6.0,90.8,14.7,0.3
Waratah,3637.0,532.0,22.0,84.8,12.4,0.5
Waratah West,2398.0,324.0,17.0,87.7,11.9,0.6
Wareemba,1244.0,456.0,3.0,89.5,32.8,0.2
Warilla,4842.0,1145.0,9.0,86.3,20.4,0.2
Warners Bay,6545.0,764.0,24.0,93.4,10.9,0.3
Warrawee,2349.0,612.0,40.0,89.5,23.3,1.5
Warrawong,4240.0,1951.0,6.0,84.8,39.0,0.1
Warriewood,4438.0,1163.0,31.0,88.9,23.3,0.6
Warrimoo,2141.0,320.0,10.0,93.7,14.0,0.4
Warwick Farm,2991.0,1771.0,18.0,76.9,45.6,0.5
Watanobbi,3159.0,485.0,3.0,88.1,13.5,0.1
Waterloo,5321.0,3730.0,178.0,62.5,43.8,2.1
Watsons Bay,595.0,163.0,10.0,86.1,23.6,1.4
Wattle Grove,6320.0,1797.0,19.0,91.9,26.1,0.3
Waverley,3308.0,1378.0,62.0,79.1,33.0,1.5
Waverton,2464.0,1014.0,33.0,78.0,32.1,1.0
Wentworthville,7567.0,5243.0,156.0,70.0,48.5,1.4
Werrington,2958.0,854.0,13.0,83.8,24.2,0.4
Werrington County,3456.0,621.0,7.0,90.9,16.3,0.2
Werrington Downs,3062.0,525.0,3.0,92.3,15.8,0.1
West Gosford,1391.0,336.0,0.0,84.2,20.3,0.0
West Hoxton,6785.0,2814.0,20.0,86.0,35.7,0.3
West Pennant Hills,14804.0,5665.0,138.0,89.8,34.4,0.8
West Pymble,4266.0,1251.0,29.0,90.2,26.5,0.6
West Ryde,8641.0,4764.0,126.0,77.1,42.5,1.1
West Wallsend,1512.0,90.0,0.0,94.1,5.6,0.0
West Wollongong,3626.0,942.0,27.0,87.5,22.7,0.7
Westleigh,4083.0,1214.0,20.0,90.3,26.8,0.4
Westmead,6191.0,5369.0,198.0,65.3,56.6,2.1
Wetherill Park,5456.0,2964.0,14.0,89.0,48.4,0.2
Whalan,4615.0,1293.0,8.0,83.9,23.5,0.1
Whitebridge,2324.0,158.0,0.0,93.2,6.3,0.0
Wickham,736.0,108.0,8.0,82.4,12.1,0.9
Wiley Park,6463.0,4797.0,68.0,72.5,53.8,0.8
Willmot,1871.0,466.0,6.0,77.8,19.4,0.2
Willoughby,4626.0,1736.0,39.0,85.5,32.1,0.7
Willoughby East,1517.0,381.0,9.0,91.8,23.1,0.5
Windale,2490.0,141.0,0.0,89.3,5.1,0.0
Windang,2105.0,380.0,0.0,87.5,15.8,0.0
Winmalee,5904.0,936.0,17.0,93.0,14.8,0.3
Winston Hills,7980.0,2320.0,33.0,90.1,26.2,0.4
Wollongong,11221.0,4151.0,229.0,78.1,28.9,1.6
Wollstonecraft,5771.0,2773.0,151.0,76.1,36.6,2.0
Wombarra,741.0,129.0,5.0,90.6,15.8,0.6
Woodbine,2339.0,710.0,6.0,88.7,26.9,0.2
Woodcroft,4711.0,3043.0,42.0,88.0,56.8,0.8
Woodpark,1147.0,414.0,0.0,89.5,32.3,0.0
Woodrising,1475.0,120.0,0.0,94.1,7.7,0.0
Woollahra,5514.0,1941.0,118.0,75.6,26.6,1.6
Woolloomooloo,2149.0,1152.0,379.0,61.1,32.7,10.8
Woolooware,6413.0,1094.0,24.0,89.6,15.3,0.3
Woolwich,653.0,156.0,10.0,80.4,19.2,1.2
Woonona,9895.0,1620.0,38.0,90.9,14.9,0.3
Woronora,2022.0,268.0,7.0,94.0,12.5,0.3
Woronora Heights,2916.0,378.0,0.0,94.9,12.3,0.0
Woy Woy,8541.0,1320.0,23.0,85.5,13.2,0.2
Woy Woy Bay,596.0,83.0,0.0,82.5,11.5,0.0
Wyoming,7957.0,1365.0,37.0,90.6,15.5,0.4
Wyong,2749.0,487.0,8.0,88.2,15.6,0.3
Wyongah,1661.0,182.0,4.0,91.1,10.0,0.2
Yagoona,12964.0,5809.0,57.0,87.1,39.0,0.4
Yarrawarrah,1403.0,131.0,0.0,95.8,8.9,0.0
Yattalunga,412.0,81.0,4.0,86.6,17.0,0.8
Yennora,1102.0,669.0,3.0,82.4,50.0,0.2
Yowie Bay,3475.0,483.0,7.0,93.0,12.9,0.2
Zetland,1709.0,1082.0,49.0,65.4,41.4,1.9
