,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Abbotsbury,462.0,579.0,81.0,0.0,25.0,40.2,50.4,7.1,0.0,2.2
Australia,2478264.0,2448205.0,2063947.0,65715.0,540050.0,32.6,32.2,27.2,0.9,7.1
Abbotsford,698.0,490.0,758.0,9.0,225.0,32.0,22.5,34.8,0.4,10.3
Acacia Gardens,131.0,638.0,140.0,4.0,22.0,14.0,68.2,15.0,0.4,2.4
Adamstown,685.0,612.0,810.0,18.0,164.0,29.9,26.7,35.4,0.8,7.2
Adamstown Heights,1009.0,632.0,237.0,7.0,82.0,51.3,32.1,12.0,0.4,4.2
Airds,25.0,25.0,1031.0,19.0,105.0,2.1,2.1,85.7,1.6,8.7
Albion Park,990.0,1937.0,582.0,16.0,131.0,27.1,53.0,15.9,0.4,3.6
Albion Park Rail,771.0,912.0,635.0,26.0,132.0,31.2,36.8,25.7,1.1,5.3
Alexandria,329.0,914.0,1226.0,7.0,424.0,11.3,31.5,42.3,0.2,14.6
Alfords Point,415.0,453.0,40.0,0.0,19.0,44.9,49.0,4.3,0.0,2.1
Allambie Heights,916.0,809.0,401.0,32.0,108.0,40.5,35.8,17.7,1.4,4.8
Allawah,495.0,581.0,790.0,3.0,182.0,24.1,28.3,38.5,0.1,8.9
Ambarvale,393.0,885.0,943.0,6.0,153.0,16.5,37.2,39.6,0.3,6.4
Annandale,752.0,1082.0,1469.0,8.0,353.0,20.5,29.5,40.1,0.2,9.6
Argenton,207.0,149.0,164.0,5.0,21.0,38.1,27.4,30.1,0.9,3.9
Arncliffe,1020.0,735.0,902.0,20.0,243.0,34.9,25.2,30.9,0.7,8.3
Artarmon,855.0,871.0,1571.0,35.0,307.0,23.5,23.9,43.2,1.0,8.4
Ashbury,527.0,331.0,148.0,7.0,82.0,48.1,30.2,13.5,0.6,7.5
Ashcroft,233.0,258.0,472.0,3.0,111.0,21.6,24.0,43.8,0.3,10.3
Ashfield,2034.0,1810.0,3853.0,101.0,870.0,23.5,20.9,44.5,1.2,10.0
Asquith,471.0,402.0,200.0,3.0,35.0,42.4,36.2,18.0,0.3,3.2
Auburn,2258.0,2176.0,3717.0,43.0,1033.0,24.5,23.6,40.3,0.5,11.2
Austinmer,309.0,294.0,150.0,6.0,31.0,39.2,37.3,19.0,0.8,3.9
Avoca Beach,531.0,614.0,282.0,7.0,79.0,35.1,40.6,18.6,0.5,5.2
Balgowlah,902.0,754.0,805.0,15.0,194.0,33.8,28.3,30.2,0.6,7.3
Balgowlah Heights,547.0,339.0,98.0,4.0,61.0,52.1,32.3,9.3,0.4,5.8
Balgownie,962.0,601.0,367.0,7.0,96.0,47.3,29.6,18.1,0.3,4.7
Balmain,982.0,1238.0,1858.0,16.0,363.0,22.0,27.7,41.6,0.4,8.1
Balmain East,242.0,159.0,352.0,0.0,67.0,29.5,19.4,43.0,0.0,8.2
Bangor,710.0,730.0,136.0,11.0,42.0,43.6,44.8,8.3,0.7,2.6
Banksia,461.0,280.0,211.0,3.0,49.0,46.0,27.9,21.0,0.3,4.9
Bankstown,2057.0,2230.0,3675.0,87.0,1038.0,22.6,24.5,40.5,1.0,11.4
Bar Beach,120.0,110.0,361.0,3.0,42.0,18.9,17.3,56.9,0.5,6.6
Barden Ridge,344.0,675.0,85.0,5.0,27.0,30.3,59.5,7.5,0.4,2.4
Bardwell Park,381.0,270.0,153.0,6.0,39.0,45.0,31.9,18.1,0.7,4.6
Bardwell Valley,314.0,233.0,107.0,6.0,32.0,45.5,33.8,15.5,0.9,4.6
Barnsley,176.0,309.0,90.0,0.0,23.0,29.5,51.8,15.1,0.0,3.9
Barrack Heights,866.0,597.0,678.0,13.0,111.0,38.3,26.4,30.0,0.6,4.9
Barrack Point,125.0,56.0,42.0,3.0,23.0,50.2,22.5,16.9,1.2,9.2
Bass Hill,862.0,685.0,682.0,10.0,219.0,35.1,27.9,27.8,0.4,8.9
Bateau Bay,1702.0,1356.0,1052.0,128.0,261.0,37.8,30.1,23.4,2.8,5.8
Baulkham Hills,4491.0,4919.0,2027.0,55.0,404.0,37.7,41.3,17.0,0.5,3.4
Bayview,579.0,306.0,93.0,100.0,112.0,48.6,25.7,7.8,8.4,9.4
Beacon Hill,831.0,842.0,252.0,6.0,70.0,41.6,42.1,12.6,0.3,3.5
Beaconsfield,41.0,101.0,76.0,3.0,69.0,14.4,35.4,26.7,1.1,24.2
Beecroft,1404.0,973.0,307.0,22.0,78.0,50.4,34.9,11.0,0.8,2.8
Belfield,771.0,587.0,521.0,10.0,117.0,38.4,29.3,26.0,0.5,5.8
Bella Vista,516.0,1028.0,213.0,3.0,47.0,28.5,56.8,11.8,0.2,2.6
Bellambi,369.0,319.0,896.0,4.0,83.0,22.1,19.1,53.6,0.2,5.0
Bellevue Hill,1308.0,879.0,1181.0,14.0,502.0,33.7,22.6,30.4,0.4,12.9
Belmont,1089.0,679.0,759.0,39.0,157.0,40.0,24.9,27.9,1.4,5.8
Belmont North,765.0,752.0,398.0,33.0,90.0,37.5,36.9,19.5,1.6,4.4
Belmont South,168.0,93.0,195.0,0.0,22.0,35.1,19.5,40.8,0.0,4.6
Belmore,1379.0,969.0,1509.0,24.0,545.0,31.2,21.9,34.1,0.5,12.3
Belrose,1360.0,1069.0,235.0,45.0,104.0,48.4,38.0,8.4,1.6,3.7
Bensville,256.0,507.0,69.0,3.0,39.0,29.4,58.2,7.9,0.3,4.5
Berala,911.0,663.0,848.0,15.0,234.0,34.1,24.9,31.8,0.6,8.8
Berkeley,867.0,695.0,924.0,24.0,253.0,31.4,25.2,33.5,0.9,9.2
Berkeley Vale,959.0,1227.0,544.0,20.0,123.0,33.4,42.7,18.9,0.7,4.3
Berowra,472.0,687.0,164.0,3.0,39.0,34.5,50.3,12.0,0.2,2.9
Berowra Heights,635.0,853.0,123.0,0.0,74.0,37.7,50.6,7.3,0.0,4.4
Beverley Park,364.0,205.0,102.0,4.0,48.0,50.6,28.5,14.2,0.6,6.7
Beverly Hills,1298.0,810.0,647.0,13.0,157.0,44.4,27.7,22.1,0.4,5.4
Bexley,2331.0,1925.0,1442.0,26.0,456.0,37.7,31.2,23.3,0.4,7.4
Bexley North,587.0,300.0,354.0,17.0,80.0,43.8,22.4,26.4,1.3,6.0
Bidwill,120.0,170.0,944.0,8.0,135.0,8.7,12.3,68.5,0.6,9.8
Birchgrove,445.0,435.0,513.0,5.0,174.0,28.3,27.6,32.6,0.3,11.1
Birmingham Gardens,254.0,186.0,256.0,4.0,43.0,34.2,25.1,34.5,0.5,5.8
Birrong,327.0,171.0,117.0,0.0,64.0,48.0,25.1,17.2,0.0,9.4
Blackalls Park,442.0,342.0,229.0,4.0,42.0,41.8,32.3,21.6,0.4,4.0
Blackbutt,350.0,359.0,305.0,9.0,81.0,31.6,32.5,27.6,0.8,7.3
Blackett,221.0,269.0,486.0,0.0,83.0,20.8,25.3,45.8,0.0,7.8
Blacksmiths,200.0,124.0,100.0,3.0,31.0,44.0,27.3,22.0,0.7,6.8
Blacktown,3980.0,4313.0,4469.0,87.0,1002.0,28.7,31.1,32.3,0.6,7.2
Blackwall,299.0,210.0,199.0,0.0,75.0,38.0,26.7,25.3,0.0,9.5
Blairmount,21.0,46.0,50.0,3.0,8.0,16.5,36.2,39.4,2.4,6.3
Blakehurst,839.0,531.0,260.0,21.0,102.0,48.0,30.4,14.9,1.2,5.8
Blaxland,951.0,988.0,461.0,8.0,73.0,38.3,39.8,18.6,0.3,2.9
Blue Bay,153.0,55.0,184.0,0.0,44.0,35.2,12.6,42.3,0.0,10.1
Blue Haven,474.0,915.0,545.0,0.0,78.0,23.6,45.5,27.1,0.0,3.9
Bolton Point,183.0,128.0,399.0,16.0,46.0,23.7,16.6,51.7,2.1,6.0
Bondi,910.0,716.0,1929.0,22.0,879.0,20.4,16.1,43.3,0.5,19.7
Bondi Beach,766.0,731.0,2297.0,9.0,1460.0,14.6,13.9,43.7,0.2,27.8
Bondi Junction,963.0,546.0,1533.0,20.0,773.0,25.1,14.2,40.0,0.5,20.2
Bonnet Bay,374.0,299.0,35.0,0.0,15.0,52.1,41.6,4.9,0.0,2.1
Bonnyrigg,510.0,671.0,1072.0,12.0,186.0,20.8,27.4,43.7,0.5,7.6
Bonnyrigg Heights,570.0,934.0,280.0,6.0,78.0,30.5,50.0,15.0,0.3,4.2
Booker Bay,276.0,76.0,235.0,5.0,60.0,42.2,11.6,35.9,0.8,9.2
Boolaroo,159.0,119.0,93.0,9.0,18.0,40.4,30.2,23.6,2.3,4.6
Booragul,157.0,135.0,170.0,18.0,28.0,30.7,26.4,33.3,3.5,5.5
Bossley Park,1533.0,1520.0,809.0,21.0,231.0,37.3,36.9,19.7,0.5,5.6
Botany,751.0,1000.0,760.0,18.0,218.0,27.3,36.4,27.7,0.7,7.9
Bow Bowing,105.0,293.0,75.0,3.0,22.0,21.1,59.0,15.1,0.6,4.4
Bradbury,966.0,1238.0,838.0,43.0,207.0,29.3,37.6,25.4,1.3,6.3
Broadmeadow,219.0,202.0,294.0,4.0,43.0,28.7,26.4,38.5,0.5,5.6
Bronte,806.0,587.0,862.0,7.0,329.0,31.1,22.7,33.3,0.3,12.7
Brookvale,338.0,406.0,424.0,5.0,86.0,26.8,32.2,33.6,0.4,6.8
Budgewoi,532.0,302.0,364.0,6.0,83.0,41.3,23.4,28.2,0.5,6.4
Buff Point,524.0,447.0,304.0,3.0,61.0,39.2,33.5,22.8,0.2,4.6
Bulli,662.0,683.0,512.0,15.0,145.0,32.9,33.9,25.4,0.7,7.2
Burwood,1303.0,748.0,1832.0,19.0,468.0,29.8,17.1,41.9,0.4,10.7
Burwood Heights,128.0,70.0,51.0,0.0,21.0,47.4,25.9,18.9,0.0,7.8
Busby,314.0,334.0,533.0,6.0,93.0,24.6,26.1,41.7,0.5,7.3
Cabarita,321.0,248.0,130.0,4.0,79.0,40.9,31.6,16.6,0.5,10.1
Cabramatta,1642.0,1641.0,2545.0,28.0,781.0,24.7,24.7,38.4,0.4,11.8
Cabramatta West,670.0,530.0,581.0,11.0,154.0,34.4,27.2,29.9,0.6,7.9
Cambridge Gardens,205.0,350.0,112.0,0.0,22.0,29.8,50.9,16.3,0.0,3.2
Cambridge Park,701.0,850.0,523.0,7.0,87.0,32.3,39.2,24.1,0.3,4.0
Camden,410.0,362.0,393.0,22.0,73.0,32.6,28.8,31.2,1.7,5.8
Camden South,606.0,687.0,186.0,7.0,69.0,39.0,44.2,12.0,0.5,4.4
Cammeray,763.0,833.0,1380.0,15.0,208.0,23.9,26.0,43.2,0.5,6.5
Campbelltown,855.0,907.0,1202.0,14.0,235.0,26.6,28.2,37.4,0.4,7.3
Camperdown,278.0,667.0,1504.0,0.0,481.0,9.5,22.8,51.4,0.0,16.4
Campsie,1724.0,1615.0,3334.0,33.0,758.0,23.1,21.6,44.7,0.4,10.2
Canada Bay,158.0,144.0,139.0,0.0,42.0,32.8,29.9,28.9,0.0,8.7
Canley Heights,952.0,950.0,853.0,14.0,185.0,32.2,32.1,28.9,0.5,6.3
Canley Vale,871.0,800.0,969.0,13.0,289.0,29.6,27.2,32.9,0.4,9.8
Canterbury,631.0,550.0,652.0,13.0,155.0,31.6,27.5,32.6,0.7,7.8
Canton Beach,313.0,44.0,113.0,30.0,34.0,58.9,8.3,21.3,5.6,6.4
Cardiff,844.0,835.0,489.0,15.0,101.0,37.0,36.6,21.4,0.7,4.4
Cardiff Heights,404.0,374.0,106.0,19.0,45.0,42.6,39.5,11.2,2.0,4.7
Cardiff South,395.0,435.0,206.0,3.0,63.0,35.9,39.5,18.7,0.3,5.7
Caringbah,3306.0,2588.0,1964.0,37.0,507.0,39.4,30.8,23.4,0.4,6.0
Carlingford,2937.0,2287.0,1484.0,22.0,313.0,41.7,32.5,21.1,0.3,4.4
Carlton,1135.0,969.0,1019.0,20.0,411.0,31.9,27.3,28.7,0.6,11.6
Carramar,271.0,292.0,519.0,5.0,121.0,22.4,24.2,42.9,0.4,10.0
Carrington (Newcastle),185.0,171.0,377.0,5.0,85.0,22.5,20.8,45.8,0.6,10.3
Carss Park,193.0,134.0,96.0,0.0,27.0,43.3,30.0,21.5,0.0,6.1
Cartwright,143.0,188.0,383.0,8.0,114.0,17.1,22.5,45.9,1.0,13.7
Castle Cove,454.0,222.0,87.0,0.0,44.0,56.4,27.6,10.8,0.0,5.5
Castle Hill,4130.0,4791.0,1980.0,369.0,460.0,35.2,40.8,16.9,3.1,3.9
Castlecrag,468.0,330.0,117.0,5.0,28.0,49.4,34.8,12.4,0.5,3.0
Casula,1176.0,1724.0,1096.0,49.0,281.0,27.2,39.9,25.3,1.1,6.5
Caves Beach,661.0,469.0,260.0,16.0,57.0,45.1,32.0,17.7,1.1,3.9
Cecil Hills,395.0,1128.0,177.0,0.0,108.0,21.8,62.4,9.8,0.0,6.0
Centennial Park,217.0,189.0,546.0,0.0,228.0,18.3,16.0,46.1,0.0,19.3
Charlestown,1947.0,1442.0,1045.0,19.0,252.0,41.4,30.6,22.2,0.4,5.4
Charmhaven,278.0,313.0,209.0,4.0,26.0,33.6,37.8,25.2,0.5,3.1
Chatswood,1506.0,976.0,2393.0,39.0,655.0,27.0,17.5,43.0,0.7,11.8
Chatswood West,1052.0,901.0,852.0,13.0,199.0,34.9,29.9,28.2,0.4,6.6
Cheltenham,335.0,269.0,54.0,0.0,14.0,49.7,39.9,8.0,0.0,2.1
Cherrybrook,2177.0,2589.0,712.0,50.0,157.0,38.3,45.5,12.5,0.9,2.8
Chester Hill,1214.0,957.0,1106.0,27.0,284.0,33.8,26.7,30.8,0.8,7.9
Chifley,403.0,308.0,303.0,3.0,113.0,35.7,27.3,26.9,0.3,10.0
Chippendale,90.0,257.0,864.0,3.0,778.0,4.5,12.9,43.3,0.2,39.0
Chipping Norton,1125.0,1081.0,439.0,8.0,186.0,39.6,38.1,15.5,0.3,6.6
Chiswick,235.0,179.0,562.0,0.0,164.0,20.6,15.7,49.3,0.0,14.4
Chittaway Bay,264.0,264.0,185.0,3.0,32.0,35.3,35.3,24.7,0.4,4.3
Chittaway Point,100.0,115.0,62.0,5.0,17.0,33.7,38.7,20.9,1.7,5.7
Church Point,187.0,150.0,39.0,0.0,28.0,46.5,37.3,9.7,0.0,7.0
Claremont Meadows,128.0,671.0,217.0,4.0,57.0,11.9,62.2,20.1,0.4,5.3
Claymore,14.0,10.0,837.0,11.0,101.0,1.4,1.0,86.2,1.1,10.4
Clontarf,315.0,145.0,47.0,4.0,12.0,60.0,27.6,9.0,0.8,2.3
Clovelly,544.0,488.0,679.0,4.0,133.0,29.5,26.4,36.8,0.2,7.2
Coal Point,313.0,209.0,76.0,8.0,19.0,49.8,33.2,12.1,1.3,3.0
Coledale,125.0,124.0,68.0,4.0,19.0,36.7,36.4,19.9,1.2,5.6
Collaroy,1809.0,1763.0,1302.0,40.0,302.0,34.7,33.8,25.0,0.8,5.8
Colyton,811.0,1094.0,572.0,13.0,209.0,30.0,40.5,21.2,0.5,7.7
Como,514.0,565.0,127.0,4.0,23.0,41.6,45.7,10.3,0.3,1.9
Concord,2042.0,1321.0,975.0,12.0,320.0,43.7,28.3,20.9,0.3,6.8
Concord West,855.0,573.0,379.0,13.0,120.0,44.1,29.6,19.5,0.7,6.2
Condell Park,1335.0,940.0,747.0,10.0,260.0,40.6,28.6,22.7,0.3,7.9
Coniston,263.0,175.0,275.0,6.0,57.0,34.0,22.6,35.5,0.8,7.4
Connells Point,529.0,294.0,107.0,0.0,45.0,54.1,30.1,11.0,0.0,4.6
Coogee,1409.0,1222.0,3012.0,19.0,673.0,22.2,19.3,47.6,0.3,10.6
Cooks Hill,270.0,298.0,743.0,10.0,129.0,18.6,20.5,51.1,0.7,8.9
Copacabana,272.0,396.0,204.0,0.0,66.0,29.0,42.2,21.7,0.0,7.0
Cordeaux Heights,573.0,713.0,108.0,4.0,76.0,38.9,48.4,7.3,0.3,5.2
Corrimal,1054.0,698.0,733.0,32.0,130.0,39.8,26.4,27.7,1.2,4.9
Cranebrook,681.0,2173.0,1123.0,11.0,229.0,16.1,51.5,26.6,0.3,5.4
Cremorne,1335.0,1140.0,2110.0,19.0,655.0,25.4,21.7,40.1,0.4,12.5
Cremorne Point,245.0,139.0,396.0,3.0,160.0,26.0,14.8,42.0,0.3,17.0
Cringila,395.0,160.0,139.0,4.0,49.0,52.9,21.4,18.6,0.5,6.6
Cromer,1073.0,1086.0,363.0,72.0,112.0,39.7,40.1,13.4,2.7,4.1
Cronulla,2227.0,1816.0,3103.0,28.0,1002.0,27.2,22.2,37.9,0.3,12.3
Croudace Bay,73.0,61.0,13.0,0.0,7.0,47.4,39.6,8.4,0.0,4.5
Crows Nest,313.0,416.0,722.0,8.0,154.0,19.4,25.8,44.8,0.5,9.6
Croydon,1262.0,901.0,940.0,18.0,282.0,37.1,26.5,27.6,0.5,8.3
Croydon Park,1315.0,1140.0,1184.0,19.0,312.0,33.1,28.7,29.8,0.5,7.9
Curl Curl,279.0,241.0,201.0,0.0,31.0,37.2,32.1,26.8,0.0,4.1
Currans Hill,147.0,976.0,448.0,4.0,60.0,9.0,59.8,27.4,0.2,3.7
Daceyville,52.0,28.0,443.0,9.0,52.0,8.9,4.8,76.1,1.5,8.9
Daleys Point,120.0,41.0,32.0,39.0,15.0,48.6,16.6,13.0,15.8,6.1
Dapto,1556.0,1393.0,857.0,24.0,156.0,39.0,34.9,21.5,0.6,3.9
Darling Point,819.0,273.0,598.0,17.0,303.0,40.7,13.6,29.7,0.8,15.1
Darlinghurst,541.0,821.0,2223.0,10.0,2065.0,9.6,14.5,39.3,0.2,36.5
Darlington (Sydney),113.0,153.0,404.0,0.0,223.0,12.7,17.2,45.3,0.0,25.0
Davidson,380.0,337.0,42.0,4.0,15.0,49.2,43.6,5.4,0.5,1.9
Davistown,386.0,279.0,174.0,78.0,50.0,40.0,28.9,18.0,8.1,5.2
Dawes Point,44.0,41.0,133.0,7.0,121.0,12.8,11.9,38.6,2.0,35.1
Dean Park,191.0,476.0,190.0,7.0,75.0,20.4,50.7,20.3,0.7,8.0
Dee Why,1694.0,2222.0,3301.0,43.0,853.0,20.9,27.4,40.7,0.5,10.5
Denistone,541.0,425.0,155.0,0.0,38.0,46.7,36.7,13.4,0.0,3.3
Denistone East,331.0,261.0,90.0,4.0,19.0,46.9,37.0,12.7,0.6,2.7
Denistone West,115.0,91.0,24.0,0.0,9.0,47.9,37.9,10.0,0.0,3.8
Dharruk,230.0,347.0,244.0,4.0,50.0,26.2,39.6,27.8,0.5,5.7
Dolans Bay,189.0,150.0,42.0,0.0,14.0,48.3,38.4,10.7,0.0,3.6
Dolls Point,297.0,188.0,296.0,8.0,78.0,34.3,21.7,34.1,0.9,9.0
Doonside,927.0,1395.0,1673.0,16.0,265.0,21.7,32.6,39.1,0.4,6.2
Double Bay,775.0,356.0,829.0,8.0,248.0,34.9,16.0,37.3,0.4,11.2
Dover Heights,605.0,375.0,235.0,37.0,191.0,41.9,26.0,16.3,2.6,13.2
Drummoyne,1456.0,1141.0,1522.0,44.0,421.0,31.8,24.9,33.2,1.0,9.2
Dudley,380.0,302.0,130.0,5.0,27.0,45.1,35.9,15.4,0.6,3.2
Dulwich Hill,1312.0,1402.0,2097.0,17.0,521.0,24.5,26.2,39.2,0.3,9.7
Dundas,963.0,1070.0,1431.0,9.0,259.0,25.8,28.7,38.3,0.2,6.9
Dundas Valley,741.0,720.0,599.0,81.0,189.0,31.8,30.9,25.7,3.5,8.1
Dural (Baulkham Hills and Hornsby),944.0,891.0,292.0,14.0,113.0,41.8,39.5,12.9,0.6,5.0
Eagle Vale,325.0,957.0,327.0,3.0,90.0,19.1,56.2,19.2,0.2,5.3
Earlwood,2724.0,1556.0,1065.0,27.0,472.0,46.6,26.6,18.2,0.5,8.1
East Gosford,566.0,336.0,646.0,22.0,149.0,32.9,19.5,37.6,1.3,8.7
East Hills,360.0,279.0,273.0,0.0,57.0,37.0,28.7,28.1,0.0,5.9
East Killara,484.0,283.0,103.0,0.0,41.0,53.1,31.1,11.3,0.0,4.5
East Lindfield,606.0,362.0,117.0,33.0,46.0,52.0,31.0,10.0,2.8,3.9
East Ryde,400.0,260.0,80.0,3.0,30.0,51.7,33.6,10.3,0.4,3.9
Eastern Creek,61.0,80.0,26.0,0.0,10.0,34.5,45.2,14.7,0.0,5.6
Eastlakes,647.0,493.0,1312.0,24.0,211.0,24.1,18.3,48.8,0.9,7.8
Eastwood,1903.0,1430.0,1489.0,15.0,378.0,36.5,27.4,28.6,0.3,7.2
Edensor Park,910.0,1114.0,487.0,6.0,105.0,34.7,42.5,18.6,0.2,4.0
Edgecliff,243.0,126.0,405.0,3.0,152.0,26.2,13.6,43.6,0.3,16.4
Edgeworth,728.0,845.0,477.0,80.0,133.0,32.2,37.4,21.1,3.5,5.9
Elanora Heights,528.0,513.0,132.0,5.0,41.0,43.3,42.1,10.8,0.4,3.4
Elderslie (Camden),345.0,386.0,222.0,5.0,37.0,34.6,38.8,22.3,0.5,3.7
Eleebana,867.0,799.0,186.0,17.0,49.0,45.2,41.6,9.7,0.9,2.6
Elermore Vale,634.0,610.0,347.0,0.0,77.0,38.0,36.5,20.8,0.0,4.6
Elizabeth Bay,525.0,452.0,1495.0,11.0,655.0,16.7,14.4,47.7,0.4,20.9
Emerton,110.0,211.0,345.0,5.0,74.0,14.7,28.2,46.2,0.7,9.9
Empire Bay,331.0,338.0,148.0,6.0,42.0,38.2,39.0,17.1,0.7,4.8
Emu Heights,297.0,574.0,165.0,0.0,18.0,28.2,54.5,15.7,0.0,1.7
Emu Plains,1056.0,1092.0,555.0,31.0,120.0,37.0,38.3,19.4,1.1,4.2
Enfield,332.0,267.0,296.0,8.0,46.0,35.1,28.2,31.3,0.8,4.9
Engadine,2438.0,2776.0,800.0,28.0,179.0,39.2,44.6,12.9,0.5,2.9
Enmore (Marrickville),296.0,386.0,677.0,3.0,209.0,18.8,24.6,43.1,0.2,13.3
Epping,2735.0,1833.0,1804.0,26.0,409.0,40.2,26.9,26.5,0.4,6.0
Erina,932.0,510.0,327.0,131.0,104.0,46.5,25.4,16.3,6.5,5.2
Ermington,1115.0,1062.0,1281.0,13.0,263.0,29.9,28.4,34.3,0.3,7.0
Erskine Park,389.0,1194.0,268.0,0.0,97.0,20.0,61.3,13.8,0.0,5.0
Erskineville,329.0,896.0,1725.0,11.0,240.0,10.3,28.0,53.9,0.3,7.5
Eschol Park,190.0,489.0,142.0,3.0,39.0,22.0,56.7,16.5,0.3,4.5
Ettalong Beach,797.0,220.0,800.0,13.0,170.0,39.9,11.0,40.1,0.7,8.5
Fairfield,1218.0,1050.0,2433.0,13.0,476.0,23.5,20.2,46.9,0.3,9.2
