,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Fairfield East,393.0,400.0,478.0,6.0,94.0,28.7,29.2,34.9,0.4,6.9
Fairfield Heights,591.0,425.0,765.0,3.0,169.0,30.3,21.8,39.2,0.2,8.7
Fairfield West,1227.0,1107.0,618.0,13.0,197.0,38.8,35.0,19.5,0.4,6.2
Fairlight,790.0,651.0,854.0,12.0,193.0,31.6,26.1,34.2,0.5,7.7
Fairy Meadow,917.0,550.0,1022.0,18.0,202.0,33.9,20.3,37.7,0.7,7.5
Farmborough Heights,452.0,579.0,108.0,3.0,97.0,36.4,46.7,8.7,0.2,7.8
Faulconbridge,529.0,647.0,216.0,9.0,54.0,36.4,44.5,14.8,0.6,3.7
Fennell Bay,254.0,200.0,123.0,0.0,25.0,42.1,33.1,20.4,0.0,4.1
Figtree,1770.0,1262.0,507.0,35.0,136.0,47.7,34.0,13.7,0.9,3.7
Five Dock,1053.0,836.0,1087.0,17.0,246.0,32.5,25.8,33.5,0.5,7.6
Fletcher,90.0,440.0,55.0,4.0,9.0,15.1,73.8,9.2,0.7,1.5
Flinders,308.0,623.0,376.0,7.0,64.0,22.3,45.2,27.3,0.5,4.6
Floraville,187.0,226.0,94.0,3.0,9.0,36.0,43.5,18.1,0.6,1.7
Forest Lodge,163.0,271.0,516.0,5.0,164.0,14.5,24.2,46.0,0.4,14.6
Forestville,1231.0,915.0,506.0,65.0,111.0,43.5,32.4,17.9,2.3,3.9
Forresters Beach,274.0,350.0,135.0,0.0,48.0,34.0,43.4,16.7,0.0,5.9
Frenchs Forest,1729.0,1759.0,469.0,10.0,110.0,42.4,43.1,11.5,0.2,2.7
Garden Suburb,256.0,259.0,47.0,0.0,26.0,43.5,44.0,8.0,0.0,4.4
Gateshead,384.0,391.0,508.0,4.0,84.0,28.0,28.5,37.1,0.3,6.1
Georges Hall,1215.0,841.0,372.0,7.0,121.0,47.6,32.9,14.6,0.3,4.7
Georgetown,281.0,281.0,223.0,0.0,31.0,34.4,34.4,27.3,0.0,3.8
Girraween,514.0,447.0,436.0,6.0,83.0,34.6,30.1,29.4,0.4,5.6
Gladesville,1381.0,1310.0,1544.0,22.0,294.0,30.4,28.8,33.9,0.5,6.5
Glebe,784.0,717.0,2896.0,51.0,840.0,14.8,13.6,54.8,1.0,15.9
Glen Alpine,383.0,776.0,48.0,6.0,52.0,30.3,61.4,3.8,0.5,4.1
Glenbrook,712.0,698.0,294.0,11.0,54.0,40.2,39.5,16.6,0.6,3.1
Glendale,479.0,394.0,303.0,9.0,32.0,39.3,32.3,24.9,0.7,2.6
Glendenning,113.0,894.0,343.0,10.0,76.0,7.9,62.3,23.9,0.7,5.3
Glenfield,652.0,791.0,519.0,19.0,244.0,29.3,35.6,23.4,0.9,11.0
Glenhaven,699.0,838.0,139.0,9.0,37.0,40.5,48.6,8.1,0.5,2.1
Glenmore Park,960.0,3459.0,1327.0,11.0,189.0,16.2,58.2,22.3,0.2,3.2
Glenning Valley,189.0,328.0,100.0,0.0,19.0,29.6,51.3,15.6,0.0,3.0
Glenwood,572.0,2568.0,795.0,6.0,142.0,14.0,62.9,19.5,0.1,3.5
Gordon,1013.0,575.0,340.0,11.0,65.0,50.7,28.8,17.0,0.6,3.3
Gorokan,1226.0,768.0,936.0,13.0,177.0,39.3,24.6,30.0,0.4,5.7
Gosford,213.0,196.0,933.0,0.0,290.0,13.1,12.0,57.2,0.0,17.8
Granville,1880.0,1947.0,3154.0,38.0,682.0,24.4,25.3,41.0,0.5,8.9
Grays Point,396.0,416.0,54.0,7.0,27.0,44.0,46.3,6.0,0.8,3.0
Green Point (Gosford),1064.0,839.0,437.0,19.0,106.0,43.1,34.0,17.7,0.8,4.3
Green Valley,713.0,1572.0,683.0,14.0,316.0,21.6,47.7,20.7,0.4,9.6
Greenacre,2295.0,2101.0,1959.0,40.0,533.0,33.1,30.3,28.3,0.6,7.7
Greenfield Park,538.0,566.0,260.0,4.0,97.0,36.7,38.6,17.7,0.3,6.6
Greenwich,679.0,554.0,533.0,17.0,162.0,34.9,28.5,27.4,0.9,8.3
Greystanes,3048.0,2317.0,1057.0,21.0,302.0,45.2,34.3,15.7,0.3,4.5
Guildford,1134.0,918.0,1378.0,19.0,460.0,29.0,23.5,35.3,0.5,11.8
Guildford West,454.0,477.0,325.0,8.0,148.0,32.1,33.7,23.0,0.6,10.5
Gwynneville,295.0,205.0,478.0,10.0,66.0,27.9,19.4,45.2,0.9,6.2
Gymea,1014.0,839.0,843.0,13.0,124.0,35.8,29.6,29.7,0.5,4.4
Gymea Bay,1067.0,1065.0,175.0,10.0,80.0,44.6,44.5,7.3,0.4,3.3
Haberfield,1157.0,609.0,457.0,11.0,114.0,49.3,26.0,19.5,0.5,4.9
Halekulani,503.0,276.0,194.0,4.0,56.0,48.6,26.7,18.8,0.4,5.4
Hamilton,475.0,345.0,706.0,30.0,129.0,28.2,20.5,41.9,1.8,7.7
Hamilton East,167.0,118.0,68.0,0.0,42.0,42.4,29.9,17.3,0.0,10.7
Hamilton North,117.0,127.0,105.0,6.0,20.0,31.0,33.7,27.9,1.6,5.3
Hamilton South,494.0,344.0,770.0,6.0,195.0,27.3,19.0,42.5,0.3,10.8
Hammondville,261.0,452.0,203.0,0.0,32.0,27.5,47.6,21.4,0.0,3.4
Harrington Park,274.0,1176.0,250.0,3.0,91.0,15.3,65.5,13.9,0.2,5.1
Harris Park,360.0,506.0,1591.0,19.0,283.0,13.1,18.4,57.7,0.7,10.3
Hassall Grove,146.0,749.0,278.0,3.0,49.0,11.9,60.9,22.6,0.2,4.0
Haymarket,179.0,163.0,818.0,6.0,352.0,11.8,10.7,53.9,0.4,23.2
Heathcote,811.0,813.0,177.0,93.0,75.0,41.2,41.3,9.0,4.7,3.8
Hebersham,372.0,626.0,601.0,3.0,157.0,21.1,35.6,34.2,0.2,8.9
Heckenberg,182.0,241.0,400.0,8.0,65.0,20.3,26.9,44.6,0.9,7.3
Henley,73.0,45.0,37.0,0.0,6.0,44.8,27.6,22.7,0.0,3.7
Highfields,105.0,114.0,39.0,0.0,9.0,38.9,42.2,14.4,0.0,3.3
Hillsborough (Lake Macquarie),90.0,108.0,18.0,0.0,6.0,40.0,48.0,8.0,0.0,2.7
Hillsdale,341.0,408.0,943.0,5.0,130.0,18.7,22.4,51.7,0.3,7.1
Hinchinbrook,536.0,1660.0,542.0,16.0,165.0,18.4,56.9,18.6,0.5,5.7
Holmesville,193.0,259.0,64.0,0.0,19.0,36.1,48.5,12.0,0.0,3.6
Holsworthy,127.0,690.0,391.0,4.0,29.0,10.3,55.7,31.6,0.3,2.3
Homebush,477.0,585.0,1070.0,17.0,298.0,19.5,23.9,43.7,0.7,12.2
Homebush West,172.0,381.0,1011.0,5.0,192.0,9.8,21.6,57.4,0.3,10.9
Horningsea Park,100.0,658.0,158.0,4.0,85.0,9.9,65.4,15.7,0.4,8.4
Hornsby,1918.0,2155.0,3050.0,53.0,420.0,25.3,28.4,40.2,0.7,5.5
Hornsby Heights,722.0,980.0,192.0,4.0,54.0,36.9,50.2,9.8,0.2,2.8
Horsley,533.0,1273.0,231.0,3.0,78.0,25.2,60.1,10.9,0.1,3.7
Hoxton Park,169.0,597.0,204.0,0.0,67.0,16.3,57.5,19.7,0.0,6.5
Hunters Hill,1185.0,823.0,604.0,63.0,251.0,40.5,28.1,20.6,2.2,8.6
Huntleys Point,27.0,18.0,4.0,0.0,5.0,48.2,32.1,7.1,0.0,8.9
Hurlstone Park,708.0,502.0,510.0,7.0,108.0,38.6,27.4,27.8,0.4,5.9
Hurstville,2284.0,2244.0,3128.0,39.0,618.0,27.5,27.0,37.6,0.5,7.4
Hurstville Grove,394.0,246.0,92.0,5.0,21.0,52.0,32.5,12.2,0.7,2.8
Illawong,984.0,977.0,159.0,3.0,70.0,44.8,44.5,7.2,0.1,3.2
Ingleburn,1403.0,1836.0,1415.0,20.0,294.0,28.2,37.0,28.5,0.4,5.9
Ingleside,38.0,20.0,24.0,0.0,7.0,41.8,22.0,26.4,0.0,7.7
Islington,166.0,163.0,269.0,3.0,130.0,22.7,22.3,36.7,0.4,17.8
Jamisontown,523.0,699.0,567.0,0.0,89.0,27.8,37.2,30.2,0.0,4.7
Jannali,708.0,742.0,592.0,11.0,107.0,32.8,34.4,27.4,0.5,5.0
Jesmond,270.0,137.0,572.0,7.0,88.0,25.1,12.7,53.2,0.7,8.2
Jewells,391.0,394.0,62.0,11.0,39.0,43.6,43.9,6.9,1.2,4.3
Kahibah,428.0,373.0,192.0,3.0,44.0,41.2,35.9,18.5,0.3,4.2
Kanahooka,940.0,620.0,187.0,33.0,73.0,50.8,33.5,10.1,1.8,3.9
Kangaroo Point,112.0,60.0,15.0,0.0,7.0,57.7,30.9,7.7,0.0,3.6
Kanwal,556.0,459.0,291.0,5.0,81.0,39.9,33.0,20.9,0.4,5.8
Kareela,462.0,304.0,41.0,4.0,25.0,55.4,36.5,4.9,0.5,3.0
Kariong,418.0,1068.0,421.0,5.0,76.0,21.0,53.7,21.2,0.3,3.8
Kearns,207.0,498.0,114.0,0.0,31.0,24.3,58.5,13.4,0.0,3.6
Keiraville,511.0,268.0,335.0,28.0,61.0,42.4,22.3,27.8,2.3,5.1
Kellyville,1140.0,3318.0,710.0,8.0,213.0,21.2,61.6,13.2,0.1,4.0
Kembla Grange,17.0,18.0,14.0,3.0,0.0,32.1,34.0,26.4,5.7,0.0
Kensington,998.0,644.0,2029.0,13.0,370.0,24.6,15.9,50.0,0.3,9.1
Kilaben Bay,214.0,161.0,60.0,4.0,14.0,47.3,35.6,13.3,0.9,3.1
Killara,1525.0,913.0,445.0,66.0,110.0,49.8,29.8,14.5,2.2,3.6
Killarney Heights,687.0,473.0,156.0,0.0,31.0,51.0,35.1,11.6,0.0,2.3
Killarney Vale,930.0,824.0,689.0,59.0,148.0,35.1,31.1,26.0,2.2,5.6
Kincumber,956.0,836.0,536.0,280.0,180.0,34.3,30.0,19.2,10.0,6.5
Kincumber South,275.0,48.0,35.0,0.0,26.0,71.6,12.5,9.1,0.0,6.8
Kings Langley,1091.0,1495.0,334.0,16.0,98.0,36.0,49.3,11.0,0.5,3.2
Kings Park,316.0,603.0,212.0,3.0,37.0,27.0,51.5,18.1,0.3,3.2
Kingsford,1704.0,1027.0,2242.0,24.0,576.0,30.6,18.4,40.2,0.4,10.3
Kingsgrove,1907.0,894.0,780.0,24.0,219.0,49.8,23.4,20.4,0.6,5.7
Kingswood (Penrith),730.0,911.0,1475.0,11.0,214.0,21.8,27.3,44.1,0.3,6.4
Kirrawee,1304.0,1220.0,763.0,34.0,154.0,37.5,35.1,21.9,1.0,4.4
Kirribilli,395.0,189.0,1137.0,9.0,260.0,19.9,9.5,57.2,0.5,13.1
Kogarah,1224.0,1141.0,1805.0,12.0,441.0,26.5,24.7,39.1,0.3,9.5
Kogarah Bay,327.0,187.0,72.0,4.0,55.0,50.9,29.1,11.2,0.6,8.6
Koolewong,124.0,110.0,54.0,3.0,62.0,35.0,31.1,15.3,0.8,17.5
Koonawarra,316.0,392.0,504.0,5.0,54.0,24.9,30.9,39.7,0.4,4.3
Kotara,718.0,527.0,239.0,10.0,55.0,46.4,34.0,15.4,0.6,3.6
Kotara South,197.0,157.0,92.0,0.0,10.0,43.4,34.6,20.3,0.0,2.2
Kurnell,230.0,333.0,105.0,3.0,55.0,31.7,45.9,14.5,0.4,7.6
Kyeemagh,154.0,81.0,34.0,3.0,15.0,52.9,27.8,11.7,1.0,5.2
Kyle Bay,220.0,132.0,45.0,0.0,17.0,53.1,31.9,10.9,0.0,4.1
La Perouse,39.0,17.0,52.0,0.0,16.0,30.5,13.3,40.6,0.0,12.5
Lake Haven,598.0,357.0,387.0,61.0,74.0,40.5,24.2,26.2,4.1,5.0
Lake Heights,589.0,254.0,241.0,6.0,74.0,50.7,21.9,20.7,0.5,6.4
Lake Illawarra,409.0,273.0,590.0,9.0,102.0,29.5,19.7,42.6,0.6,7.4
Lakelands,199.0,224.0,54.0,0.0,18.0,40.3,45.3,10.9,0.0,3.6
Lakemba,1092.0,1131.0,2336.0,13.0,524.0,21.4,22.2,45.8,0.3,10.3
Lalor Park,780.0,889.0,990.0,19.0,204.0,27.1,30.8,34.4,0.7,7.1
Lambton,604.0,567.0,654.0,9.0,97.0,31.3,29.4,33.9,0.5,5.0
Lane Cove,1288.0,1088.0,1261.0,46.0,230.0,32.9,27.8,32.2,1.2,5.9
Lane Cove North,956.0,1162.0,1453.0,51.0,342.0,24.1,29.3,36.6,1.3,8.6
Lane Cove West,273.0,319.0,188.0,7.0,26.0,33.7,39.3,23.2,0.9,3.2
Lansvale,294.0,279.0,127.0,3.0,67.0,38.3,36.4,16.6,0.4,8.7
Lapstone,163.0,118.0,37.0,0.0,11.0,49.4,35.8,11.2,0.0,3.3
Lavender Bay,109.0,62.0,267.0,0.0,89.0,20.6,11.7,50.6,0.0,16.9
Leichhardt,1215.0,1666.0,2073.0,21.0,458.0,22.4,30.7,38.2,0.4,8.4
Leonay,345.0,382.0,87.0,3.0,19.0,41.3,45.7,10.4,0.4,2.3
Lethbridge Park,304.0,380.0,826.0,12.0,123.0,18.5,23.1,50.3,0.7,7.5
Leumeah,966.0,1138.0,915.0,10.0,190.0,30.0,35.3,28.4,0.3,5.9
Lewisham,294.0,323.0,418.0,8.0,83.0,26.1,28.7,37.2,0.7,7.4
Liberty Grove,106.0,359.0,253.0,3.0,41.0,13.9,47.1,33.2,0.4,5.4
Lidcombe,1349.0,1289.0,1419.0,26.0,572.0,29.0,27.7,30.5,0.6,12.3
Lilli Pilli (Sutherland Shire),336.0,268.0,41.0,5.0,30.0,49.5,39.5,6.0,0.7,4.4
Lilyfield,735.0,887.0,989.0,16.0,246.0,25.6,30.9,34.4,0.6,8.6
Lindfield,1113.0,835.0,494.0,26.0,115.0,43.0,32.3,19.1,1.0,4.4
Linley Point,67.0,40.0,11.0,0.0,0.0,55.8,33.3,9.2,0.0,0.0
Lisarow,420.0,903.0,255.0,11.0,64.0,25.4,54.6,15.4,0.7,3.9
Little Bay,242.0,158.0,239.0,4.0,61.0,34.4,22.5,34.0,0.6,8.7
Liverpool,1502.0,1653.0,3605.0,29.0,1022.0,19.2,21.2,46.1,0.4,13.1
Loftus,615.0,603.0,130.0,6.0,36.0,44.3,43.4,9.4,0.4,2.6
Long Jetty,804.0,379.0,928.0,8.0,247.0,34.0,16.0,39.2,0.3,10.4
Long Point (Campbelltown),42.0,34.0,31.0,4.0,0.0,37.5,30.4,27.7,3.6,0.0
Longueville,345.0,217.0,46.0,3.0,23.0,54.3,34.2,7.2,0.5,3.6
Lugarno,1014.0,679.0,168.0,7.0,59.0,52.6,35.2,8.7,0.4,3.1
Lurnea,661.0,664.0,891.0,4.0,304.0,26.2,26.3,35.3,0.2,12.1
Macquarie Fields,868.0,1352.0,1826.0,19.0,422.0,19.3,30.1,40.7,0.4,9.4
Macquarie Hills,210.0,354.0,78.0,0.0,21.0,31.7,53.4,11.8,0.0,3.2
Macquarie Links,43.0,177.0,21.0,0.0,17.0,16.5,68.1,8.1,0.0,6.5
Macquarie Park,391.0,397.0,1417.0,59.0,325.0,15.1,15.3,54.7,2.3,12.6
Malabar,448.0,261.0,437.0,0.0,253.0,32.0,18.6,31.2,0.0,18.0
Mangerton,355.0,322.0,317.0,3.0,115.0,31.9,29.0,28.5,0.3,10.3
Manly,1591.0,991.0,2903.0,55.0,947.0,24.5,15.3,44.7,0.8,14.6
Manly Vale,552.0,691.0,818.0,13.0,109.0,25.2,31.6,37.4,0.6,5.0
Marayong,715.0,772.0,739.0,16.0,163.0,29.8,32.1,30.8,0.7,6.8
Mardi,215.0,383.0,347.0,4.0,41.0,21.7,38.6,35.0,0.4,4.1
Marks Point,235.0,138.0,351.0,4.0,44.0,30.4,17.9,45.4,0.5,5.7
Marmong Point,99.0,44.0,29.0,0.0,10.0,54.4,24.2,15.9,0.0,5.5
Maroubra,3276.0,2100.0,4311.0,103.0,1115.0,30.0,19.3,39.5,0.9,10.2
Marrickville,2369.0,2262.0,3695.0,38.0,879.0,25.6,24.5,40.0,0.4,9.5
Marsfield,1477.0,1269.0,1591.0,95.0,440.0,30.3,26.1,32.7,2.0,9.0
Maryland (Newcastle),707.0,1318.0,480.0,12.0,74.0,27.3,50.9,18.5,0.5,2.9
Maryville,157.0,158.0,223.0,4.0,84.0,25.0,25.2,35.6,0.6,13.4
Mascot,1037.0,860.0,993.0,11.0,257.0,32.8,27.2,31.4,0.3,8.1
Matraville,1059.0,820.0,1019.0,15.0,260.0,33.4,25.9,32.1,0.5,8.2
Mayfield (Newcastle),1130.0,1056.0,1471.0,21.0,299.0,28.4,26.6,37.0,0.5,7.5
Mayfield East,173.0,206.0,254.0,0.0,38.0,25.7,30.6,37.7,0.0,5.6
Mayfield West,222.0,221.0,232.0,4.0,48.0,30.5,30.4,31.9,0.5,6.6
Mays Hill,86.0,63.0,83.0,0.0,27.0,33.6,24.6,32.4,0.0,10.5
McMahons Point,246.0,182.0,569.0,4.0,137.0,21.5,15.9,49.8,0.4,12.0
Meadowbank,163.0,254.0,744.0,4.0,276.0,11.3,17.6,51.6,0.3,19.2
Melrose Park,235.0,288.0,141.0,0.0,29.0,34.0,41.7,20.4,0.0,4.2
Menai,914.0,1698.0,613.0,9.0,155.0,27.0,50.1,18.1,0.3,4.6
Merewether,1480.0,1185.0,1459.0,52.0,227.0,33.6,26.9,33.2,1.2,5.2
Merewether Heights,257.0,188.0,57.0,0.0,14.0,49.4,36.2,11.0,0.0,2.7
Merrylands,2097.0,1666.0,2949.0,23.0,712.0,28.2,22.4,39.6,0.3,9.6
Merrylands West,655.0,551.0,706.0,65.0,173.0,30.5,25.6,32.8,3.0,8.0
Middle Cove,174.0,126.0,35.0,4.0,16.0,49.3,35.7,9.9,1.1,4.5
Miller,173.0,212.0,610.0,14.0,114.0,15.5,19.0,54.6,1.3,10.2
Millers Point,124.0,90.0,449.0,9.0,404.0,11.5,8.4,41.7,0.8,37.5
Milperra,582.0,546.0,130.0,3.0,29.0,45.1,42.3,10.1,0.2,2.2
Milsons Point,182.0,112.0,344.0,0.0,267.0,20.1,12.4,38.1,0.0,29.5
Minchinbury,377.0,875.0,219.0,4.0,58.0,24.6,57.2,14.3,0.3,3.8
Minmi,50.0,136.0,27.0,0.0,12.0,22.1,60.2,11.9,0.0,5.3
Minto,556.0,1304.0,1479.0,17.0,239.0,15.5,36.3,41.2,0.5,6.6
Miranda,1760.0,1501.0,1745.0,35.0,383.0,32.4,27.7,32.2,0.6,7.1
Mona Vale,1448.0,1025.0,803.0,71.0,235.0,40.4,28.6,22.4,2.0,6.6
Monterey,674.0,369.0,430.0,8.0,279.0,38.3,21.0,24.4,0.5,15.9
Moorebank,932.0,930.0,556.0,8.0,143.0,36.3,36.2,21.6,0.3,5.6
Mortdale,1200.0,1179.0,1262.0,16.0,244.0,30.8,30.2,32.4,0.4,6.3
Mortlake,47.0,60.0,85.0,0.0,20.0,22.2,28.3,40.1,0.0,9.4
Mosman,3876.0,2640.0,3760.0,71.0,934.0,34.4,23.4,33.3,0.6,8.3
Mount Annan,371.0,1690.0,423.0,11.0,57.0,14.5,66.2,16.6,0.4,2.2
Mount Colah,826.0,1094.0,310.0,9.0,61.0,35.9,47.6,13.5,0.4,2.7
Mount Druitt,909.0,1356.0,1758.0,14.0,535.0,19.9,29.6,38.4,0.3,11.7
Mount Hutton,384.0,369.0,343.0,7.0,100.0,31.9,30.6,28.5,0.6,8.3
Mount Keira,241.0,180.0,58.0,0.0,22.0,48.1,35.9,11.6,0.0,4.4
Mount Kembla,139.0,109.0,45.0,0.0,14.0,45.0,35.3,14.6,0.0,4.5
Mount Lewis,115.0,75.0,116.0,4.0,27.0,34.3,22.4,34.6,1.2,8.1
Mount Ousley,342.0,181.0,81.0,0.0,28.0,53.9,28.5,12.8,0.0,4.4
Mount Pleasant,164.0,114.0,30.0,0.0,17.0,50.8,35.3,9.3,0.0,5.3
Mount Pritchard,980.0,894.0,792.0,8.0,263.0,33.4,30.4,27.0,0.3,9.0
Mount Riverview,432.0,474.0,112.0,4.0,36.0,41.0,45.0,10.6,0.4,3.4
Mount Saint Thomas,212.0,220.0,128.0,0.0,33.0,35.7,37.0,21.5,0.0,5.6
Mount Warrigal,783.0,577.0,403.0,0.0,60.0,43.0,31.7,22.1,0.0,3.3
Narara,840.0,1269.0,515.0,6.0,121.0,30.5,46.1,18.7,0.2,4.4
Narellan,318.0,504.0,306.0,3.0,113.0,25.6,40.6,24.7,0.2,9.1
Narellan Vale,398.0,1423.0,455.0,8.0,56.0,17.0,60.8,19.5,0.3,2.4
Naremburn,572.0,711.0,711.0,7.0,113.0,27.0,33.6,33.6,0.3,5.3
Narrabeen,723.0,613.0,1154.0,182.0,302.0,24.3,20.6,38.8,6.1,10.2
Narraweena,729.0,551.0,618.0,61.0,107.0,35.3,26.7,29.9,3.0,5.2
Narwee,622.0,518.0,649.0,5.0,132.0,32.3,26.9,33.7,0.3,6.9
Neutral Bay,1210.0,993.0,2569.0,17.0,623.0,22.4,18.3,47.5,0.3,11.5
New Lambton,1435.0,1183.0,1116.0,17.0,224.0,36.1,29.8,28.1,0.4,5.6
New Lambton Heights,243.0,249.0,62.0,0.0,27.0,41.9,42.9,10.7,0.0,4.7
Newcastle,157.0,159.0,444.0,0.0,143.0,17.4,17.6,49.1,0.0,15.8
Newcastle East,88.0,59.0,278.0,3.0,78.0,17.4,11.7,55.0,0.6,15.4
Newcastle West,26.0,32.0,118.0,4.0,28.0,12.4,15.2,56.2,1.9,13.3
Newington,280.0,762.0,590.0,7.0,194.0,15.3,41.5,32.2,0.4,10.6
Newport,1275.0,1227.0,822.0,14.0,225.0,35.8,34.4,23.1,0.4,6.3
Newtown,843.0,1367.0,2919.0,18.0,1243.0,13.2,21.4,45.7,0.3,19.4
Niagara Park,231.0,361.0,206.0,4.0,28.0,27.8,43.4,24.8,0.5,3.4
Norah Head,191.0,110.0,96.0,0.0,17.0,46.2,26.6,23.2,0.0,4.1
Noraville,397.0,284.0,291.0,6.0,38.0,39.1,28.0,28.7,0.6,3.7
Normanhurst,605.0,578.0,287.0,46.0,76.0,38.1,36.4,18.1,2.9,4.8
North Avoca,232.0,342.0,165.0,6.0,64.0,28.6,42.1,20.3,0.7,7.9
North Balgowlah,402.0,494.0,171.0,0.0,40.0,36.1,44.3,15.4,0.0,3.6
North Bondi,888.0,850.0,1331.0,20.0,610.0,24.0,23.0,36.0,0.5,16.5
North Curl Curl,452.0,402.0,210.0,5.0,49.0,40.4,35.9,18.8,0.4,4.4
North Epping,676.0,513.0,197.0,3.0,53.0,46.9,35.6,13.7,0.2,3.7
North Gosford,306.0,422.0,558.0,0.0,82.0,22.3,30.8,40.7,0.0,6.0
North Lambton,448.0,352.0,364.0,10.0,61.0,36.3,28.5,29.5,0.8,4.9
North Manly,380.0,316.0,170.0,7.0,34.0,42.0,35.0,18.8,0.8,3.8
North Narrabeen,668.0,750.0,324.0,7.0,130.0,35.6,40.0,17.3,0.4,6.9
North Parramatta,468.0,783.0,1696.0,62.0,523.0,13.2,22.2,48.0,1.8,14.8
