,Personal,Family,Household,Personal (%),Family (%),Household (%)
Abbotsbury,616.0,1965.0,1971.0,--,--,--
New South Wales,561.0,1477.0,1237.0,--,--,--
Australia,577.0,1481.0,1234.0,--,--,--
Abbotsford (NSW),826.0,2248.0,1727.0,--,--,--
Acacia Gardens,837.0,2204.0,2217.0,--,--,--
Adamstown,626.0,1641.0,1214.0,--,--,--
Adamstown Heights,626.0,1741.0,1448.0,--,--,--
Airds,310.0,641.0,544.0,--,--,--
Albion Park,556.0,1607.0,1483.0,--,--,--
Albion Park Rail,466.0,1208.0,1028.0,--,--,--
Alexandria,1168.0,2501.0,2075.0,--,--,--
Alfords Point,707.0,2483.0,2496.0,--,--,--
Allambie Heights,631.0,2171.0,1689.0,--,--,--
Allawah,568.0,1300.0,1204.0,--,--,--
Ambarvale,497.0,1237.0,1160.0,--,--,--
Annandale (NSW),1069.0,2739.0,2086.0,--,--,--
Argenton,395.0,970.0,810.0,--,--,--
Arncliffe,470.0,1385.0,1251.0,--,--,--
Artarmon,936.0,2402.0,1910.0,--,--,--
Ashbury,621.0,1921.0,1693.0,--,--,--
Ashcroft,343.0,869.0,694.0,--,--,--
Ashfield (NSW),574.0,1458.0,1314.0,--,--,--
Asquith,639.0,1910.0,1643.0,--,--,--
Auburn (NSW),352.0,957.0,968.0,--,--,--
Austinmer,756.0,2145.0,1786.0,--,--,--
Avoca Beach,646.0,1704.0,1458.0,--,--,--
Balgowlah,903.0,2439.0,1912.0,--,--,--
Balgowlah Heights,915.0,2841.0,2695.0,--,--,--
Balgownie,541.0,1642.0,1308.0,--,--,--
Balmain,1208.0,2868.0,2456.0,--,--,--
Balmain East,1221.0,2833.0,2511.0,--,--,--
Bangor (NSW),765.0,2308.0,2171.0,--,--,--
Banksia,531.0,1434.0,1371.0,--,--,--
Bankstown,377.0,989.0,950.0,--,--,--
Bar Beach,763.0,2568.0,1129.0,--,--,--
Barden Ridge,718.0,2501.0,2495.0,--,--,--
Bardwell Park,650.0,1803.0,1606.0,--,--,--
Bardwell Valley,568.0,1650.0,1415.0,--,--,--
Barnsley,579.0,1371.0,1330.0,--,--,--
Barrack Heights,408.0,1092.0,943.0,--,--,--
Barrack Point,530.0,1461.0,1103.0,--,--,--
Bass Hill,395.0,1218.0,1051.0,--,--,--
Bateau Bay,471.0,1273.0,938.0,--,--,--
Baulkham Hills,710.0,2041.0,1872.0,--,--,--
Bayview (NSW),721.0,2246.0,1606.0,--,--,--
Beacon Hill,671.0,2048.0,1950.0,--,--,--
Beaconsfield (NSW),1062.0,2402.0,2178.0,--,--,--
Beecroft,796.0,2663.0,2523.0,--,--,--
Belfield,474.0,1311.0,1135.0,--,--,--
Bella Vista,754.0,2675.0,2634.0,--,--,--
Bellambi,392.0,971.0,763.0,--,--,--
Bellevue Hill,1102.0,2857.0,2566.0,--,--,--
Belmont (NSW),479.0,1287.0,860.0,--,--,--
Belmont North,515.0,1419.0,1194.0,--,--,--
Belmont South,443.0,986.0,827.0,--,--,--
Belmore,413.0,1088.0,987.0,--,--,--
Belrose,664.0,2156.0,1782.0,--,--,--
Bensville,617.0,1718.0,1606.0,--,--,--
Berala,391.0,1069.0,1012.0,--,--,--
Berkeley,386.0,1112.0,885.0,--,--,--
Berkeley Vale,519.0,1330.0,1135.0,--,--,--
Berowra,742.0,2272.0,2091.0,--,--,--
Berowra Heights,735.0,2045.0,1885.0,--,--,--
Beverley Park,594.0,1731.0,1522.0,--,--,--
Beverly Hills,516.0,1476.0,1260.0,--,--,--
Bexley,528.0,1469.0,1358.0,--,--,--
Bexley North,508.0,1423.0,1251.0,--,--,--
Bidwill (NSW),340.0,714.0,686.0,--,--,--
Birchgrove,1356.0,3061.0,2726.0,--,--,--
Birmingham Gardens,380.0,1149.0,914.0,--,--,--
Birrong,420.0,1189.0,1095.0,--,--,--
Blackalls Park,472.0,1159.0,986.0,--,--,--
Blackbutt (NSW),511.0,1476.0,1230.0,--,--,--
Blackett,380.0,912.0,847.0,--,--,--
Blacksmiths,432.0,1069.0,742.0,--,--,--
Blacktown,507.0,1273.0,1174.0,--,--,--
Blackwall (NSW),468.0,1145.0,898.0,--,--,--
Blairmount,609.0,1571.0,1489.0,--,--,--
Blakehurst,691.0,2111.0,1903.0,--,--,--
Blaxland (NSW),655.0,1834.0,1540.0,--,--,--
Blue Bay,512.0,989.0,837.0,--,--,--
Blue Haven,491.0,1191.0,1072.0,--,--,--
Bolton Point,388.0,952.0,794.0,--,--,--
Bondi,948.0,2237.0,1782.0,--,--,--
Bondi Beach,1050.0,2354.0,1856.0,--,--,--
Bondi Junction,911.0,2250.0,1634.0,--,--,--
Bonnet Bay,840.0,2516.0,2396.0,--,--,--
Bonnyrigg,340.0,1044.0,1051.0,--,--,--
Bonnyrigg Heights,436.0,1395.0,1470.0,--,--,--
Booker Bay,473.0,984.0,788.0,--,--,--
Boolaroo,465.0,1147.0,919.0,--,--,--
Booragul,419.0,1141.0,808.0,--,--,--
Bossley Park,438.0,1369.0,1381.0,--,--,--
Botany,698.0,1907.0,1628.0,--,--,--
Bow Bowing,668.0,1596.0,1549.0,--,--,--
Bradbury (NSW),546.0,1325.0,1210.0,--,--,--
Broadmeadow,602.0,1232.0,1054.0,--,--,--
Bronte,1069.0,2703.0,2318.0,--,--,--
Brookvale,727.0,1864.0,1451.0,--,--,--
Budgewoi,439.0,971.0,792.0,--,--,--
Buff Point,417.0,1019.0,838.0,--,--,--
Bulli,600.0,1797.0,1463.0,--,--,--
Burwood (NSW),437.0,1301.0,1185.0,--,--,--
Burwood Heights,544.0,1655.0,1399.0,--,--,--
Busby,342.0,905.0,820.0,--,--,--
Cabarita (NSW),933.0,2462.0,2435.0,--,--,--
Cabramatta,325.0,799.0,780.0,--,--,--
Cabramatta West,334.0,912.0,916.0,--,--,--
Cambridge Gardens,678.0,1682.0,1647.0,--,--,--
Cambridge Park,574.0,1388.0,1239.0,--,--,--
Camden,578.0,1659.0,1188.0,--,--,--
Camden South,678.0,1802.0,1620.0,--,--,--
Cammeray,1187.0,2749.0,2239.0,--,--,--
Campbelltown (NSW),484.0,1230.0,993.0,--,--,--
Camperdown (NSW),944.0,2581.0,1953.0,--,--,--
Campsie,389.0,974.0,945.0,--,--,--
Canada Bay,745.0,1954.0,1738.0,--,--,--
Canley Heights,342.0,960.0,1018.0,--,--,--
Canley Vale,337.0,899.0,824.0,--,--,--
Canterbury (NSW),527.0,1329.0,1229.0,--,--,--
Canton Beach,362.0,718.0,519.0,--,--,--
Cardiff (NSW),544.0,1348.0,1098.0,--,--,--
Cardiff Heights,489.0,1905.0,1389.0,--,--,--
Cardiff South,553.0,1373.0,1146.0,--,--,--
Caringbah,728.0,1800.0,1317.0,--,--,--
Carlingford,586.0,1710.0,1572.0,--,--,--
Carlton (NSW),559.0,1419.0,1320.0,--,--,--
Carramar (NSW),360.0,881.0,764.0,--,--,--
Carrington (Newcastle - NSW),596.0,1334.0,1059.0,--,--,--
Carss Park,586.0,2304.0,1352.0,--,--,--
Cartwright,335.0,849.0,609.0,--,--,--
Castle Cove,875.0,2678.0,2586.0,--,--,--
Castle Hill (NSW),721.0,2287.0,2059.0,--,--,--
Castlecrag,1102.0,2991.0,2793.0,--,--,--
Casula,527.0,1459.0,1366.0,--,--,--
Caves Beach,511.0,1427.0,1187.0,--,--,--
Cecil Hills,600.0,1800.0,1832.0,--,--,--
Centennial Park (NSW),1125.0,2635.0,1713.0,--,--,--
Charlestown (NSW),585.0,1557.0,1244.0,--,--,--
Charmhaven,455.0,1123.0,972.0,--,--,--
Chatswood,674.0,1886.0,1616.0,--,--,--
Chatswood West,838.0,2563.0,2503.0,--,--,--
Cheltenham (NSW),819.0,2720.0,2568.0,--,--,--
Cherrybrook,682.0,2423.0,2267.0,--,--,--
Chester Hill,383.0,1106.0,935.0,--,--,--
Chifley (NSW),549.0,1778.0,1289.0,--,--,--
Chippendale,730.0,1765.0,1371.0,--,--,--
Chipping Norton,651.0,1736.0,1609.0,--,--,--
Chiswick,1141.0,2506.0,2068.0,--,--,--
Chittaway Bay,478.0,1276.0,1104.0,--,--,--
Chittaway Point,535.0,1437.0,1187.0,--,--,--
Church Point,932.0,2465.0,2272.0,--,--,--
Claremont Meadows,703.0,1752.0,1652.0,--,--,--
Claymore,321.0,639.0,588.0,--,--,--
Clontarf (NSW),866.0,2796.0,2740.0,--,--,--
Clovelly,1131.0,2810.0,2529.0,--,--,--
Coal Point,667.0,1762.0,1583.0,--,--,--
Coledale,688.0,2015.0,1825.0,--,--,--
Collaroy (NSW),792.0,2128.0,1862.0,--,--,--
Colyton,531.0,1305.0,1180.0,--,--,--
Como (NSW),778.0,2505.0,2254.0,--,--,--
Concord,651.0,1993.0,1734.0,--,--,--
Concord West,654.0,2019.0,1750.0,--,--,--
Condell Park,405.0,1192.0,1111.0,--,--,--
Coniston,438.0,1187.0,985.0,--,--,--
Connells Point,727.0,2190.0,1834.0,--,--,--
Coogee (NSW),1107.0,2565.0,2099.0,--,--,--
Cooks Hill,752.0,1985.0,1398.0,--,--,--
Copacabana,659.0,1762.0,1488.0,--,--,--
Cordeaux Heights,637.0,2136.0,2082.0,--,--,--
Corrimal,474.0,1383.0,963.0,--,--,--
Cranebrook,658.0,1658.0,1555.0,--,--,--
Cremorne (NSW),1182.0,2750.0,2122.0,--,--,--
Cremorne Point,1331.0,2896.0,2530.0,--,--,--
Cringila,333.0,873.0,831.0,--,--,--
Cromer (NSW),674.0,1965.0,1659.0,--,--,--
Cronulla,863.0,1962.0,1455.0,--,--,--
Croudace Bay,593.0,1769.0,1358.0,--,--,--
Crows Nest (NSW),1165.0,2646.0,2095.0,--,--,--
Croydon (NSW),574.0,1798.0,1509.0,--,--,--
Croydon Park (NSW),559.0,1515.0,1295.0,--,--,--
Curl Curl,824.0,2561.0,2120.0,--,--,--
Currans Hill,753.0,1727.0,1669.0,--,--,--
Daceyville,355.0,863.0,462.0,--,--,--
Daleys Point,466.0,1125.0,804.0,--,--,--
Dapto,485.0,1250.0,1051.0,--,--,--
Darling Point,1353.0,2995.0,2511.0,--,--,--
Darlinghurst,1109.0,2694.0,1840.0,--,--,--
Darlington (Sydney - NSW),628.0,2287.0,1738.0,--,--,--
Davidson,795.0,2496.0,2403.0,--,--,--
Davistown,491.0,1210.0,948.0,--,--,--
Dawes Point,1492.0,3343.0,2703.0,--,--,--
Dean Park,602.0,1478.0,1422.0,--,--,--
Dee Why,765.0,1781.0,1435.0,--,--,--
Denistone,737.0,2288.0,2145.0,--,--,--
Denistone East,679.0,2178.0,1864.0,--,--,--
Denistone West,748.0,2125.0,1790.0,--,--,--
Dharruk,431.0,1170.0,1179.0,--,--,--
Dolans Bay,754.0,2542.0,2374.0,--,--,--
Dolls Point,714.0,1484.0,1206.0,--,--,--
Doonside,432.0,1203.0,1110.0,--,--,--
Double Bay,1135.0,2756.0,2277.0,--,--,--
Dover Heights,926.0,2739.0,2508.0,--,--,--
Drummoyne,1032.0,2616.0,2148.0,--,--,--
Dudley,685.0,1857.0,1621.0,--,--,--
Dulwich Hill,768.0,1824.0,1540.0,--,--,--
Dundas (NSW),555.0,1545.0,1379.0,--,--,--
Dundas Valley,558.0,1670.0,1370.0,--,--,--
Dural (Hornsby - NSW),681.0,2276.0,1998.0,--,--,--
Eagle Vale,601.0,1506.0,1459.0,--,--,--
Earlwood,547.0,1554.0,1391.0,--,--,--
East Gosford,517.0,1248.0,863.0,--,--,--
East Hills,576.0,1693.0,1319.0,--,--,--
East Killara,665.0,2402.0,2339.0,--,--,--
East Lindfield,894.0,2822.0,2694.0,--,--,--
East Ryde,741.0,2284.0,2034.0,--,--,--
Eastern Creek,516.0,1261.0,1068.0,--,--,--
Eastlakes,408.0,1094.0,865.0,--,--,--
Eastwood (NSW),523.0,1599.0,1327.0,--,--,--
Edensor Park,460.0,1411.0,1458.0,--,--,--
Edgecliff,1176.0,2680.0,1783.0,--,--,--
Edgeworth,476.0,1225.0,1015.0,--,--,--
Elanora Heights,703.0,2217.0,1997.0,--,--,--
Elderslie (Camden - NSW),695.0,1874.0,1671.0,--,--,--
Eleebana,694.0,2034.0,1833.0,--,--,--
Elermore Vale,539.0,1460.0,1212.0,--,--,--
Elizabeth Bay,1256.0,2662.0,1710.0,--,--,--
Emerton,363.0,884.0,825.0,--,--,--
Empire Bay,555.0,1404.0,1133.0,--,--,--
Emu Heights (NSW),695.0,1961.0,1801.0,--,--,--
Emu Plains,636.0,1731.0,1409.0,--,--,--
Enfield (NSW),530.0,1476.0,1292.0,--,--,--
Engadine,694.0,1853.0,1666.0,--,--,--
Enmore (Marrickville - NSW),892.0,2192.0,1714.0,--,--,--
Epping (NSW),646.0,1943.0,1683.0,--,--,--
Erina,478.0,1194.0,805.0,--,--,--
Ermington,511.0,1551.0,1294.0,--,--,--
Erskine Park,677.0,1904.0,1858.0,--,--,--
Erskineville,1196.0,2693.0,2290.0,--,--,--
Eschol Park,643.0,1611.0,1522.0,--,--,--
Ettalong Beach,435.0,908.0,721.0,--,--,--
Fairfield (NSW),339.0,892.0,813.0,--,--,--
Fairfield East,339.0,969.0,848.0,--,--,--
Fairfield Heights,341.0,979.0,912.0,--,--,--
Fairfield West,369.0,1075.0,1083.0,--,--,--
Fairlight,1063.0,2629.0,2213.0,--,--,--
Fairy Meadow,419.0,1161.0,867.0,--,--,--
Farmborough Heights,602.0,1733.0,1583.0,--,--,--
Faulconbridge,656.0,1815.0,1585.0,--,--,--
Fennell Bay,432.0,1170.0,939.0,--,--,--
Figtree,570.0,1728.0,1394.0,--,--,--
Five Dock,761.0,2043.0,1706.0,--,--,--
Fletcher (NSW),775.0,2187.0,2177.0,--,--,--
Flinders (NSW),586.0,1722.0,1518.0,--,--,--
Floraville,621.0,1894.0,1691.0,--,--,--
Forest Lodge,901.0,2613.0,1773.0,--,--,--
Forestville (NSW),659.0,2166.0,1731.0,--,--,--
Forresters Beach,631.0,1568.0,1471.0,--,--,--
Frenchs Forest,734.0,2303.0,2135.0,--,--,--
Garden Suburb,627.0,1854.0,1685.0,--,--,--
Gateshead,393.0,1001.0,819.0,--,--,--
Georges Hall,518.0,1432.0,1325.0,--,--,--
Georgetown (NSW),589.0,1457.0,1147.0,--,--,--
Girraween (NSW),558.0,1454.0,1315.0,--,--,--
Gladesville,783.0,2204.0,1558.0,--,--,--
Glebe (NSW),762.0,2193.0,1350.0,--,--,--
Glen Alpine,713.0,2251.0,2366.0,--,--,--
Glenbrook,735.0,2199.0,1916.0,--,--,--
Glendale (NSW),502.0,1398.0,1059.0,--,--,--
Glendenning,653.0,1560.0,1581.0,--,--,--
Glenfield (NSW),611.0,1563.0,1394.0,--,--,--
Glenhaven,742.0,2437.0,2293.0,--,--,--
Glenmore Park,782.0,2016.0,1930.0,--,--,--
Glenning Valley,602.0,1603.0,1503.0,--,--,--
Glenwood (NSW),732.0,2160.0,2192.0,--,--,--
Gordon (NSW),752.0,2543.0,2223.0,--,--,--
Gorokan,414.0,967.0,771.0,--,--,--
Gosford,646.0,1275.0,1013.0,--,--,--
Granville (NSW),436.0,1129.0,1086.0,--,--,--
Grays Point,758.0,2370.0,2285.0,--,--,--
Green Point (Great Lakes - NSW),442.0,1106.0,852.0,--,--,--
Green Valley (NSW),467.0,1337.0,1391.0,--,--,--
Greenacre,362.0,1082.0,959.0,--,--,--
Greenfield Park,402.0,1274.0,1331.0,--,--,--
Greenwich,985.0,2706.0,2358.0,--,--,--
Greystanes,555.0,1494.0,1379.0,--,--,--
Guildford (NSW),384.0,1075.0,945.0,--,--,--
Guildford West,464.0,1221.0,1111.0,--,--,--
Gwynneville,365.0,1098.0,789.0,--,--,--
Gymea,713.0,1816.0,1453.0,--,--,--
Gymea Bay,740.0,2381.0,2204.0,--,--,--
Haberfield,656.0,2110.0,1730.0,--,--,--
Halekulani,388.0,969.0,730.0,--,--,--
Hamilton (NSW),598.0,1648.0,1078.0,--,--,--
Hamilton East,698.0,2388.0,1810.0,--,--,--
Hamilton North,656.0,1657.0,1322.0,--,--,--
Hamilton South,486.0,1730.0,846.0,--,--,--
Hammondville,588.0,1690.0,1444.0,--,--,--
Harrington Park,770.0,2127.0,2124.0,--,--,--
Harris Park,489.0,1104.0,1114.0,--,--,--
Hassall Grove,603.0,1495.0,1498.0,--,--,--
Haymarket,358.0,1052.0,1007.0,--,--,--
Heathcote (NSW),618.0,1908.0,1598.0,--,--,--
Hebersham,419.0,1080.0,1066.0,--,--,--
Heckenberg,356.0,890.0,781.0,--,--,--
Henley,1013.0,2981.0,2625.0,--,--,--
Highfields (NSW),642.0,1762.0,1385.0,--,--,--
Hillsborough (Lake Macquarie - NSW),542.0,1589.0,1408.0,--,--,--
Hillsdale,546.0,1231.0,1134.0,--,--,--
Hinchinbrook (NSW),539.0,1488.0,1524.0,--,--,--
Holmesville,514.0,1377.0,1269.0,--,--,--
Holsworthy,852.0,2012.0,1923.0,--,--,--
Homebush (NSW),597.0,1504.0,1458.0,--,--,--
Homebush West,568.0,1328.0,1318.0,--,--,--
Horningsea Park,714.0,1788.0,1792.0,--,--,--
Hornsby,674.0,1715.0,1436.0,--,--,--
Hornsby Heights,713.0,2208.0,2053.0,--,--,--
Horsley,587.0,1703.0,1643.0,--,--,--
Hoxton Park,596.0,1566.0,1574.0,--,--,--
Hunters Hill,784.0,2769.0,2291.0,--,--,--
Huntleys Point,945.0,3166.0,2583.0,--,--,--
Hurlstone Park,614.0,1722.0,1492.0,--,--,--
Hurstville,430.0,1182.0,1137.0,--,--,--
Hurstville Grove,638.0,1953.0,1772.0,--,--,--
Illawong,727.0,2328.0,2287.0,--,--,--
Ingleburn,557.0,1375.0,1210.0,--,--,--
Ingleside,672.0,2198.0,1725.0,--,--,--
Islington,639.0,1311.0,1148.0,--,--,--
Jamisontown,657.0,1538.0,1228.0,--,--,--
Jannali,667.0,1939.0,1550.0,--,--,--
Jesmond,366.0,1022.0,735.0,--,--,--
Jewells,546.0,1515.0,1327.0,--,--,--
Kahibah,574.0,1525.0,1167.0,--,--,--
Kanahooka,475.0,1270.0,981.0,--,--,--
Kangaroo Point (NSW),909.0,2750.0,2883.0,--,--,--
Kanwal,396.0,1081.0,864.0,--,--,--
Kareela,727.0,2173.0,2019.0,--,--,--
Kariong,604.0,1601.0,1456.0,--,--,--
Kearns,680.0,1846.0,1709.0,--,--,--
Keiraville,386.0,1533.0,1053.0,--,--,--
Kellyville,759.0,2291.0,2251.0,--,--,--
Kembla Grange,724.0,2250.0,1791.0,--,--,--
Kensington (NSW),500.0,1960.0,1498.0,--,--,--
Kilaben Bay,589.0,1609.0,1489.0,--,--,--
Killara (NSW),841.0,2729.0,2508.0,--,--,--
Killarney Heights,779.0,2452.0,2270.0,--,--,--
Killarney Vale,467.0,1110.0,948.0,--,--,--
Kincumber,476.0,1253.0,924.0,--,--,--
Kincumber South,390.0,821.0,547.0,--,--,--
Kings Langley,733.0,2049.0,1940.0,--,--,--
Kings Park (NSW),762.0,1806.0,1641.0,--,--,--
Kingsford (NSW),479.0,1660.0,1227.0,--,--,--
Kingsgrove,504.0,1428.0,1257.0,--,--,--
Kingswood (Tamworth - NSW),653.0,1561.0,1455.0,--,--,--
Kirrawee,652.0,1822.0,1387.0,--,--,--
Kirribilli,1267.0,2905.0,1976.0,--,--,--
Kogarah,559.0,1359.0,1238.0,--,--,--
Kogarah Bay,581.0,1810.0,1661.0,--,--,--
Koolewong,559.0,1485.0,1237.0,--,--,--
Koonawarra,377.0,967.0,845.0,--,--,--
Kotara,585.0,1584.0,1297.0,--,--,--
Kotara South,514.0,1330.0,1135.0,--,--,--
Kurnell,621.0,1696.0,1597.0,--,--,--
Kyeemagh,519.0,1622.0,1485.0,--,--,--
Kyle Bay,742.0,2239.0,2236.0,--,--,--
La Perouse,403.0,1125.0,1037.0,--,--,--
Lake Haven,386.0,954.0,698.0,--,--,--
Lake Heights,389.0,1033.0,895.0,--,--,--
