,Male,Female,Male (%),Female (%)
Abbotsbury,--,--,20.2,79.8
New South Wales,--,--,17.0,83.0
Australia,--,--,17.6,82.4
Abbotsford (NSW),--,--,14.7,85.3
Acacia Gardens,--,--,13.1,86.9
Adamstown,--,--,14.9,85.1
Adamstown Heights,--,--,20.8,79.2
Airds,--,--,12.6,87.4
Albion Park Rail,--,--,19.0,81.0
Alfords Point,--,--,19.5,80.5
Allambie Heights,--,--,18.6,81.4
Allawah,--,--,17.9,82.1
Annandale (NSW),--,--,17.2,82.8
Argenton,--,--,21.4,78.6
Arncliffe,--,--,19.7,80.3
Artarmon,--,--,14.2,85.8
Ashcroft,--,--,11.6,88.4
Asquith,--,--,19.3,80.7
Auburn (NSW),--,--,14.3,85.7
Austinmer,--,--,18.0,82.0
Avoca Beach,--,--,16.0,84.0
Balgowlah,--,--,15.0,85.0
Balmain,--,--,16.2,83.8
Balmain East,--,--,20.4,79.6
Bangor (NSW),--,--,19.1,80.9
Banksia,--,--,16.9,83.1
Bankstown,--,--,13.6,86.4
Bar Beach,--,--,31.8,68.2
Barden Ridge,--,--,18.1,81.9
Bardwell Park,--,--,18.2,81.8
Bardwell Valley,--,--,12.0,88.0
Barnsley,--,--,17.4,82.6
Baulkham Hills,--,--,17.1,82.9
Bayview (NSW),--,--,16.4,83.6
Beaconsfield (NSW),--,--,26.3,73.7
Bella Vista,--,--,18.4,81.6
Bellambi,--,--,15.3,84.7
Bellevue Hill,--,--,17.5,82.5
Belmont South,--,--,14.4,85.6
Belmore,--,--,15.7,84.3
Belrose,--,--,18.7,81.3
Bensville,--,--,15.9,84.1
Berkeley Vale,--,--,15.5,84.5
Berowra,--,--,21.1,78.9
Beverley Park,--,--,28.4,71.6
Bexley,--,--,13.4,86.6
Bexley North,--,--,18.8,81.2
Birchgrove,--,--,21.0,79.0
Blackalls Park,--,--,14.5,85.5
Blairmount,--,--,13.0,87.0
Blakehurst,--,--,19.9,80.1
Blue Haven,--,--,13.5,86.5
Bondi Junction,--,--,15.1,84.9
Bonnet Bay,--,--,22.2,77.8
Bonnyrigg,--,--,10.4,89.6
Boolaroo,--,--,25.4,74.6
Booragul,--,--,14.8,85.2
Bossley Park,--,--,15.8,84.2
Bow Bowing,--,--,24.4,75.6
Bradbury (NSW),--,--,16.1,83.9
Brookvale,--,--,14.6,85.4
Budgewoi,--,--,14.1,85.9
Buff Point,--,--,13.9,86.1
Burwood Heights,--,--,20.0,80.0
Busby,--,--,10.9,89.1
Cabarita (NSW),--,--,27.5,72.5
Cabramatta West,--,--,12.2,87.8
Cambridge Gardens,--,--,14.0,86.0
Cambridge Park,--,--,18.9,81.1
Camden South,--,--,22.5,77.5
Cammeray,--,--,16.8,83.2
Campsie,--,--,16.3,83.7
Canley Heights,--,--,11.1,88.9
Canton Beach,--,--,21.3,78.7
Cardiff Heights,--,--,31.4,68.6
Carrington (Newcastle - NSW),--,--,19.2,80.8
Castle Cove,--,--,26.6,73.4
Castle Hill (NSW),--,--,15.2,84.8
Castlecrag,--,--,11.9,88.1
Centennial Park (NSW),--,--,18.5,81.5
Chatswood West,--,--,21.9,78.1
Cheltenham (NSW),--,--,30.8,69.2
Chippendale,--,--,23.2,76.8
Chiswick,--,--,15.4,84.6
Chittaway Point,--,--,25.7,74.3
Church Point,--,--,31.2,68.8
Claymore,--,--,10.2,89.8
Como (NSW),--,--,24.2,75.8
Condell Park,--,--,16.6,83.4
Coniston,--,--,16.7,83.3
Cromer (NSW),--,--,18.3,81.7
Cronulla,--,--,23.8,76.2
Crows Nest (NSW),--,--,22.3,77.7
Curl Curl,--,--,20.6,79.4
Currans Hill,--,--,11.7,88.3
Daceyville,--,--,4.2,95.8
Daleys Point,--,--,27.3,72.7
Dapto,--,--,19.8,80.2
Darling Point,--,--,25.8,74.2
Darlington (Sydney - NSW),--,--,20.5,79.5
Davidson,--,--,21.6,78.4
Dawes Point,--,--,0.0,100.0
Dee Why,--,--,17.8,82.2
Denistone East,--,--,8.7,91.3
Dover Heights,--,--,22.8,77.2
Eagle Vale,--,--,17.3,82.7
East Hills,--,--,22.7,77.3
East Killara,--,--,9.1,90.9
Eastern Creek,--,--,23.5,76.5
Eastlakes,--,--,12.9,87.1
Edensor Park,--,--,12.4,87.6
Edgecliff,--,--,10.3,89.7
Elermore Vale,--,--,16.5,83.5
Emu Plains,--,--,21.5,78.5
Enfield (NSW),--,--,13.8,86.2
Eschol Park,--,--,11.3,88.7
Fairfield West,--,--,12.1,87.9
Fairlight,--,--,13.7,86.3
Fennell Bay,--,--,23.6,76.4
Forresters Beach,--,--,15.6,84.4
Garden Suburb,--,--,9.6,90.4
Gateshead,--,--,13.3,86.7
Georges Hall,--,--,12.8,87.2
Georgetown (NSW),--,--,13.2,86.8
Gosford,--,--,25.9,74.1
Grays Point,--,--,27.1,72.9
Green Valley (NSW),--,--,11.8,88.2
Greenfield Park,--,--,12.3,87.7
Halekulani,--,--,24.0,76.0
Hamilton North,--,--,24.1,75.9
Henley,--,--,50.0,50.0
Hillsborough (Lake Macquarie - NSW),--,--,11.4,88.6
Hillsdale,--,--,11.5,88.5
Holmesville,--,--,23.3,76.7
Horningsea Park,--,--,7.7,92.3
Ingleside,--,--,43.3,56.7
Jannali,--,--,21.8,78.2
Jewells,--,--,23.9,76.1
Kangaroo Point (NSW),--,--,33.3,66.7
Kareela,--,--,20.7,79.3
Kembla Grange,--,--,35.7,64.3
Killarney Heights,--,--,20.1,79.9
Kirrawee,--,--,12.5,87.5
Kirribilli,--,--,20.3,79.7
Kogarah Bay,--,--,8.3,91.7
Kotara South,--,--,22.4,77.6
Kyeemagh,--,--,26.7,73.3
Lakelands (NSW),--,--,25.5,74.5
Lane Cove North,--,--,17.7,82.3
Lane Cove West,--,--,4.5,95.5
Lilli Pilli (Sutherland - NSW),--,--,42.3,57.7
Lisarow,--,--,23.1,76.9
Long Point (Campbelltown - NSW),--,--,62.5,37.5
Longueville,--,--,9.5,90.5
Maryland (Newcastle - NSW),--,--,19.6,80.4
McMahons Point,--,--,24.5,75.5
Meadowbank (NSW),--,--,8.4,91.6
Miller,--,--,8.5,91.5
Millers Point,--,--,4.9,95.1
Milperra,--,--,22.1,77.9
Milsons Point,--,--,32.6,67.4
Mount Keira,--,--,29.4,70.6
Mount Ousley,--,--,28.6,71.4
Mount Pleasant (NSW),--,--,29.0,71.0
New Lambton Heights,--,--,32.7,67.3
Newcastle West,--,--,21.7,78.3
Northmead,--,--,12.7,87.3
Old Guildford,--,--,9.3,90.7
Oyster Bay,--,--,22.9,77.1
Peakhurst Heights,--,--,20.9,79.1
Pelican (NSW),--,--,36.1,63.9
Phillip Bay,--,--,29.2,70.8
Regentville,--,--,30.4,69.6
Rodd Point,--,--,25.0,75.0
Sandringham (NSW),--,--,34.6,65.4
Schofields,--,--,24.7,75.3
Scotland Island,--,--,29.6,70.4
South Hurstville,--,--,11.0,89.0
Springfield (Gosford - NSW),--,--,10.6,89.4
Tamarama,--,--,8.8,91.2
Tuggerawong,--,--,4.3,95.7
Warrimoo,--,--,23.7,76.3
Windang,--,--,28.3,71.7
Woodcroft (NSW),--,--,11.2,88.8
Woodpark,--,--,19.4,80.6
Woy Woy Bay,--,--,54.5,45.5
