,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%)
North Rocks,4682.0,2030.0,742.0,1333.0,76.4,33.1,12.1,21.8
North Ryde,5661.0,2324.0,941.0,1383.0,68.7,28.2,11.4,16.8
North St Marys,1662.0,720.0,318.0,262.0,58.3,25.2,11.2,9.2
North Strathfield,2354.0,867.0,291.0,488.0,64.1,23.6,7.9,13.3
North Sydney,3982.0,974.0,435.0,1042.0,70.5,17.3,7.7,18.5
North Turramurra,2370.0,876.0,405.0,784.0,71.1,26.3,12.2,23.5
North Wahroonga,1217.0,501.0,209.0,378.0,80.7,33.2,13.8,25.1
North Willoughby,2331.0,958.0,294.0,590.0,76.1,31.2,9.6,19.2
North Wollongong,1393.0,269.0,157.0,446.0,64.8,12.5,7.3,20.8
Northbridge (NSW),3597.0,1571.0,514.0,1275.0,79.6,34.7,11.4,28.2
Northmead,6149.0,2426.0,961.0,1495.0,73.6,29.0,11.5,17.9
Northwood (NSW),562.0,259.0,79.0,211.0,78.4,36.2,11.0,29.5
Oak Flats,3693.0,1621.0,788.0,760.0,72.1,31.6,15.4,14.8
Oakhurst (NSW),3311.0,1667.0,528.0,487.0,64.4,32.4,10.3,9.5
Oatlands (NSW),2987.0,1215.0,573.0,856.0,69.2,28.2,13.3,19.8
Oatley,6302.0,2424.0,1104.0,1830.0,76.7,29.5,13.4,22.3
Old Guildford,983.0,503.0,290.0,119.0,52.0,26.6,15.3,6.3
Old Toongabbie,1589.0,668.0,247.0,384.0,75.6,31.8,11.8,18.3
Ourimbah,2542.0,1121.0,405.0,662.0,78.2,34.5,12.5,20.4
Oxley Park,1446.0,698.0,241.0,216.0,63.2,30.5,10.5,9.4
Oyster Bay,3280.0,1449.0,515.0,749.0,78.9,34.9,12.4,18.0
Paddington (NSW),7766.0,2102.0,875.0,2030.0,73.2,19.8,8.2,19.1
Padstow,6857.0,2737.0,1210.0,1247.0,65.8,26.3,11.6,12.0
Padstow Heights,1918.0,788.0,336.0,410.0,67.2,27.6,11.8,14.4
Pagewood,2035.0,841.0,351.0,399.0,69.1,28.6,11.9,13.6
Palm Beach (NSW),1021.0,357.0,198.0,341.0,74.4,26.0,14.4,24.8
Panania,6325.0,2672.0,1155.0,1349.0,69.2,29.2,12.6,14.8
Parramatta,9598.0,3417.0,1223.0,1555.0,56.7,20.2,7.2,9.2
Peakhurst,5231.0,2217.0,933.0,1102.0,65.4,27.7,11.7,13.8
Peakhurst Heights,1431.0,581.0,260.0,367.0,75.9,30.8,13.8,19.5
Pearl Beach,329.0,83.0,56.0,139.0,71.4,18.0,12.1,30.2
Pelican (NSW),484.0,196.0,105.0,105.0,68.9,27.9,15.0,15.0
Pendle Hill,3157.0,1411.0,621.0,583.0,59.0,26.4,11.6,10.9
Pennant Hills,4451.0,1662.0,685.0,1450.0,77.2,28.8,11.9,25.2
Penrith,6309.0,2468.0,1016.0,1068.0,64.4,25.2,10.4,10.9
Penrose (Wollongong - NSW),801.0,336.0,168.0,135.0,71.2,29.8,14.9,12.0
Penshurst (NSW),6473.0,2590.0,1099.0,1321.0,67.2,26.9,11.4,13.7
Petersham,4745.0,1509.0,621.0,1113.0,74.3,23.6,9.7,17.4
Phillip Bay,354.0,166.0,79.0,80.0,70.4,33.1,15.7,16.0
Picnic Point,3380.0,1433.0,629.0,735.0,75.8,32.1,14.1,16.5
Plumpton (NSW),3928.0,1916.0,645.0,624.0,63.5,31.0,10.4,10.1
Point Clare,2145.0,877.0,330.0,554.0,69.8,28.5,10.7,18.0
Point Frederick,1080.0,352.0,160.0,287.0,69.4,22.7,10.3,18.5
Point Piper,681.0,250.0,128.0,227.0,56.0,20.5,10.5,18.6
Port Kembla,2665.0,1075.0,586.0,492.0,65.1,26.3,14.3,12.0
Potts Point,4120.0,494.0,364.0,1067.0,62.2,7.5,5.5,16.1
Prairiewood,1452.0,585.0,319.0,165.0,58.8,23.7,12.9,6.7
Prestons,6905.0,3756.0,1067.0,1143.0,66.5,36.2,10.3,11.0
Primbee,835.0,341.0,186.0,124.0,63.6,26.0,14.2,9.5
Prospect (NSW),2511.0,1041.0,416.0,414.0,68.3,28.3,11.3,11.3
Punchbowl (Canterbury - NSW),7100.0,3467.0,1668.0,984.0,50.5,24.7,11.9,7.0
Putney,2457.0,1013.0,424.0,639.0,76.3,31.4,13.2,19.8
Pymble,6592.0,2691.0,1038.0,2205.0,78.6,32.1,12.4,26.3
Pyrmont,6955.0,1542.0,630.0,1387.0,65.6,14.5,5.9,13.1
Quakers Hill,14372.0,6865.0,2046.0,2666.0,72.1,34.5,10.3,13.4
Queens Park (NSW),1736.0,715.0,241.0,445.0,74.5,30.7,10.3,19.1
Raby,3321.0,1465.0,529.0,590.0,70.1,30.9,11.2,12.5
Ramsgate,498.0,187.0,86.0,90.0,66.8,25.1,11.6,12.1
Ramsgate Beach,836.0,307.0,121.0,115.0,66.6,24.4,9.6,9.1
Randwick,16856.0,5511.0,2026.0,4018.0,71.3,23.3,8.6,17.0
Rankin Park,1591.0,667.0,295.0,426.0,79.8,33.5,14.8,21.4
Redfern,7276.0,1308.0,841.0,1731.0,65.0,11.7,7.5,15.5
Redhead,2057.0,888.0,379.0,561.0,72.6,31.3,13.4,19.8
Regents Park (NSW),2038.0,886.0,423.0,381.0,57.6,25.0,11.9,10.8
Regentville,332.0,144.0,49.0,69.0,68.9,29.9,10.2,14.3
Revesby,6650.0,2638.0,1257.0,1238.0,63.3,25.1,12.0,11.8
Revesby Heights,800.0,370.0,138.0,198.0,75.5,35.0,13.1,18.7
Rhodes,2819.0,815.0,291.0,579.0,55.7,16.1,5.8,11.4
Riverstone,3312.0,1509.0,584.0,631.0,68.0,31.0,12.0,13.0
Riverview (Lane Cove - NSW),1895.0,873.0,322.0,834.0,78.7,36.2,13.4,34.6
Riverwood,4686.0,1835.0,909.0,825.0,55.4,21.7,10.7,9.7
Rockdale,6709.0,2364.0,964.0,976.0,55.9,19.7,8.0,8.1
Rocky Point (NSW),158.0,81.0,31.0,36.0,75.6,38.6,14.8,17.1
Rodd Point,788.0,341.0,136.0,159.0,75.4,32.7,13.0,15.2
Rooty Hill,6256.0,3008.0,1089.0,1078.0,59.8,28.7,10.4,10.3
Rose Bay (NSW),5394.0,2175.0,825.0,1550.0,69.7,28.1,10.7,20.0
Rosebery (NSW),4475.0,1702.0,671.0,765.0,62.8,23.9,9.4,10.7
Roselands,5288.0,2451.0,1006.0,835.0,60.5,28.0,11.5,9.5
Rosemeadow,3844.0,1810.0,676.0,624.0,66.9,31.5,11.8,10.9
Roseville,5556.0,2404.0,829.0,1976.0,78.1,33.8,11.7,27.8
Roseville Chase,964.0,475.0,138.0,291.0,80.9,39.9,11.6,24.4
Rouse Hill,3900.0,2212.0,542.0,875.0,74.4,42.2,10.3,16.7
Rozelle,5261.0,1810.0,564.0,1180.0,79.7,27.4,8.5,17.9
Ruse,3207.0,1388.0,564.0,552.0,73.3,31.7,12.9,12.6
Rushcutters Bay,1402.0,208.0,129.0,364.0,62.2,9.2,5.7,16.1
Russell Lea,2867.0,1103.0,516.0,631.0,73.2,28.2,13.2,16.1
Russell Vale,902.0,391.0,154.0,197.0,75.4,32.7,12.9,16.5
Rydalmere,3294.0,1474.0,518.0,707.0,67.2,30.1,10.6,14.4
Ryde,12188.0,4677.0,1968.0,2657.0,68.5,26.3,11.1,14.9
Sadleir,1081.0,571.0,287.0,165.0,48.0,25.3,12.7,7.3
San Remo (NSW),2214.0,1052.0,395.0,352.0,68.4,32.5,12.2,10.9
Sandringham (NSW),599.0,235.0,116.0,114.0,74.7,29.3,14.5,14.2
Sans Souci,5351.0,2095.0,998.0,910.0,66.9,26.2,12.5,11.4
Saratoga,2309.0,956.0,367.0,559.0,77.2,32.0,12.3,18.7
Scarborough (NSW),150.0,84.0,21.0,48.0,73.2,41.2,10.3,23.4
Schofields,2106.0,955.0,328.0,428.0,70.4,31.9,11.0,14.3
Scotland Island,461.0,217.0,47.0,181.0,83.8,39.4,8.5,33.0
Seaforth (NSW),3889.0,1823.0,654.0,1254.0,77.8,36.5,13.1,25.1
Sefton,2339.0,1024.0,512.0,403.0,57.4,25.1,12.6,9.9
Seven Hills (NSW),10191.0,4340.0,1665.0,2036.0,67.7,28.8,11.1,13.5
Shalvey,1453.0,747.0,312.0,220.0,56.7,29.2,12.2,8.6
Shell Cove,2269.0,1271.0,298.0,418.0,78.6,44.1,10.3,14.5
Shellharbour,1983.0,831.0,370.0,461.0,72.3,30.3,13.5,16.8
Shelly Beach (NSW),765.0,258.0,139.0,170.0,71.4,24.0,12.9,15.9
Shortland,2140.0,828.0,371.0,437.0,69.2,26.8,12.0,14.1
Silverwater (Lake Macquarie - NSW),151.0,69.0,35.0,42.0,75.1,34.5,17.6,21.0
Smithfield (NSW),4743.0,2125.0,1045.0,645.0,54.2,24.3,11.9,7.4
South Coogee,2676.0,1156.0,475.0,653.0,65.2,28.2,11.6,15.9
South Granville,1688.0,891.0,468.0,272.0,46.7,24.6,12.9,7.5
South Hurstville,2513.0,1075.0,451.0,465.0,62.9,26.9,11.3,11.6
South Penrith,6760.0,3018.0,1120.0,1128.0,73.2,32.7,12.1,12.2
South Turramurra,1810.0,849.0,284.0,599.0,80.9,37.9,12.7,26.8
South Wentworthville,2804.0,1183.0,511.0,453.0,64.6,27.3,11.8,10.4
Speers Point,1989.0,817.0,362.0,380.0,74.2,30.5,13.5,14.2
Springfield (Gosford - NSW),2323.0,1108.0,371.0,603.0,74.7,35.6,11.9,19.4
Springwood (NSW),5366.0,2107.0,896.0,1626.0,78.0,30.6,13.0,23.6
St Andrews (NSW),3103.0,1361.0,570.0,474.0,68.9,30.2,12.7,10.5
St Clair (Penrith - NSW),10864.0,4742.0,1642.0,1561.0,69.6,30.4,10.5,10.0
St Helens Park,3271.0,1692.0,574.0,542.0,70.5,36.5,12.4,11.7
St Huberts Island,664.0,201.0,144.0,153.0,72.9,22.1,15.8,16.8
St Ives (NSW),9653.0,3886.0,1505.0,3143.0,76.9,30.9,12.0,25.0
St Ives Chase,1928.0,810.0,280.0,638.0,78.5,33.0,11.4,26.0
St Johns Park,2802.0,1108.0,560.0,349.0,57.0,22.5,11.4,7.1
St Leonards (NSW),2839.0,612.0,208.0,600.0,70.2,15.1,5.1,14.8
St Marys (NSW),5380.0,2295.0,981.0,813.0,61.7,26.3,11.2,9.3
St Peters (NSW),1895.0,512.0,205.0,360.0,75.7,20.5,8.2,14.4
Stanhope Gardens,4157.0,2235.0,490.0,773.0,75.1,40.4,8.9,14.0
Stanmore (NSW),5115.0,1454.0,598.0,1168.0,77.3,22.0,9.0,17.6
Stockton (NSW),2210.0,893.0,468.0,558.0,61.0,24.7,12.9,15.4
Strathfield (NSW),11918.0,4093.0,2074.0,2908.0,58.5,20.1,10.2,14.3
Strathfield South,1700.0,701.0,285.0,360.0,65.1,26.8,10.9,13.8
Summer Hill (Ashfield - NSW),4116.0,1295.0,544.0,1008.0,73.1,23.0,9.7,17.9
Surry Hills,9462.0,1314.0,837.0,2079.0,64.9,9.0,5.7,14.3
Sutherland (NSW),6122.0,2143.0,808.0,1331.0,72.6,25.4,9.6,15.8
Swansea (NSW),2708.0,956.0,570.0,568.0,65.4,23.1,13.8,13.7
Swansea Heads,415.0,191.0,78.0,112.0,72.2,33.3,13.6,19.5
Sydenham (NSW),590.0,161.0,62.0,103.0,64.1,17.5,6.7,11.2
Sydney,6107.0,1000.0,567.0,1268.0,44.5,7.3,4.1,9.2
Sylvania,5573.0,2315.0,978.0,1138.0,69.1,28.7,12.1,14.1
Sylvania Waters,1781.0,779.0,290.0,319.0,69.9,30.6,11.4,12.5
Tacoma,407.0,198.0,76.0,99.0,68.6,33.3,12.8,16.7
Tacoma South,168.0,77.0,30.0,41.0,78.1,35.8,14.0,19.2
Tamarama,823.0,255.0,92.0,214.0,65.9,20.4,7.4,17.1
Taren Point,993.0,337.0,196.0,269.0,66.5,22.6,13.1,18.0
Tarrawanna,1136.0,481.0,233.0,296.0,70.0,29.7,14.4,18.2
Tascott,977.0,373.0,156.0,236.0,70.9,27.1,11.3,17.2
Tempe,1807.0,695.0,277.0,320.0,66.4,25.6,10.2,11.8
Teralba,831.0,364.0,168.0,164.0,64.0,28.1,13.0,12.7
Terrey Hills,1805.0,772.0,267.0,571.0,77.2,33.0,11.4,24.4
Terrigal,6562.0,2465.0,913.0,1644.0,74.9,28.1,10.4,18.8
The Entrance,1885.0,700.0,329.0,345.0,58.2,21.6,10.2,10.7
The Entrance North,774.0,310.0,130.0,169.0,69.2,27.7,11.6,15.1
The Hill,1228.0,310.0,162.0,353.0,79.7,20.1,10.5,22.9
The Junction,974.0,298.0,148.0,246.0,75.6,23.2,11.5,19.1
Thirroul,3442.0,1526.0,684.0,1070.0,76.5,33.9,15.2,23.8
Thornleigh,5005.0,2137.0,812.0,1567.0,79.0,33.7,12.8,24.7
Tighes Hill,969.0,381.0,148.0,225.0,73.8,29.0,11.3,17.1
Tingira Heights,1173.0,577.0,194.0,215.0,77.2,38.0,12.8,14.2
Toongabbie (NSW),7142.0,3019.0,1128.0,1526.0,68.7,29.0,10.9,14.7
Toowoon Bay,314.0,122.0,71.0,71.0,64.6,25.1,14.6,14.6
Toronto,3003.0,1190.0,599.0,648.0,66.7,26.4,13.3,14.4
Toukley,2114.0,741.0,416.0,454.0,60.3,21.2,11.9,13.0
Towradgi,1740.0,717.0,344.0,453.0,66.9,27.6,13.2,17.4
Tregear,1485.0,769.0,350.0,204.0,52.7,27.3,12.4,7.2
Tuggerah,594.0,265.0,92.0,94.0,77.4,34.5,12.0,12.3
Tuggerawong,662.0,262.0,139.0,143.0,67.6,26.7,14.2,14.6
Tumbi Umbi,2890.0,1211.0,547.0,654.0,73.1,30.6,13.8,16.5
Turramurra,6941.0,2732.0,1053.0,2384.0,78.7,31.0,11.9,27.0
Turrella,752.0,379.0,142.0,125.0,62.5,31.5,11.8,10.4
Ultimo,3267.0,533.0,291.0,879.0,48.8,8.0,4.3,13.1
Umina Beach,9052.0,3705.0,1592.0,1924.0,69.6,28.5,12.2,14.8
Unanderra,2952.0,1314.0,660.0,647.0,64.3,28.6,14.4,14.1
Valentine (NSW),3568.0,1544.0,643.0,836.0,79.3,34.3,14.3,18.6
Valley Heights,915.0,367.0,154.0,295.0,81.7,32.7,13.8,26.4
Vaucluse,4895.0,2190.0,790.0,1647.0,68.4,30.6,11.0,23.0
Villawood,1958.0,867.0,517.0,284.0,46.1,20.4,12.2,6.7
Voyager Point,782.0,378.0,119.0,201.0,76.1,36.8,11.6,19.5
Wahroonga,10113.0,4133.0,1599.0,3361.0,75.8,31.0,12.0,25.2
Waitara,3077.0,1272.0,365.0,641.0,70.0,28.9,8.3,14.6
Wakeley,2099.0,901.0,440.0,264.0,55.5,23.8,11.6,7.0
Wallsend,6802.0,2822.0,1182.0,1413.0,67.0,27.8,11.6,13.9
Wamberal,3812.0,1680.0,604.0,976.0,77.1,34.0,12.2,19.7
Warabrook,1199.0,436.0,219.0,262.0,67.0,24.3,12.2,14.6
Waratah (NSW),2476.0,880.0,382.0,563.0,61.0,21.7,9.4,13.9
Waratah West,1619.0,579.0,249.0,350.0,71.1,25.5,10.9,15.4
Wareemba,891.0,347.0,141.0,180.0,73.5,28.6,11.6,14.8
Warilla,3155.0,1369.0,722.0,554.0,60.4,26.2,13.8,10.6
Warners Bay,4466.0,1903.0,781.0,956.0,73.7,31.4,12.9,15.8
Warrawee,1794.0,709.0,273.0,627.0,76.6,30.2,11.6,26.7
Warrawong,2202.0,864.0,515.0,316.0,57.1,22.4,13.3,8.2
Warriewood,3577.0,1757.0,493.0,846.0,76.3,37.5,10.5,18.0
Warrimoo,1507.0,648.0,253.0,479.0,82.5,35.5,13.8,26.2
Warwick Farm,1698.0,741.0,390.0,263.0,46.7,20.4,10.7,7.2
Watanobbi,1963.0,905.0,372.0,383.0,68.3,31.5,12.9,13.3
Waterloo (NSW),5331.0,965.0,664.0,1257.0,53.6,9.7,6.7,12.6
Watsons Bay,498.0,185.0,79.0,174.0,66.3,24.6,10.5,23.2
Wattle Grove (NSW),4518.0,2256.0,616.0,957.0,74.8,37.4,10.2,15.8
Waverley (NSW),2272.0,818.0,326.0,561.0,63.6,22.9,9.1,15.7
Waverton,1952.0,538.0,199.0,558.0,78.3,21.6,8.0,22.4
Wentworthville,5487.0,2398.0,909.0,1154.0,64.4,28.1,10.7,13.5
Werrington,1976.0,913.0,320.0,312.0,65.5,30.3,10.6,10.3
Werrington County,2115.0,1015.0,348.0,292.0,72.2,34.7,11.9,10.0
Werrington Downs,1945.0,880.0,314.0,280.0,74.2,33.6,12.0,10.7
West Gosford,735.0,270.0,105.0,159.0,61.0,22.4,8.7,13.2
West Hoxton,4302.0,2339.0,692.0,652.0,65.1,35.4,10.5,9.9
West Pennant Hills,10138.0,3994.0,1578.0,3092.0,77.7,30.6,12.1,23.7
West Pymble,3141.0,1387.0,477.0,1070.0,81.8,36.1,12.4,27.9
West Ryde,6898.0,2540.0,1062.0,1592.0,69.7,25.6,10.7,16.1
West Wallsend,934.0,462.0,180.0,156.0,69.8,34.5,13.4,11.6
West Wollongong,2624.0,1098.0,481.0,652.0,73.7,30.8,13.5,18.3
Westleigh,2923.0,1200.0,421.0,949.0,82.4,33.8,11.9,26.7
Westmead,6979.0,3133.0,1007.0,1246.0,61.2,27.5,8.8,10.9
Wetherill Park,3047.0,1220.0,677.0,375.0,60.7,24.3,13.5,7.5
Whalan,2357.0,1130.0,604.0,366.0,53.9,25.8,13.8,8.4
Whitebridge,1548.0,705.0,271.0,342.0,75.7,34.5,13.3,16.7
Wickham (NSW),634.0,170.0,102.0,158.0,73.5,19.7,11.8,18.3
Wiley Park,3744.0,1869.0,765.0,509.0,51.0,25.4,10.4,6.9
Willmot,964.0,493.0,213.0,147.0,55.1,28.2,12.2,8.4
Willoughby (NSW),3445.0,1554.0,435.0,884.0,74.7,33.7,9.4,19.2
Willoughby East,1040.0,501.0,170.0,330.0,78.5,37.8,12.8,24.9
Windale,1344.0,603.0,332.0,217.0,55.6,25.0,13.7,9.0
Windang,1431.0,543.0,290.0,263.0,63.7,24.2,12.9,11.7
Winmalee,4270.0,1861.0,643.0,1172.0,82.8,36.1,12.5,22.7
Winston Hills,6607.0,2967.0,1100.0,1577.0,74.4,33.4,12.4,17.7
Wollongong,9722.0,2652.0,1431.0,2431.0,64.6,17.6,9.5,16.2
Wollstonecraft,5634.0,1340.0,586.0,1534.0,78.1,18.6,8.1,21.3
Wombarra,542.0,226.0,84.0,169.0,78.8,32.9,12.2,24.5
Woodbine (NSW),1454.0,606.0,248.0,267.0,69.4,28.9,11.8,12.7
Woodcroft (NSW),3384.0,1494.0,486.0,603.0,66.8,29.5,9.6,11.9
Woodpark,709.0,346.0,126.0,105.0,70.5,34.4,12.5,10.4
Woodrising,678.0,318.0,117.0,124.0,72.7,34.1,12.6,13.3
Woollahra,4507.0,1461.0,655.0,1305.0,73.4,23.8,10.7,21.2
Woolloomooloo,2062.0,352.0,274.0,473.0,59.3,10.1,7.9,13.6
Woolooware,2448.0,1100.0,418.0,569.0,74.2,33.3,12.7,17.2
Woolwich,481.0,179.0,98.0,169.0,70.1,26.1,14.2,24.6
Woonona,6715.0,2964.0,1134.0,1793.0,72.9,32.2,12.3,19.5
Woronora,1335.0,607.0,208.0,346.0,77.5,35.3,12.1,20.1
Woronora Heights,1849.0,756.0,287.0,478.0,78.2,32.0,12.1,20.2
Woy Woy,5653.0,2053.0,1104.0,1188.0,65.7,23.9,12.8,13.8
Woy Woy Bay,273.0,95.0,46.0,78.0,74.6,25.9,12.4,21.1
Wyoming,5456.0,2208.0,920.0,1323.0,67.9,27.5,11.5,16.5
Wyong,2028.0,732.0,400.0,416.0,66.5,24.0,13.1,13.7
Wyongah,1135.0,486.0,193.0,221.0,74.1,31.7,12.6,14.4
Yagoona,6748.0,3074.0,1466.0,1105.0,54.3,24.7,11.8,8.9
Yarrawarrah,1905.0,805.0,315.0,486.0,78.7,33.3,13.0,20.1
Yattalunga (NSW),314.0,166.0,57.0,65.0,77.9,41.0,14.2,16.0
Yennora,513.0,219.0,123.0,80.0,45.0,19.2,10.8,7.0
Yowie Bay,1942.0,802.0,327.0,526.0,76.5,31.6,12.9,20.7
Zetland,2266.0,543.0,221.0,451.0,66.3,15.9,6.5,13.2
