,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Nashdale,129.0,21.0,86.0,14.0,12913
Windera (NSW),77.0,3.0,96.2,3.8,14319
Lidster,96.0,10.0,90.6,9.4,12319
Borenore,145.0,24.0,85.8,14.2,10513
Yeoval,158.0,26.0,85.9,14.1,14507
Grafton,4008.0,400.0,90.9,9.1,11733
Great Marlow,71.0,3.0,95.9,4.1,11745
South Grafton,2320.0,308.0,88.3,11.7,13582
Junction Hill,530.0,43.0,92.5,7.5,12045
Tucabia,143.0,17.0,89.4,10.6,13945
Ulmarra,296.0,34.0,89.7,10.3,14004
Nymboida,115.0,28.0,80.4,19.6,13048
Glenreagh,286.0,13.0,95.7,4.3,11675
Wells Crossing,58.0,5.0,92.1,7.9,14223
Kungala,54.0,6.0,90.0,10.0,12212
Wooli,201.0,186.0,51.9,48.1,14403
Halfway Creek,79.0,18.0,81.4,18.6,11831
Copmanhurst,126.0,18.0,87.5,12.5,11060
Whiteman Creek,54.0,3.0,94.7,5.3,14277
The Whiteman,54.0,5.0,91.5,8.5,13843
Waterview Heights,464.0,19.0,96.1,3.9,14186
Lawrence (NSW),409.0,29.0,93.4,6.6,12288
Eatonsville,76.0,3.0,96.2,3.8,11370
Seelands,136.0,7.0,95.1,4.9,13515
Mountain View (NSW),63.0,0.0,100.0,0.0,12808
Southgate,71.0,18.0,79.8,20.2,13604
Lower Southgate,39.0,5.0,88.6,11.4,12413
Ashby Heights,83.0,9.0,90.2,9.8,10095
Ashby (NSW),138.0,9.0,93.9,6.1,10094
South Arm (Clarence Valley - NSW),81.0,3.0,96.4,3.6,13574
Woodford Island,86.0,16.0,84.3,15.7,14384
Brushgrove,79.0,16.0,83.2,16.8,10622
Elland,114.0,5.0,95.8,4.2,11399
Coutts Crossing,364.0,28.0,92.9,7.1,11094
Kremnos,72.0,4.0,94.7,5.3,12204
Lanitza,107.0,27.0,79.9,20.1,12270
Braunstone,98.0,8.0,92.5,7.5,10550
Glenugie,68.0,11.0,86.1,13.9,11681
Clarenza,176.0,16.0,91.7,8.3,10922
Swan Creek (NSW),36.0,10.0,78.3,21.7,13706
Pillar Valley,112.0,42.0,72.7,27.3,13204
Minnie Water,98.0,82.0,54.4,45.6,12640
Tyndale,65.0,8.0,89.0,11.0,13997
Ilarwill,94.0,3.0,96.9,3.1,11970
Yamba (NSW),2627.0,648.0,80.2,19.8,14458
Gulmarrad,591.0,32.0,94.9,5.1,11795
Angourie,85.0,44.0,65.9,34.1,10059
Brooms Head,108.0,84.0,56.2,43.8,10603
Wooloweyah,156.0,17.0,90.2,9.8,14411
Woombah,346.0,36.0,90.6,9.4,14414
Maclean,1063.0,76.0,93.3,6.7,12431
Iluka (NSW),801.0,267.0,75.0,25.0,11975
Harwood,121.0,18.0,87.1,12.9,11865
Chatsworth (NSW),62.0,10.0,86.1,13.9,10894
Townsend,335.0,27.0,92.5,7.5,13928
Palmers Channel,48.0,10.0,82.8,17.2,13135
James Creek,73.0,9.0,89.0,11.0,11999
Palmers Island,159.0,19.0,89.3,10.7,13136
Bellingen,1407.0,132.0,91.4,8.6,10273
Brierfield,113.0,6.0,95.0,5.0,10568
Fernmount,142.0,11.0,92.8,7.2,11509
Darkwood,66.0,17.0,79.5,20.5,11210
Thora,117.0,24.0,83.0,17.0,13849
Gleniffer,154.0,7.0,95.7,4.3,11668
Valery,52.0,9.0,85.2,14.8,14066
Kalang,81.0,19.0,81.0,19.0,12050
Coffs Harbour,9897.0,1062.0,90.3,9.7,10959
North Boambee Valley,681.0,35.0,95.1,4.9,12983
Coramba,275.0,21.0,92.9,7.1,11065
Nana Glen,370.0,26.0,93.4,6.6,12889
Upper Orara,263.0,28.0,90.4,9.6,14041
Bucca (NSW),177.0,17.0,91.2,8.8,10625
Karangi,174.0,9.0,95.1,4.9,12072
Megan,53.0,19.0,73.6,26.4,12558
Ulong,73.0,10.0,88.0,12.0,14005
Lowanna,130.0,9.0,93.5,6.5,12398
Dorrigo,514.0,89.0,85.2,14.8,11278
Deer Vale,55.0,18.0,75.3,24.7,11232
Fernbrook,56.0,16.0,77.8,22.2,11506
Hernani,46.0,14.0,76.7,23.3,11896
Bostobrick,48.0,7.0,87.3,12.7,10516
North Dorrigo,76.0,12.0,86.4,13.6,12989
Sapphire Beach,768.0,105.0,88.0,12.0,13491
Emerald Beach,788.0,84.0,90.4,9.6,11411
Korora,884.0,127.0,87.4,12.6,12197
Moonee Beach,620.0,46.0,93.1,6.9,12703
Toormina,2473.0,182.0,93.1,6.9,13912
Boambee East,1932.0,119.0,94.2,5.8,10422
Boambee,541.0,33.0,94.3,5.7,10421
Sawtell,1507.0,295.0,83.6,16.4,13498
Bonville,841.0,61.0,93.2,6.8,10474
Bundagen,73.0,26.0,73.7,26.3,10669
Mylestom,152.0,58.0,72.4,27.6,12875
Raleigh,207.0,25.0,89.2,10.8,13307
Urunga,1277.0,137.0,90.3,9.7,14061
Repton,246.0,31.0,88.8,11.2,13352
Valla,313.0,31.0,91.0,9.0,14067
Woolgoolga,1934.0,208.0,90.3,9.7,14402
Safety Beach (NSW),332.0,36.0,90.2,9.8,13462
Sandy Beach,789.0,87.0,90.1,9.9,13479
Upper Corindi,54.0,12.0,81.8,18.2,14020
Corindi Beach,574.0,78.0,88.0,12.0,11073
Red Rock,164.0,101.0,61.9,38.1,13334
Arrawarra,262.0,33.0,88.8,11.2,10088
Arrawarra Headland,202.0,38.0,84.2,15.8,10089
Mullaway,191.0,26.0,88.0,12.0,12822
Bourke,620.0,137.0,81.9,18.1,10522
Wanaaring,33.0,31.0,51.6,48.4,14126
North Bourke,90.0,32.0,73.8,26.2,12985
Enngonia,41.0,14.0,74.5,25.5,11426
Brewarrina,370.0,59.0,86.2,13.8,10563
Cobar,1406.0,392.0,78.2,21.8,10949
Coonamble,946.0,198.0,82.7,17.3,11044
Gulargambone,222.0,68.0,76.6,23.4,11792
Quambone,61.0,34.0,64.2,35.8,13287
Nyngan,818.0,145.0,84.9,15.1,13049
Nevertire,65.0,7.0,90.3,9.7,12936
Warren,543.0,123.0,81.5,18.5,14171
Hermidale,38.0,16.0,70.4,29.6,11894
Ravenswood (NSW),172.0,34.0,83.5,16.5,13321
Cumborah,92.0,133.0,40.9,59.1,11158
Goodooga,93.0,4.0,95.9,4.1,11702
Carinda,69.0,30.0,69.7,30.3,10814
Pilliga,70.0,24.0,74.5,25.5,13205
Come By Chance,52.0,31.0,62.7,37.3,10993
Walgett,684.0,203.0,77.1,22.9,14096
Burren Junction,100.0,27.0,78.7,21.3,10710
Lightning Ridge,985.0,268.0,78.6,21.4,12320
Collarenebri,222.0,96.0,69.8,30.2,10969
Rowena,59.0,27.0,68.6,31.4,13431
Broken Hill,7217.0,1877.0,79.4,20.6,10592
White Cliffs,50.0,48.0,51.0,49.0,14274
Menindee,212.0,56.0,79.1,20.9,12571
Wilcannia,219.0,64.0,77.4,22.6,14290
Tibooburra,52.0,18.0,74.3,25.7,13860
Pooncarie,46.0,18.0,71.9,28.1,13242
Ivanhoe (NSW),89.0,43.0,67.4,32.6,11991
Baradine,317.0,54.0,85.4,14.6,10190
Coonabarabran,1238.0,152.0,89.1,10.9,11043
Binnaway,259.0,89.0,74.4,25.6,10372
Mendooran,225.0,38.0,85.6,14.4,12570
Coolah,445.0,113.0,79.7,20.3,11024
Bugaldie,63.0,15.0,80.8,19.2,10646
Tambar Springs,69.0,15.0,82.1,17.9,13743
Dubbo,13787.0,1552.0,89.9,10.1,11296
Terramungamine,85.0,10.0,89.5,10.5,13801
Brocklehurst,117.0,10.0,92.1,7.9,10583
Wongarbon,242.0,23.0,91.3,8.7,14373
Elong Elong,50.0,11.0,82.0,18.0,11406
Gollan,35.0,3.0,92.1,7.9,11694
Eumungerie,116.0,13.0,89.9,10.1,11456
Minore,54.0,7.0,88.5,11.5,12641
Gilgandra,1176.0,157.0,88.2,11.8,11619
Collie (NSW),68.0,4.0,94.4,5.6,10975
Armatree,43.0,11.0,79.6,20.4,10084
Curban,40.0,9.0,81.6,18.4,11166
Tooraweenah,91.0,18.0,83.5,16.5,13911
Narromine,1664.0,223.0,88.2,11.8,12911
Burroway,40.0,15.0,72.7,27.3,10715
Trangie,460.0,57.0,89.0,11.0,13932
Tomingley,105.0,14.0,88.2,11.8,13896
Wellington (NSW),1544.0,279.0,84.7,15.3,14221
Mumbil,108.0,35.0,75.5,24.5,12832
Stuart Town,78.0,12.0,86.7,13.3,13680
Euchareena,53.0,10.0,84.1,15.9,11452
Neurea,39.0,12.0,76.5,23.5,12933
Mount Arthur,55.0,10.0,84.6,15.4,12747
Maryvale (NSW),63.0,7.0,90.0,10.0,12517
Montefiores,205.0,23.0,89.9,10.1,12685
Greta (NSW),966.0,68.0,93.4,6.6,11778
Lower Belford,126.0,23.0,84.6,15.4,12401
Belford,42.0,22.0,65.6,34.4,10258
Branxton,684.0,51.0,93.1,6.9,10549
Pokolbin,322.0,160.0,66.8,33.2,13236
Lovedale,157.0,42.0,78.9,21.1,12396
East Branxton,617.0,39.0,94.1,5.9,11346
North Rothbury,301.0,25.0,92.3,7.7,13004
Leconfield,52.0,3.0,94.5,5.5,12291
Cessnock,5312.0,563.0,90.4,9.6,10878
Nulkaba,209.0,15.0,93.3,6.7,13031
Aberdare,919.0,102.0,90.0,10.0,10006
Kearsley,280.0,25.0,91.8,8.2,12080
Bellbird,703.0,60.0,92.1,7.9,10268
Bellbird Heights,285.0,19.0,93.8,6.2,10269
Ellalong,359.0,20.0,94.7,5.3,11398
Abernethy,86.0,0.0,100.0,0.0,10011
Mulbring,195.0,16.0,92.4,7.6,12813
Buchanan (NSW),60.0,0.0,100.0,0.0,10628
Millfield,311.0,22.0,93.4,6.6,12620
Paxton,313.0,24.0,92.9,7.1,13162
Black Hill (NSW),166.0,17.0,90.7,9.3,10385
Mount Vincent,118.0,6.0,95.2,4.8,12799
Brunkerville,70.0,4.0,94.6,5.4,10620
Quorrobolong,153.0,19.0,89.0,11.0,13302
Congewai,72.0,25.0,74.2,25.8,11007
Mount View,31.0,19.0,62.0,38.0,12798
Paynes Crossing,31.0,5.0,86.1,13.9,13163
Laguna,63.0,30.0,67.7,32.3,12237
Wollombi,71.0,42.0,62.8,37.2,14355
Watagan,53.0,47.0,53.0,47.0,14180
Murrays Run,58.0,28.0,67.4,32.6,12855
Bucketty,63.0,19.0,76.8,23.2,10634
Clarence Town,685.0,46.0,93.7,6.3,10920
Dungog,831.0,97.0,89.5,10.5,11320
Bendolba,71.0,5.0,93.4,6.6,10291
Paterson (NSW),300.0,27.0,91.7,8.3,13159
Martins Creek,124.0,6.0,95.4,4.6,12511
Torryburn (Dungog - NSW),56.0,11.0,83.6,16.4,13920
Vacy,214.0,31.0,87.3,12.7,14063
East Gresford,113.0,26.0,81.3,18.7,11350
Gresford,99.0,23.0,81.1,18.9,11777
Wallarobba,68.0,12.0,85.0,15.0,14111
Hilldale,67.0,10.0,87.0,13.0,11906
Glen William,38.0,13.0,74.5,25.5,11654
Brookfield (NSW),75.0,11.0,87.2,12.8,10596
Abermain,810.0,78.0,91.2,8.8,10010
Weston (NSW),1310.0,116.0,91.9,8.1,14262
Kurri Kurri,2298.0,172.0,93.0,7.0,12221
Stanford Merthyr,217.0,6.0,97.3,2.7,13647
Pelaw Main,392.0,47.0,89.3,10.7,13177
Heddon Greta,682.0,51.0,93.0,7.0,11888
Neath,189.0,8.0,95.9,4.1,12917
Cliftleigh,228.0,28.0,89.1,10.9,10932
Sawyers Gully,153.0,7.0,95.6,4.4,13499
Hunterview,973.0,68.0,93.5,6.5,11955
Redbournberry,78.0,9.0,89.7,10.3,13337
Singleton (NSW),1956.0,292.0,87.0,13.0,13549
Whittingham,126.0,10.0,92.6,7.4,14279
Gowrie (Singleton - NSW),102.0,4.0,96.2,3.8,11729
Glenridding,96.0,6.0,94.1,5.9,11676
Singleton Heights,1633.0,161.0,91.0,9.0,13550
Wattle Ponds,320.0,23.0,93.3,6.7,14193
McDougalls Hill,62.0,3.0,95.4,4.6,12541
Darlington (Singleton - NSW),144.0,22.0,86.7,13.3,11213
Broke (NSW),179.0,53.0,77.2,22.8,10590
Putty,31.0,25.0,55.4,44.6,13279
Howes Valley,30.0,13.0,69.8,30.2,11948
Bulga (NSW),107.0,18.0,85.6,14.4,10651
Jerrys Plains,94.0,25.0,79.0,21.0,12021
Maison Dieu,49.0,3.0,94.2,5.8,12448
Bridgman,66.0,5.0,93.0,7.0,10567
Mount Olive (Singleton - NSW),51.0,7.0,87.9,12.1,12781
Westbrook (NSW),42.0,7.0,85.7,14.3,14257
Sedgefield,57.0,0.0,100.0,0.0,13514
Glendon,40.0,3.0,93.0,7.0,11660
Lambs Valley (Singleton - NSW),108.0,10.0,91.5,8.5,12263
Stanhope (NSW),46.0,5.0,90.2,9.8,13648
Glendon Brook,76.0,14.0,84.4,15.6,11661
Maitland (NSW),724.0,89.0,89.1,10.9,12449
South Maitland,171.0,19.0,90.0,10.0,13591
Gillieston Heights,1079.0,59.0,94.8,5.2,11624
Louth Park,186.0,11.0,94.4,5.6,12395
Horseshoe Bend,157.0,17.0,90.2,9.8,11939
Oakhampton,65.0,0.0,100.0,0.0,13056
East Maitland,4655.0,421.0,91.7,8.3,11360
Metford,1693.0,115.0,93.6,6.4,12592
Tenambit,1097.0,93.0,92.2,7.8,13787
Raworth,562.0,33.0,94.5,5.5,13325
Morpeth,591.0,62.0,90.5,9.5,12727
Ashtonfield,1495.0,82.0,94.8,5.2,10102
Chisholm (NSW),459.0,50.0,90.2,9.8,10909
Largs,633.0,35.0,94.8,5.2,12278
Bolwarra Heights,951.0,50.0,95.0,5.0,10451
Lorn,528.0,42.0,92.6,7.4,12389
Bolwarra (NSW),346.0,25.0,93.3,6.7,10450
Woodville (NSW),151.0,14.0,91.5,8.5,14398
Maitland Vale,43.0,3.0,93.5,6.5,12451
Rutherford,4323.0,340.0,92.7,7.3,13449
Aberglasslyn,1735.0,110.0,94.0,6.0,10009
Luskintyre,57.0,15.0,79.2,20.8,12423
Lochinvar,273.0,18.0,93.8,6.2,12368
Windella,215.0,5.0,97.7,2.3,14317
Telarah,932.0,82.0,91.9,8.1,13780
Farley,74.0,7.0,91.4,8.6,11490
Bishops Bridge,75.0,6.0,92.6,7.4,10380
Thornton (NSW),2703.0,163.0,94.3,5.7,13851
Millers Forest,109.0,7.0,94.0,6.0,12618
Anna Bay,1364.0,285.0,82.7,17.3,10060
Boat Harbour (Port Stephens - NSW),331.0,141.0,70.1,29.9,10425
Bobs Farm,147.0,18.0,89.1,10.9,10429
One Mile (NSW),145.0,10.0,93.5,6.5,13085
Lemon Tree Passage,1053.0,193.0,84.5,15.5,12300
Mallabula,352.0,51.0,87.3,12.7,12455
Tanilba Bay,1193.0,139.0,89.6,10.4,13748
Salamander Bay,1945.0,396.0,83.1,16.9,13463
Soldiers Point,602.0,339.0,64.0,36.0,13570
Corlette,2002.0,418.0,82.7,17.3,11075
Nelson Bay (NSW),2340.0,1650.0,58.6,41.4,12923
Fingal Bay,630.0,423.0,59.8,40.2,11518
Shoal Bay (NSW),671.0,613.0,52.3,47.7,13539
Raymond Terrace,4629.0,367.0,92.7,7.3,13327
Tomago,130.0,3.0,97.7,2.3,13889
Heatherbrae,236.0,11.0,95.5,4.5,11884
Eagleton,71.0,10.0,87.7,12.3,11342
Duns Creek,165.0,8.0,95.4,4.6,11326
Seaham,308.0,18.0,94.5,5.5,13510
Wallalong,306.0,9.0,97.1,2.9,14104
Brandy Hill,221.0,9.0,96.1,3.9,10548
Hinton,153.0,11.0,93.3,6.7,11916
Butterwick,44.0,5.0,89.8,10.2,10725
East Seaham,118.0,19.0,86.1,13.9,11362
Nelsons Plains,107.0,3.0,97.3,2.7,12924
Tea Gardens,1257.0,307.0,80.4,19.6,13779
North Arm Cove,191.0,126.0,60.3,39.7,12979
Bundabah,52.0,33.0,61.2,38.8,10668
Pindimar,134.0,62.0,68.4,31.6,13211
Hawks Nest,536.0,891.0,37.6,62.4,11873
Karuah,544.0,61.0,89.9,10.1,12076
Medowie,3023.0,161.0,94.9,5.1,12554
Salt Ash,362.0,38.0,90.5,9.5,13467
Williamtown,280.0,10.0,96.6,3.4,14299
Swan Bay (Port Stephens - NSW),107.0,38.0,73.8,26.2,13704
Muswellbrook,4383.0,794.0,84.7,15.3,12868
Denman,681.0,98.0,87.4,12.6,11241
Castle Rock,51.0,9.0,85.0,15.0,10848
Aberdeen (NSW),765.0,115.0,86.9,13.1,10007
Wybong,40.0,23.0,63.5,36.5,14436
Sandy Hollow,61.0,26.0,70.1,29.9,13486
McCullys Gap,84.0,10.0,89.4,10.6,12540
Scone,2125.0,229.0,90.3,9.7,13503
Middle Brook,77.0,9.0,89.5,10.5,12600
Dartbrook,38.0,6.0,86.4,13.6,11217
Murrurundi,409.0,84.0,83.0,17.0,12864
Blandford,86.0,12.0,87.8,12.2,10406
Wingen,91.0,19.0,82.7,17.3,14331
Parkville (NSW),101.0,9.0,91.8,8.2,13154
Upper Dartbrook,50.0,9.0,84.7,15.3,14022
Gundy,63.0,8.0,88.7,11.3,11809
Moonan Flat,46.0,20.0,69.7,30.3,12697
Niangala,49.0,17.0,74.2,25.8,12962
Merriwa (NSW),657.0,131.0,83.4,16.6,12585
Dapto,3938.0,277.0,93.4,6.6,11202
Kanahooka,2064.0,118.0,94.6,5.4,12055
Koonawarra,1277.0,73.0,94.6,5.4,12187
Avondale (NSW),634.0,69.0,90.2,9.8,10116
Marshall Mount,43.0,6.0,87.8,12.2,12507
Haywards Bay,306.0,20.0,93.9,6.1,11880
Brownsville,224.0,28.0,88.9,11.1,10612
Horsley,2554.0,102.0,96.2,3.8,11942
Wongawilli,44.0,0.0,100.0,0.0,14374
Kembla Grange,74.0,6.0,92.5,7.5,12092
Dombarton,45.0,3.0,93.8,6.2,11270
Port Kembla,1891.0,222.0,89.5,10.5,13245
Coniston,831.0,80.0,91.2,8.8,11010
Unanderra,2048.0,122.0,94.4,5.6,14008
Mount Kembla,328.0,16.0,95.3,4.7,12769
Cordeaux Heights,1401.0,51.0,96.5,3.5,11070
Farmborough Heights,1355.0,67.0,95.3,4.7,11491
Berkeley,2762.0,219.0,92.7,7.3,10303
Cringila,695.0,75.0,90.3,9.7,11116
Lake Heights,1398.0,127.0,91.7,8.3,12248
Warrawong,1768.0,199.0,89.9,10.1,14167
Windang,1213.0,86.0,93.4,6.6,14316
Primbee,622.0,69.0,90.0,10.0,13264
Mount Keira,548.0,46.0,92.3,7.7,12768
Bulli,2057.0,199.0,91.2,8.8,10662
Bargo,1469.0,74.0,95.2,4.8,10198
Yerrinbool,384.0,30.0,92.8,7.2,14510
Wilton (NSW),915.0,58.0,94.0,6.0,14311
Pheasants Nest,190.0,17.0,91.8,8.2,13191
Albion Park,4238.0,246.0,94.5,5.5,10025
Calderwood,50.0,5.0,90.9,9.1,10750
Tullimbar,178.0,10.0,94.7,5.3,13958
Yellow Rock (Shellharbour - NSW),56.0,13.0,81.2,18.8,14503
Albion Park Rail,2417.0,150.0,94.2,5.8,10026
Kiama,2734.0,618.0,81.6,18.4,12116
Kiama Heights,289.0,78.0,78.7,21.3,12118
Kiama Downs,1679.0,184.0,90.1,9.9,12117
Minnamurra,291.0,57.0,83.6,16.4,12639
Gerringong,1340.0,218.0,86.0,14.0,11606
Jamberoo,588.0,71.0,89.2,10.8,11998
Werri Beach,197.0,89.0,68.9,31.1,14233
Gerroa,225.0,234.0,49.0,51.0,11607
Curramore (NSW),56.0,9.0,86.2,13.8,11174
Jerrara,40.0,0.0,100.0,0.0,12017
Toolijooa,32.0,8.0,80.0,20.0,13903
Foxground,51.0,36.0,58.6,41.4,11558
Flinders (NSW),2149.0,139.0,93.9,6.1,11534
Shellharbour,1275.0,132.0,90.6,9.4,13533
Shell Cove,1697.0,134.0,92.7,7.3,13532
Barrack Point,245.0,31.0,88.8,11.2,10208
Dunmore (NSW),65.0,3.0,95.6,4.4,11323
Oak Flats,2317.0,153.0,93.8,6.2,13053
Blackbutt (NSW),1172.0,50.0,95.9,4.1,10391
Shellharbour City Centre,64.0,7.0,90.1,9.9,13534
Warilla,2419.0,156.0,93.9,6.1,14151
Lake Illawarra,1378.0,162.0,89.5,10.5,12250
Barrack Heights,2165.0,170.0,92.7,7.3,10207
Mount Warrigal,1698.0,120.0,93.4,6.6,12801
Fairy Meadow,2819.0,246.0,92.0,8.0,11484
Balgownie,2030.0,132.0,93.9,6.1,10155
Gwynneville,1027.0,86.0,92.3,7.7,11825
North Wollongong,892.0,154.0,85.3,14.7,13017
Mount Ousley,556.0,42.0,93.0,7.0,12782
Mount Pleasant (NSW),455.0,27.0,94.4,5.6,12784
Tarrawanna,774.0,59.0,92.9,7.1,13769
Corrimal,2576.0,204.0,92.7,7.3,11082
Towradgi,1219.0,109.0,91.8,8.2,13929
Fernhill,444.0,33.0,93.1,6.9,11507
East Corrimal,1367.0,132.0,91.2,8.8,11348
Bellambi,1587.0,121.0,92.9,7.1,10264
West Wollongong,1832.0,170.0,91.5,8.5,14255
Keiraville,1199.0,109.0,91.7,8.3,12085
Figtree,3981.0,231.0,94.5,5.5,11515
Helensburgh,2000.0,130.0,93.9,6.1,11890
Otford,118.0,10.0,92.2,7.8,13101
Stanwell Park,440.0,60.0,88.0,12.0,13653
Stanwell Tops,153.0,14.0,91.6,8.4,13654
Thirroul,2104.0,240.0,89.8,10.2,13848
Austinmer,878.0,96.0,90.1,9.9,10108
Coledale,403.0,75.0,84.3,15.7,10966
Wombarra,306.0,67.0,82.0,18.0,14363
Scarborough (NSW),96.0,23.0,80.7,19.3,13500
Coalcliff,64.0,18.0,78.0,22.0,10944
Woonona,4437.0,323.0,93.2,6.8,14416
Russell Vale,542.0,33.0,94.3,5.7,13448
Wollongong,7734.0,919.0,89.4,10.6,14358
Mount Saint Thomas,544.0,39.0,93.3,6.7,12791
Mangerton,1033.0,101.0,91.1,8.9,12468
Bulahdelah,564.0,87.0,86.6,13.4,10649
Wards River,74.0,19.0,79.6,20.4,14147
Stroud Road,83.0,22.0,79.0,21.0,13679
Stroud,329.0,44.0,88.2,11.8,13677
Girvan,65.0,19.0,77.4,22.6,11637
Nerong,47.0,44.0,51.6,48.4,12929
Allworth,70.0,18.0,79.5,20.5,10041
Bunyah,53.0,32.0,62.4,37.6,10690
Markwell,49.0,11.0,81.7,18.3,12493
Booral (NSW),138.0,25.0,84.7,15.3,10496
Limeburners Creek (Mid-Coast - NSW),105.0,8.0,92.9,7.1,12328
Forster (NSW),5799.0,1600.0,78.4,21.6,11550
Green Point (Mid-Coast - NSW),214.0,43.0,83.3,16.7,11755
Tarbuck Bay,77.0,35.0,68.8,31.2,13762
Nabiac,451.0,42.0,91.5,8.5,12885
Failford,211.0,13.0,94.2,5.8,11476
Coomba Park,260.0,141.0,64.8,35.2,11038
Smiths Lake,462.0,320.0,59.1,40.9,13563
Bungwahl,92.0,45.0,67.2,32.8,10687
Charlotte Bay,53.0,75.0,41.4,58.6,10887
Wootton,87.0,49.0,64.0,36.0,14417
Coolongolook,141.0,36.0,79.7,20.3,11032
Coomba Bay,50.0,33.0,60.2,39.8,11037
Minimbah,73.0,22.0,76.8,23.2,12636
Elizabeth Beach,84.0,84.0,50.0,50.0,11396
Blueys Beach,79.0,132.0,37.4,62.6,10420
Boomerang Beach,110.0,267.0,29.2,70.8,10487
Tuncurry,2775.0,606.0,82.1,17.9,13969
South Kempsey,787.0,91.0,89.6,10.4,13588
West Kempsey,1806.0,121.0,93.7,6.3,14247
Kempsey,196.0,24.0,89.1,10.9,12095
Frederickton,451.0,22.0,95.3,4.7,11561
Aldavilla,252.0,18.0,93.3,6.7,10028
Euroka,116.0,3.0,97.5,2.5,11464
Dondingalong,259.0,15.0,94.5,5.5,11272
Greenhill (NSW),210.0,7.0,96.8,3.2,11763
East Kempsey,515.0,58.0,89.9,10.1,11354
Verges Creek,77.0,5.0,93.9,6.1,14072
Yarravel,387.0,16.0,96.0,4.0,14483
Stuarts Point,333.0,65.0,83.7,16.3,13681
Yarrahapinni,82.0,20.0,80.4,19.6,14474
Hat Head,141.0,135.0,51.1,48.9,11869
Kinchela,98.0,15.0,86.7,13.3,12140
Gladstone (NSW),149.0,18.0,89.2,10.8,11639
Smithtown,228.0,20.0,91.9,8.1,13564
Mungay Creek,46.0,9.0,83.6,16.4,12841
Willawarrin,66.0,13.0,83.5,16.5,14295
Temagog,91.0,12.0,88.3,11.7,13783
Turners Flat,49.0,4.0,92.5,7.5,13976
Millbank (NSW),47.0,13.0,78.3,21.7,12616
Hickeys Creek,49.0,21.0,70.0,30.0,11899
Belmore River,92.0,6.0,93.9,6.1,10280
Austral Eden,51.0,0.0,100.0,0.0,10110
Crescent Head,593.0,235.0,71.6,28.4,11114
Fishermans Reach,74.0,16.0,82.2,17.8,11524
Clybucca,53.0,3.0,94.6,5.4,10940
Bellimbopinni,36.0,6.0,85.7,14.3,10272
Collombatti,210.0,11.0,95.0,5.0,10979
Kundabung,192.0,14.0,93.2,6.8,12209
Sherwood (Kempsey - NSW),58.0,4.0,93.5,6.5,13537
Bellbrook,122.0,53.0,69.7,30.3,10270
Macksville,976.0,81.0,92.3,7.7,12430
North Macksville,247.0,17.0,93.6,6.4,12995
Way Way,87.0,25.0,77.7,22.3,14203
Scotts Head,372.0,184.0,66.9,33.1,13508
Gumma,165.0,14.0,92.2,7.8,11801
Nambucca Heads,2790.0,387.0,87.8,12.2,12887
Hyland Park,178.0,26.0,87.3,12.7,11968
Bowraville,434.0,31.0,93.3,6.7,10537
Valla Beach,564.0,101.0,84.8,15.2,14068
South Arm (Nambucca - NSW),127.0,13.0,90.7,9.3,13575
Newee Creek,134.0,9.0,93.7,6.3,12952
