,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Congarinni North,119.0,16.0,88.1,11.9,11006
Congarinni,113.0,11.0,91.1,8.9,11005
Talarm,85.0,8.0,91.4,8.6,13728
Warrell Creek,92.0,5.0,94.8,5.2,14170
Eungai Creek,142.0,17.0,89.3,10.7,11458
Eungai Rail,76.0,8.0,90.5,9.5,11459
Upper Taylors Arm,51.0,4.0,92.7,7.3,14045
Taylors Arm,53.0,13.0,80.3,19.7,13776
Argents Hill,86.0,4.0,95.6,4.4,10079
Missabotti,106.0,18.0,85.5,14.5,12649
South West Rocks,1980.0,519.0,79.2,20.8,13600
Arakoon,174.0,47.0,78.7,21.3,10069
Jerseyville,46.0,4.0,92.0,8.0,12022
Lord Howe Island,132.0,49.0,72.9,27.1,12387
Lake Cathie,1317.0,213.0,86.1,13.9,12243
Bonny Hills,1114.0,129.0,89.6,10.4,10470
North Haven (NSW),773.0,179.0,81.2,18.8,12992
Kendall,386.0,25.0,93.9,6.1,12096
West Haven,489.0,40.0,92.4,7.6,14245
Laurieton,995.0,86.0,92.0,8.0,12283
Kew (NSW),383.0,45.0,89.5,10.5,12109
Herons Creek,78.0,3.0,96.3,3.7,11897
Upsalls Creek,41.0,3.0,93.2,6.8,14049
Logans Crossing,54.0,4.0,93.1,6.9,12373
Lorne (NSW),96.0,14.0,87.3,12.7,12390
Lakewood,490.0,44.0,91.8,8.2,12259
Dunbogan,435.0,81.0,84.3,15.7,11310
Johns River,110.0,12.0,90.2,9.8,12037
Camden Head,65.0,34.0,65.7,34.3,10771
Port Macquarie,18087.0,2109.0,89.6,10.4,13246
Lake Innes,129.0,4.0,97.0,3.0,12251
Riverside (NSW),106.0,7.0,93.8,6.2,13367
Thrumster,132.0,45.0,74.6,25.4,13852
North Shore (NSW),134.0,27.0,83.2,16.8,13006
Telegraph Point,207.0,26.0,88.8,11.2,13781
Blackmans Point,62.0,4.0,93.9,6.1,10395
Cooperabung,88.0,3.0,96.7,3.3,11046
Rollands Plains,55.0,9.0,85.9,14.1,13392
Upper Rollands Plains,41.0,4.0,91.1,8.9,14043
Mortons Creek,97.0,4.0,96.0,4.0,12731
Brombin,39.0,4.0,90.7,9.3,10593
Long Flat (NSW),48.0,3.0,94.1,5.9,12377
Byabarra,109.0,14.0,88.6,11.4,10727
Ellenborough,62.0,18.0,77.5,22.5,11401
Comboyne,183.0,38.0,82.8,17.2,10992
Wauchope,2375.0,153.0,93.9,6.1,14197
Yippin Creek,74.0,0.0,100.0,0.0,14515
Beechwood,218.0,8.0,96.5,3.5,10248
Redbank (NSW),128.0,8.0,94.1,5.9,13336
Crosslands,187.0,7.0,96.4,3.6,11127
King Creek,501.0,10.0,98.0,2.0,12145
Sancrox,191.0,15.0,92.7,7.3,13471
Gloucester,1252.0,196.0,86.5,13.5,11685
Craven,46.0,15.0,75.4,24.6,11107
Stratford (NSW),62.0,22.0,73.8,26.2,13672
Forbesdale,59.0,6.0,90.8,9.2,11539
Barrington (NSW),145.0,23.0,86.3,13.7,10216
Bowman,48.0,13.0,78.7,21.3,10531
Diamond Beach,337.0,99.0,77.3,22.7,11251
Manning Point,112.0,31.0,78.3,21.7,12478
Mitchells Island,167.0,32.0,83.9,16.1,12652
Oxley Island,101.0,8.0,92.7,7.3,13109
Old Bar,1782.0,202.0,89.8,10.2,13073
Black Head,380.0,170.0,69.1,30.9,10384
Red Head,209.0,64.0,76.6,23.4,13329
Rainbow Flat,234.0,31.0,88.3,11.7,13305
Hallidays Point,185.0,21.0,89.8,10.2,11832
Wallabi Point,251.0,23.0,91.6,8.4,14099
Koorainghat,71.0,9.0,88.8,11.2,12191
Tallwoods Village,270.0,70.0,79.4,20.6,13737
Taree,6457.0,576.0,91.8,8.2,13764
Cundletown,732.0,54.0,93.1,6.9,11161
Taree South,129.0,5.0,96.3,3.7,13765
Pampoolah,137.0,6.0,95.8,4.2,13142
Tinonee,411.0,23.0,94.7,5.3,13876
Harrington,1353.0,341.0,79.9,20.1,11858
Wherrol Flat,119.0,14.0,89.5,10.5,14271
Coopernook,206.0,14.0,93.6,6.4,11047
Moto,42.0,5.0,89.4,10.6,12742
Moorland (NSW),189.0,17.0,91.7,8.3,12714
Upper Lansdowne,210.0,31.0,87.1,12.9,14033
Lansdowne (Mid-Coast - NSW),217.0,31.0,87.5,12.5,12273
Kundle Kundle,58.0,11.0,84.1,15.9,12211
Killabakh,98.0,18.0,84.5,15.5,12128
Cedar Party,137.0,11.0,92.6,7.4,10870
Elands,85.0,27.0,75.9,24.1,11388
Bobin,55.0,12.0,82.1,17.9,10427
Burrell Creek,87.0,12.0,87.9,12.1,10709
Mondrook,63.0,3.0,95.5,4.5,12676
Hillville,108.0,14.0,88.5,11.5,11913
Belbora,44.0,7.0,86.3,13.7,10256
Krambach,149.0,25.0,85.6,14.4,12202
Possum Brush,49.0,12.0,80.3,19.7,13251
Dyers Crossing,132.0,9.0,93.6,6.4,11338
Firefly,106.0,9.0,92.2,7.8,11521
Wingham,2064.0,172.0,92.3,7.7,14332
Thurgoona,2765.0,247.0,91.8,8.2,13856
East Albury,2440.0,331.0,88.1,11.9,11344
Wirlinga,45.0,8.0,84.9,15.1,14337
North Albury,2375.0,343.0,87.4,12.6,12977
Lavington,5105.0,566.0,90.0,10.0,12287
Glenroy (Albury - NSW),1174.0,154.0,88.4,11.6,11678
Hamilton Valley,188.0,16.0,92.2,7.8,11842
Albury,1959.0,443.0,81.6,18.4,10027
South Albury,631.0,101.0,86.2,13.8,13573
West Albury,1475.0,142.0,91.2,8.8,14239
Splitters Creek,91.0,13.0,87.5,12.5,13610
Jindera,688.0,50.0,93.2,6.8,12032
Holbrook,660.0,140.0,82.5,17.5,11920
Table Top,417.0,41.0,91.0,9.0,13722
Little Billabong,43.0,25.0,63.2,36.8,12350
Gerogery,188.0,20.0,90.4,9.6,11605
Brocklesby,65.0,14.0,82.3,17.7,10584
Walla Walla,295.0,27.0,91.6,8.4,14097
Burrumbuttock,126.0,15.0,89.4,10.6,10716
Walbundrie,61.0,10.0,85.9,14.1,14092
Morven (Greater Hume Shire - NSW),48.0,11.0,81.4,18.6,12737
Culcairn,524.0,87.0,85.8,14.2,11147
Henty (NSW),479.0,84.0,85.1,14.9,11892
Mullengandra,44.0,9.0,83.0,17.0,12823
Bowna,34.0,9.0,79.1,20.9,10534
Woomargama,67.0,18.0,78.8,21.2,14413
Springdale Heights,793.0,94.0,89.4,10.6,13622
Hay (NSW),886.0,225.0,79.7,20.3,11874
Hay South,140.0,33.0,80.9,19.1,11875
Gol Gol,508.0,69.0,88.0,12.0,11693
Buronga,435.0,69.0,86.3,13.7,10696
Wentworth (NSW),591.0,125.0,82.5,17.5,14225
Coomealla,259.0,65.0,79.9,20.1,11041
Dareton,182.0,27.0,87.1,12.9,11206
Curlwaa,136.0,49.0,73.5,26.5,11170
Euston,262.0,69.0,79.2,20.8,11468
Tooleybuc,89.0,25.0,78.1,21.9,13902
Balranald,510.0,141.0,78.3,21.7,10168
Corowa,2239.0,375.0,85.7,14.3,11080
Mulwala,873.0,331.0,72.5,27.5,12830
Balldale,54.0,21.0,72.0,28.0,10159
Rand,83.0,17.0,83.0,17.0,13311
Oaklands,136.0,37.0,78.6,21.4,13059
Howlong,1051.0,129.0,89.1,10.9,11950
Urana,137.0,64.0,68.2,31.8,14052
Deniliquin,3053.0,364.0,89.3,10.7,11237
Mayrung,50.0,13.0,79.4,20.6,12537
Mathoura,410.0,66.0,86.1,13.9,12522
Barham,639.0,141.0,81.9,18.1,10199
Wakool,129.0,42.0,75.4,24.6,14090
Moulamein,185.0,84.0,68.8,31.2,12743
Koraleigh,115.0,17.0,87.1,12.9,12195
Conargo,46.0,19.0,70.8,29.2,10998
Moama,2318.0,355.0,86.7,13.3,12654
Warragoon,38.0,5.0,88.4,11.6,14159
Blighty,55.0,17.0,76.4,23.6,10412
Barooga,670.0,111.0,85.8,14.2,10205
Tocumwal,1082.0,227.0,82.7,17.3,13886
Finley,975.0,205.0,82.6,17.4,11520
Berrigan,493.0,92.0,84.3,15.7,10318
Jerilderie,388.0,102.0,79.2,20.8,12014
Armidale,8085.0,1135.0,87.7,12.3,10085
Guyra,744.0,99.0,88.3,11.7,11822
South Guyra,111.0,24.0,82.2,17.8,13586
Ben Lomond (NSW),65.0,16.0,80.2,19.8,10286
Black Mountain (NSW),97.0,18.0,84.3,15.7,10387
Thalgarrah,69.0,21.0,76.7,23.3,13810
Hillgrove (Armidale Regional - NSW),70.0,27.0,72.2,27.8,11907
Ebor,70.0,29.0,70.7,29.3,11372
Uralla (NSW),1085.0,139.0,88.6,11.4,14051
Saumarez Ponds,140.0,11.0,92.7,7.3,13495
Invergowrie,269.0,21.0,92.8,7.2,11983
Castle Doyle,58.0,3.0,95.1,4.9,10846
Yarrowyck,51.0,11.0,82.3,17.7,14492
Kentucky South,49.0,5.0,90.7,9.3,12103
Balala,43.0,14.0,75.4,24.6,10144
Rocky River (Uralla - NSW),107.0,12.0,89.9,10.1,13390
Walcha,982.0,200.0,83.1,16.9,14093
Woolbrook,60.0,11.0,84.5,15.5,14400
Nowendoc,54.0,26.0,67.5,32.5,13026
Yarrowitch,73.0,12.0,85.9,14.1,14491
Glen Innes,2445.0,362.0,87.1,12.9,11649
Emmaville,226.0,60.0,79.0,21.0,11414
Deepwater (NSW),187.0,39.0,82.7,17.3,11231
Dundee,63.0,9.0,87.5,12.5,11314
Red Range,77.0,18.0,81.1,18.9,13333
Shannon Vale,54.0,9.0,85.7,14.3,13526
Inverell,4481.0,399.0,91.8,8.2,11981
Ashford (NSW),256.0,44.0,85.3,14.7,10099
Tingha,282.0,45.0,86.2,13.8,13874
Yetman,77.0,15.0,83.7,16.3,14514
Bundarra,250.0,54.0,82.2,17.8,10671
Gilgai,236.0,22.0,91.5,8.5,11618
Bonshaw (NSW),39.0,13.0,75.0,25.0,10473
Coolatai,47.0,8.0,85.5,14.5,11028
Oakwood (NSW),59.0,8.0,88.1,11.9,13061
Nullamanna,55.0,8.0,87.3,12.7,13032
Elsmore,88.0,10.0,89.8,10.2,11408
Bingara,597.0,89.0,87.0,13.0,10365
Gravesend,115.0,19.0,85.8,14.2,11742
Auburn Vale,41.0,7.0,85.4,14.6,10107
Gum Flat,70.0,8.0,89.7,10.3,11796
Delungra,229.0,28.0,89.1,10.9,11234
Warialda,619.0,78.0,88.8,11.2,14149
Yallaroi,39.0,6.0,86.7,13.3,14456
Warialda Rail,46.0,6.0,88.5,11.5,14150
Upper Horton,51.0,12.0,81.0,19.0,14029
Tabulam,183.0,55.0,76.9,23.1,13723
Tenterfield,1642.0,256.0,86.5,13.5,13792
Drake,140.0,42.0,76.9,23.1,11290
Legume,61.0,29.0,67.8,32.2,12296
Urbenville,121.0,26.0,82.3,17.7,14057
Woodenbong,163.0,22.0,88.1,11.9,14382
Jennings,61.0,17.0,78.2,21.8,12008
Moree,3279.0,484.0,87.1,12.9,12722
Pallamallawa,161.0,22.0,88.0,12.0,13131
Garah,101.0,31.0,76.5,23.5,11586
Boomi,67.0,38.0,63.8,36.2,10489
Ashley,127.0,12.0,91.4,8.6,10100
Boggabilla,289.0,42.0,87.3,12.7,10441
North Star,78.0,49.0,61.4,38.6,13008
Mungindi (NSW),221.0,98.0,69.3,30.7,12843
Bellata,121.0,14.0,89.6,10.4,10266
Narrabri,2716.0,355.0,88.4,11.6,12903
Wee Waa,715.0,110.0,86.7,13.3,14211
Maules Creek,45.0,17.0,72.6,27.4,12526
Tarriaro,40.0,5.0,88.9,11.1,13770
Bohena Creek,52.0,6.0,89.7,10.3,10444
Gwabegar,55.0,20.0,73.3,26.7,11823
Gunnedah,3638.0,399.0,90.1,9.9,11812
Curlewis (NSW),272.0,45.0,85.8,14.2,11169
Boggabri,421.0,114.0,78.7,21.3,10442
Carroll,107.0,25.0,81.1,18.9,10832
Piallaway,47.0,21.0,69.1,30.9,13196
Breeza,52.0,15.0,77.6,22.4,10561
Caroona,73.0,24.0,75.3,24.7,10823
Spring Ridge,94.0,30.0,75.8,24.2,13619
Werris Creek,632.0,96.0,86.8,13.2,14238
Quirindi,1328.0,177.0,88.2,11.8,13301
Wallabadah,166.0,31.0,84.3,15.7,14098
Currabubula,117.0,17.0,87.3,12.7,11172
Quipolly,61.0,13.0,82.4,17.6,13300
Willow Tree,110.0,30.0,78.6,21.4,14305
Blackville,37.0,24.0,60.7,39.3,10398
Hillvue,2249.0,218.0,91.2,8.8,11914
Calala,1312.0,86.0,93.8,6.2,10748
Kingswood (Tamworth Regional - NSW),324.0,30.0,91.5,8.5,12164
South Tamworth,2681.0,325.0,89.2,10.8,13597
West Tamworth,2003.0,301.0,86.9,13.1,14252
North Tamworth,1946.0,212.0,90.2,9.8,13011
Tamworth,72.0,12.0,85.7,14.3,13746
East Tamworth,2071.0,301.0,87.3,12.7,11363
Oxley Vale,1261.0,149.0,89.4,10.6,13111
Nemingha,244.0,30.0,89.1,10.9,12926
Westdale (Tamworth Regional - NSW),830.0,65.0,92.7,7.3,14259
Kootingal,811.0,63.0,92.8,7.2,12194
Duri,176.0,18.0,90.7,9.3,11332
Bithramere,62.0,0.0,100.0,0.0,10381
Somerton (NSW),95.0,13.0,88.0,12.0,13572
Bective,66.0,9.0,88.0,12.0,10245
Attunga,209.0,24.0,89.7,10.3,10105
Garthowen,51.0,5.0,91.1,8.9,11593
Limbri,46.0,7.0,86.8,13.2,12327
Tintinhull,141.0,16.0,89.8,10.2,13879
Loomberah,168.0,16.0,91.3,8.7,12386
Moonbi,389.0,35.0,91.7,8.3,12699
Bendemeer,189.0,23.0,89.2,10.8,10289
Watsons Creek (NSW),47.0,22.0,68.1,31.9,14188
Barraba,607.0,138.0,81.5,18.5,10206
Upper Manilla,49.0,13.0,79.0,21.0,14037
Manilla,973.0,111.0,89.8,10.2,12474
Daruka,251.0,15.0,94.4,5.6,11218
Moore Creek,690.0,39.0,94.7,5.3,12710
Hallsville,187.0,14.0,93.0,7.0,11835
Nundle,207.0,41.0,83.5,16.5,13043
Ogunbil,59.0,18.0,76.6,23.4,13071
Dungowan,131.0,11.0,92.3,7.7,11321
Piallamore,86.0,8.0,91.5,8.5,13195
Woolomin,107.0,15.0,87.7,12.3,14408
Warral,136.0,6.0,95.8,4.2,14163
Windale,1334.0,129.0,91.2,8.8,14315
Jewells,881.0,46.0,95.0,5.0,12024
Belmont North,2227.0,139.0,94.1,5.9,10277
Belmont (NSW),2950.0,316.0,90.3,9.7,10276
Floraville,618.0,29.0,95.5,4.5,11535
Blacksmiths,757.0,101.0,88.2,11.8,10396
Pelican (NSW),342.0,31.0,91.7,8.3,13178
Marks Point,810.0,97.0,89.3,10.7,12492
Belmont South,421.0,36.0,92.1,7.9,10278
Kahibah,966.0,90.0,91.5,8.5,12048
Charlestown (NSW),4986.0,422.0,92.2,7.8,10885
Whitebridge,940.0,63.0,93.7,6.3,14276
Gateshead,1141.0,80.0,93.4,6.6,11594
Dudley,830.0,67.0,92.5,7.5,11300
Highfields (NSW),321.0,21.0,93.9,6.1,11902
Garden Suburb,611.0,38.0,94.1,5.9,11587
Cardiff (NSW),2251.0,184.0,92.4,7.6,10809
Hillsborough (Lake Macquarie - NSW),230.0,10.0,95.8,4.2,11909
Warners Bay,3008.0,237.0,92.7,7.3,14153
Argenton,533.0,51.0,91.3,8.7,10078
Glendale (NSW),1212.0,65.0,94.9,5.1,11658
Elermore Vale,2036.0,131.0,94.0,6.0,11394
Macquarie Hills,1096.0,59.0,94.9,5.1,12434
Kotara,1459.0,109.0,93.0,7.0,12200
Cardiff Heights,526.0,30.0,94.6,5.4,10810
Cardiff South,1070.0,71.0,93.8,6.2,10811
New Lambton Heights,815.0,54.0,93.8,6.2,12943
Rankin Park,902.0,49.0,94.8,5.2,13315
Tingira Heights,687.0,38.0,94.8,5.2,13875
Mount Hutton (NSW),1359.0,106.0,92.8,7.2,12766
Eleebana,1980.0,149.0,93.0,7.0,11393
Redhead,1336.0,79.0,94.4,5.6,13340
Caves Beach,1451.0,178.0,89.1,10.9,10862
Nords Wharf,313.0,81.0,79.4,20.6,12975
Swansea (NSW),2183.0,227.0,90.6,9.4,13711
Swansea Heads,197.0,33.0,85.7,14.3,13712
Catherine Hill Bay,64.0,40.0,61.5,38.5,10857
Cams Wharf,56.0,7.0,88.9,11.1,10784
Murrays Beach,206.0,29.0,87.7,12.3,12854
Valentine,1976.0,169.0,92.1,7.9,14065
Croudace Bay,192.0,20.0,90.6,9.4,11128
Speers Point,1276.0,136.0,90.4,9.6,13605
Lakelands (NSW),483.0,29.0,94.3,5.7,12256
Boolaroo,406.0,45.0,90.0,10.0,10482
Booragul,470.0,62.0,88.3,11.7,10495
Fennell Bay,624.0,59.0,91.4,8.6,11500
Marmong Point,279.0,26.0,91.5,8.5,12498
Woodrising,378.0,26.0,93.6,6.4,14391
Bolton Point,743.0,68.0,91.6,8.4,10449
Teralba,577.0,35.0,94.3,5.7,13793
Fassifern (NSW),225.0,19.0,92.2,7.8,11495
Balcolyn,356.0,81.0,81.5,18.5,10145
Yarrawonga Park,140.0,46.0,75.3,24.7,14487
Mirrabooka (NSW),272.0,62.0,81.4,18.6,12647
Sunshine (NSW),171.0,54.0,76.0,24.0,13694
Silverwater (Lake Macquarie - NSW),102.0,28.0,78.5,21.5,13546
Bonnells Bay,1328.0,178.0,88.2,11.8,10468
Brightwaters,325.0,79.0,80.4,19.6,10570
Morisset Park,240.0,41.0,85.4,14.6,12724
Windermere Park,268.0,29.0,90.2,9.8,14321
Edgeworth,2348.0,216.0,91.6,8.4,11381
Cameron Park,2360.0,147.0,94.1,5.9,10775
Cooranbong,1868.0,160.0,92.1,7.9,11052
Wyee,812.0,80.0,91.0,9.0,14438
Morisset,1322.0,174.0,88.4,11.6,12723
Wyee Point,368.0,42.0,89.8,10.2,14439
Mandalong,127.0,11.0,92.0,8.0,12465
Dora Creek,658.0,113.0,85.3,14.7,11277
Eraring,77.0,17.0,81.9,18.1,11429
Martinsville,119.0,20.0,85.6,14.4,12512
Blackalls Park,1042.0,87.0,92.3,7.7,10390
Toronto,2164.0,254.0,89.5,10.5,13918
Kilaben Bay,516.0,69.0,88.2,11.8,12125
Coal Point,646.0,119.0,84.4,15.6,10943
Awaba,131.0,9.0,93.6,6.4,10118
Carey Bay,343.0,45.0,88.4,11.6,10812
Buttaba,385.0,50.0,88.5,11.5,10723
Fishing Point,394.0,83.0,82.6,17.4,11526
Rathmines,726.0,79.0,90.2,9.8,13319
Wangi Wangi,1110.0,218.0,83.6,16.4,14135
Arcadia Vale,499.0,82.0,85.9,14.1,10073
Balmoral (Lake Macquarie - NSW),261.0,31.0,89.4,10.6,10166
Holmesville,466.0,22.0,95.5,4.5,11924
Barnsley,584.0,31.0,95.0,5.0,10204
West Wallsend,824.0,60.0,93.2,6.8,14253
Killingworth (NSW),217.0,11.0,95.2,4.8,12137
Adamstown Heights,1895.0,158.0,92.3,7.7,10017
Adamstown,2389.0,247.0,90.6,9.4,10016
Kotara South,422.0,36.0,92.1,7.9,12201
Woodberry,1059.0,74.0,93.5,6.5,14377
Beresfield,1251.0,127.0,90.8,9.2,10301
Tarro,657.0,49.0,93.1,6.9,13771
Hamilton South,1580.0,213.0,88.1,11.9,11841
Broadmeadow,668.0,83.0,88.9,11.1,10578
Hamilton East,362.0,30.0,92.3,7.7,11839
Newcastle West,287.0,69.0,80.6,19.4,12951
Hamilton North,367.0,38.0,90.6,9.4,11840
Hamilton (NSW),1767.0,225.0,88.7,11.3,11838
New Lambton,3992.0,345.0,92.0,8.0,12942
Lambton,1957.0,207.0,90.4,9.6,12264
Jesmond,1090.0,148.0,88.0,12.0,12023
Maryland (Newcastle - NSW),2613.0,153.0,94.5,5.5,12514
Fletcher (NSW),1492.0,90.0,94.3,5.7,11533
Minmi,240.0,10.0,96.0,4.0,12638
Warabrook,696.0,42.0,94.3,5.7,14140
Mayfield West,772.0,74.0,91.3,8.7,12536
Mayfield (Newcastle - NSW),3806.0,410.0,90.3,9.7,12530
Mayfield East,712.0,75.0,90.5,9.5,12534
Merewether Heights,467.0,29.0,94.2,5.8,12574
Merewether,4293.0,544.0,88.8,11.2,12573
The Junction,439.0,59.0,88.2,11.8,13827
Cooks Hill,1612.0,280.0,85.2,14.8,11019
Bar Beach,510.0,92.0,84.7,15.3,10187
Newcastle,1285.0,366.0,77.8,22.2,12949
The Hill,901.0,162.0,84.8,15.2,13826
Newcastle East,442.0,144.0,75.4,24.6,12950
Carrington (Newcastle - NSW),841.0,91.0,90.2,9.8,10830
Shortland,1559.0,134.0,92.1,7.9,13542
Birmingham Gardens,835.0,77.0,91.6,8.4,10377
Sandgate (NSW),66.0,18.0,78.6,21.4,13474
North Lambton,1216.0,98.0,92.5,7.5,12993
Stockton (NSW),1505.0,205.0,88.0,12.0,13662
Fern Bay,1175.0,111.0,91.4,8.6,11501
Fullerton Cove,221.0,15.0,93.6,6.4,11575
Wallsend,4909.0,415.0,92.2,7.8,14118
Georgetown (NSW),797.0,74.0,91.5,8.5,11603
Waratah West,1096.0,101.0,91.6,8.4,14142
Waratah (NSW),1800.0,212.0,89.5,10.5,14141
Wickham (NSW),487.0,113.0,81.2,18.8,14285
Maryville,613.0,56.0,91.6,8.4,12518
Tighes Hill,647.0,55.0,92.2,7.8,13863
Islington,822.0,96.0,89.5,10.5,11990
Ballina,3842.0,391.0,90.8,9.2,10162
West Ballina,1257.0,76.0,94.3,5.7,14240
East Ballina,2276.0,278.0,89.1,10.9,11345
Skennars Head,422.0,13.0,97.0,3.0,13554
Alstonville,2296.0,172.0,93.0,7.0,10046
Wollongbar,1045.0,59.0,94.7,5.3,14357
East Wardell,103.0,4.0,96.3,3.7,11365
Meerschaum Vale,129.0,6.0,95.6,4.4,12556
Dalwood (Ballina - NSW),80.0,6.0,93.0,7.0,11195
Marom Creek,42.0,8.0,84.0,16.0,12499
Rous,79.0,3.0,96.3,3.7,13427
Pimlico (NSW),105.0,10.0,91.3,8.7,13207
Coolgardie (NSW),38.0,0.0,100.0,0.0,11031
Keith Hall,52.0,0.0,100.0,0.0,12086
Uralba,86.0,7.0,92.5,7.5,14050
Tuckombil,90.0,10.0,90.0,10.0,13947
Fernleigh,86.0,13.0,86.9,13.1,11508
Tintenbar,255.0,12.0,95.5,4.5,13878
Cumbalum,479.0,21.0,95.8,4.2,11154
Brooklet,88.0,18.0,83.0,17.0,10598
Newrybar,161.0,20.0,89.0,11.0,12957
Alstonvale,150.0,5.0,96.8,3.2,10045
Teven,91.0,5.0,94.8,5.2,13807
Pearces Creek,62.0,8.0,88.6,11.4,13170
Lynwood (NSW),73.0,0.0,100.0,0.0,12427
Rous Mill,71.0,4.0,94.7,5.3,13428
Ewingsdale,257.0,52.0,83.2,16.8,11474
Eureka (NSW),114.0,16.0,87.7,12.3,11461
Coorabell,148.0,43.0,77.5,22.5,11051
Possum Creek,95.0,24.0,79.8,20.2,13252
Bangalow,704.0,89.0,88.8,11.2,10174
Coopers Shoot,90.0,13.0,87.4,12.6,11049
Skinners Shoot,36.0,15.0,70.6,29.4,13556
Talofa,37.0,17.0,68.5,31.5,13739
Nashua,93.0,9.0,91.2,8.8,12914
Federal (NSW),237.0,46.0,83.7,16.3,11499
Binna Burra (NSW),59.0,16.0,78.7,21.3,10371
Brunswick Heads,760.0,125.0,85.9,14.1,10621
Ocean Shores,2018.0,187.0,91.5,8.5,13070
Tyagarah,58.0,25.0,69.9,30.1,13993
New Brighton,126.0,55.0,69.6,30.4,12939
South Golden Beach,286.0,73.0,79.7,20.3,13581
Byron Bay,1841.0,613.0,75.0,25.0,10733
Suffolk Park,1297.0,198.0,86.8,13.2,13684
Broken Head,101.0,23.0,81.5,18.5,10591
Woodburn (Richmond Valley - NSW),267.0,27.0,90.8,9.2,14379
Broadwater (Richmond Valley - NSW),247.0,23.0,91.5,8.5,10580
Evans Head,1232.0,249.0,83.2,16.8,11469
Swan Bay (Richmond Valley - NSW),70.0,5.0,93.3,6.7,13705
Doonbah,97.0,3.0,97.0,3.0,11274
Lennox Head,2296.0,374.0,86.0,14.0,12303
Myocum,354.0,53.0,87.0,13.0,12877
Billinudgel,79.0,8.0,90.8,9.2,10355
Yelgun,34.0,4.0,89.5,10.5,14499
The Pocket,94.0,13.0,87.9,12.1,13834
Middle Pocket,47.0,5.0,90.4,9.6,12606
Main Arm,195.0,31.0,86.3,13.7,12445
Upper Main Arm,97.0,11.0,89.8,10.2,14035
Mullumbimby,1337.0,150.0,89.9,10.1,12828
Mullumbimby Creek,171.0,8.0,95.5,4.5,12829
Wilsons Creek,140.0,26.0,84.3,15.7,14310
Yorklea,131.0,3.0,97.8,2.2,14517
Casino,4221.0,315.0,93.1,6.9,10843
North Casino,295.0,16.0,94.9,5.1,12987
Fairy Hill,136.0,11.0,92.5,7.5,11483
Bonalbo,146.0,22.0,86.9,13.1,10463
Coraki,436.0,39.0,91.8,8.2,11063
Mallanganee,70.0,17.0,80.5,19.5,12457
Stratheden,74.0,3.0,96.1,3.9,13674
Spring Grove,145.0,6.0,96.0,4.0,13614
Greenridge,37.0,0.0,100.0,0.0,11768
McKees Hill,99.0,5.0,95.2,4.8,12543
Tatham,78.0,8.0,90.7,9.3,13773
West Coraki,36.0,0.0,100.0,0.0,14243
Ellangowan (NSW),109.0,5.0,95.6,4.4,11400
Rappville,58.0,9.0,86.6,13.4,13318
Goonellabah,4883.0,364.0,93.1,6.9,11711
Chilcotts Grass,77.0,6.0,92.8,7.2,10903
