,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
South Hurstville,1634.0,118.0,93.3,6.7,13587
Blakehurst,1901.0,155.0,92.5,7.5,10403
Kyle Bay,313.0,28.0,91.8,8.2,12227
Connells Point,901.0,51.0,94.6,5.4,11013
Carss Park,430.0,33.0,92.9,7.1,10837
Arncliffe,3443.0,289.0,92.3,7.7,10086
Wolli Creek,2481.0,216.0,92.0,8.0,14353
Turrella,769.0,57.0,93.1,6.9,13982
Bardwell Valley,772.0,55.0,93.3,6.7,10196
Bardwell Park,768.0,50.0,93.9,6.1,10195
Bexley,6045.0,418.0,93.5,6.5,10334
Kogarah,5283.0,330.0,94.1,5.9,12181
Bexley North,1396.0,105.0,93.0,7.0,10335
Allawah,2027.0,123.0,94.3,5.7,10038
Beverley Park,812.0,74.0,91.6,8.4,10330
Kogarah Bay,622.0,66.0,90.4,9.6,12182
Kyeemagh,317.0,20.0,94.1,5.9,12226
Brighton-le-Sands,3283.0,372.0,89.8,10.2,10569
Rockdale,5218.0,368.0,93.4,6.6,13379
Monterey,1684.0,196.0,89.6,10.4,12686
Banksia,1057.0,68.0,94.0,6.0,10178
Sandringham (NSW),463.0,53.0,89.7,10.3,13478
Dolls Point,747.0,75.0,90.9,9.1,11267
Sans Souci,3934.0,360.0,91.6,8.4,13489
Ramsgate,388.0,41.0,90.4,9.6,13309
Ramsgate Beach,712.0,70.0,91.0,9.0,13310
Concord,4795.0,313.0,93.9,6.1,10999
Breakfast Point,1748.0,225.0,88.6,11.4,10557
Cabarita (NSW),697.0,72.0,90.6,9.4,10736
Mortlake (NSW),398.0,50.0,88.8,11.2,12729
North Strathfield,1612.0,95.0,94.4,5.6,13009
Concord West,1901.0,125.0,93.8,6.2,11000
Sydney Olympic Park,644.0,56.0,92.0,8.0,13716
Liberty Grove,720.0,25.0,96.6,3.4,12315
Rhodes,4708.0,348.0,93.1,6.9,13358
Drummoyne,4623.0,487.0,90.5,9.5,11293
Russell Lea,1791.0,134.0,93.0,7.0,13447
Rodd Point,477.0,33.0,93.5,6.5,13391
Abbotsford (NSW),2157.0,188.0,92.0,8.0,10003
Chiswick,1211.0,121.0,90.9,9.1,10910
Five Dock,3391.0,319.0,91.4,8.6,11530
Canada Bay,443.0,39.0,91.9,8.1,10785
Wareemba,578.0,50.0,92.0,8.0,14148
Balmain,4196.0,397.0,91.4,8.6,10164
Birchgrove,1260.0,150.0,89.4,10.6,10374
Woolwich,291.0,23.0,92.7,7.3,14412
Leichhardt (NSW),5425.0,426.0,92.7,7.3,12297
Lilyfield,2817.0,230.0,92.5,7.5,12325
Rozelle,3447.0,374.0,90.2,9.8,13435
Ashfield (NSW),8540.0,625.0,93.2,6.8,10098
Summer Hill (Inner West - NSW),2881.0,264.0,91.6,8.4,13687
Hurlstone Park,1702.0,128.0,93.0,7.0,11963
Ashbury,1062.0,81.0,92.9,7.1,10093
Burwood (NSW),5289.0,425.0,92.6,7.4,10718
Croydon (NSW),3468.0,202.0,94.5,5.5,11134
Strathfield (NSW),8035.0,556.0,93.5,6.5,13675
Croydon Park (NSW),3859.0,275.0,93.3,6.7,11135
Enfield (NSW),987.0,72.0,93.2,6.8,11421
Burwood Heights,291.0,19.0,93.9,6.1,10719
Haberfield,2173.0,146.0,93.7,6.3,11828
Homebush West,2711.0,150.0,94.8,5.2,11930
Homebush (NSW),2254.0,242.0,90.3,9.7,11929
Strathfield South,1158.0,59.0,95.2,4.8,13676
Chatswood,8894.0,972.0,90.1,9.9,10892
North Willoughby,1481.0,103.0,93.5,6.5,13016
Willoughby (NSW),2237.0,145.0,93.9,6.1,14303
Artarmon,3590.0,253.0,93.4,6.6,10090
Roseville,3222.0,255.0,92.7,7.3,13412
Lane Cove North,4564.0,399.0,92.0,8.0,12267
Chatswood West,485.0,51.0,90.5,9.5,10893
Lane Cove West,938.0,223.0,80.8,19.2,12268
Lane Cove,4275.0,387.0,91.7,8.3,12266
Riverview (NSW),936.0,55.0,94.5,5.5,13370
Greenwich,2078.0,195.0,91.4,8.6,11770
Northwood (NSW),283.0,28.0,91.0,9.0,13024
Longueville,653.0,50.0,92.9,7.1,12385
St Leonards (NSW),2518.0,313.0,88.9,11.1,13642
Naremburn,2225.0,213.0,91.3,8.7,12898
Cammeray,2993.0,270.0,91.7,8.3,10778
Castle Cove,833.0,76.0,91.6,8.4,10845
Castlecrag,919.0,91.0,91.0,9.0,10849
Northbridge (NSW),2028.0,168.0,92.3,7.7,13022
Middle Cove,427.0,23.0,94.9,5.1,12602
Willoughby East,553.0,25.0,95.7,4.3,14304
Hornsby Heights,2013.0,88.0,95.8,4.2,11937
Mount Colah,2258.0,126.0,94.7,5.3,12750
Asquith,1091.0,160.0,87.2,12.8,10103
Hornsby,8162.0,568.0,93.5,6.5,11936
Mount Kuring-Gai,551.0,32.0,94.5,5.5,12772
Cowan,210.0,5.0,97.7,2.3,11097
Berowra,1493.0,73.0,95.3,4.7,10308
Brooklyn (NSW),266.0,52.0,83.6,16.4,10599
Berowra Heights,1709.0,81.0,95.5,4.5,10310
Dangar Island,117.0,61.0,65.7,34.3,11199
Normanhurst,1717.0,91.0,95.0,5.0,12976
Thornleigh,2693.0,154.0,94.6,5.4,13850
Westleigh,1454.0,71.0,95.3,4.7,14260
Wahroonga,5454.0,396.0,93.2,6.8,14085
East Killara,886.0,73.0,92.4,7.6,11355
Killara (NSW),3490.0,274.0,92.7,7.3,12129
Lindfield,3333.0,285.0,92.1,7.9,12339
Gordon (NSW),2552.0,178.0,93.5,6.5,11718
East Lindfield,1164.0,66.0,94.6,5.4,11357
Roseville Chase,504.0,41.0,92.5,7.5,13413
Pymble,3460.0,254.0,93.2,6.8,13281
West Pymble,1644.0,106.0,93.9,6.1,14250
St Ives (NSW),5832.0,413.0,93.4,6.6,13639
St Ives Chase,970.0,49.0,95.2,4.8,13640
Turramurra,4030.0,298.0,93.1,6.9,13980
South Turramurra,969.0,39.0,96.1,3.9,13598
North Turramurra,1464.0,123.0,92.2,7.8,13013
Warrawee,972.0,60.0,94.2,5.8,14165
North Wahroonga,650.0,43.0,93.8,6.2,13015
Cremorne Point,1046.0,152.0,87.3,12.7,11113
Cremorne (NSW),4882.0,416.0,92.1,7.9,11112
Neutral Bay,4622.0,542.0,89.5,10.5,12934
Crows Nest (NSW),2086.0,234.0,89.9,10.1,11131
Wollstonecraft,3710.0,342.0,91.6,8.4,14359
Waverton,1342.0,138.0,90.7,9.3,14202
North Sydney,3360.0,644.0,83.9,16.1,13010
Mosman,11023.0,1372.0,88.9,11.1,12738
Kirribilli,1890.0,382.0,83.2,16.8,12173
Kurraba Point,682.0,128.0,84.2,15.8,12217
Milsons Point,1030.0,225.0,82.1,17.9,12629
McMahons Point,1057.0,234.0,81.9,18.1,12547
Lavender Bay,450.0,80.0,84.9,15.1,12285
Seaforth (NSW),2188.0,189.0,92.0,8.0,13509
Balgowlah Heights,1020.0,71.0,93.5,6.5,10154
Clontarf (NSW),526.0,60.0,89.8,10.2,10935
Balgowlah,3007.0,273.0,91.7,8.3,10153
Manly (NSW),6522.0,1314.0,83.2,16.8,12475
Fairlight,2303.0,286.0,89.0,11.0,11482
Avalon Beach,3297.0,419.0,88.7,11.3,10111
Palm Beach (NSW),598.0,544.0,52.4,47.6,13132
Whale Beach,97.0,129.0,42.9,57.1,14267
Clareville,279.0,82.0,77.3,22.7,10923
Scotland Island,209.0,142.0,59.5,40.5,13505
Elanora Heights,1326.0,74.0,94.7,5.3,11389
Ingleside,282.0,21.0,93.1,6.9,11979
Bayview (NSW),1442.0,156.0,90.2,9.8,10237
Church Point,356.0,61.0,85.4,14.6,10915
Lovett Bay,32.0,27.0,54.2,45.8,12397
Mona Vale,3749.0,414.0,90.1,9.9,12672
Newport (NSW),3336.0,438.0,88.4,11.6,12956
Bilgola Plateau,1150.0,90.0,92.7,7.3,10351
Bilgola Beach,92.0,31.0,74.8,25.2,10350
Warriewood,2407.0,147.0,94.2,5.8,14173
North Narrabeen,1840.0,128.0,93.5,6.5,12999
Beacon Hill,2224.0,110.0,95.3,4.7,10238
Narraweena,2205.0,152.0,93.6,6.4,12910
Cromer (NSW),2517.0,172.0,93.6,6.4,11118
Dee Why,8662.0,785.0,91.7,8.3,11227
North Curl Curl,1187.0,96.0,92.5,7.5,12988
Forestville (NSW),2753.0,182.0,93.8,6.2,11548
Killarney Heights,1376.0,56.0,96.1,3.9,12130
Frenchs Forest,4145.0,192.0,95.6,4.4,11568
Belrose,2854.0,151.0,95.0,5.0,10283
Davidson,896.0,33.0,96.4,3.6,11219
Curl Curl,742.0,58.0,92.8,7.2,11167
Freshwater (NSW),3248.0,315.0,91.2,8.8,11569
Manly Vale,2304.0,171.0,93.1,6.9,12476
North Manly,945.0,50.0,95.0,5.0,12997
Queenscliff (NSW),1427.0,167.0,89.5,10.5,13296
Brookvale,1282.0,100.0,92.8,7.2,10601
Allambie Heights,2235.0,176.0,92.7,7.3,10036
North Balgowlah,1102.0,74.0,93.7,6.3,12981
Narrabeen,3496.0,337.0,91.2,8.8,12902
Collaroy (NSW),2832.0,265.0,91.4,8.6,10970
Collaroy Plateau,1369.0,72.0,95.0,5.0,10971
Wheeler Heights,892.0,31.0,96.6,3.4,14268
Terrey Hills,890.0,55.0,94.2,5.8,13804
Duffys Forest,134.0,10.0,93.1,6.9,11301
Ellis Lane,262.0,15.0,94.6,5.4,11405
Grasmere,612.0,55.0,91.8,8.2,11739
Camden,1226.0,98.0,92.6,7.4,10770
Camden Park (NSW),629.0,13.0,98.0,2.0,10772
Cawdor (NSW),133.0,7.0,95.0,5.0,10863
Camden South,1587.0,75.0,95.5,4.5,10773
Harrington Park,2988.0,112.0,96.4,3.6,11859
Elderslie (Camden - NSW),1936.0,109.0,94.7,5.3,11391
Narellan,1266.0,53.0,96.0,4.0,12896
Kirkham,187.0,5.0,97.4,2.6,12171
Mount Annan,3473.0,118.0,96.7,3.3,12745
Currans Hill,1662.0,90.0,94.9,5.1,11175
Gregory Hills,1458.0,49.0,96.7,3.3,11774
Narellan Vale,2196.0,68.0,97.0,3.0,12897
Spring Farm (NSW),1410.0,89.0,94.1,5.9,13612
Airds,932.0,56.0,94.3,5.7,10022
Bradbury (NSW),2975.0,186.0,94.1,5.9,10543
St Helens Park,2045.0,66.0,96.9,3.1,13637
Wedderburn (NSW),169.0,8.0,95.5,4.5,14209
Woodbine (NSW),832.0,33.0,96.2,3.8,14378
Campbelltown (NSW),4685.0,434.0,91.5,8.5,10780
Leumeah,3439.0,208.0,94.3,5.7,12308
Blair Athol (NSW),767.0,27.0,96.6,3.4,10400
Raby,1876.0,82.0,95.8,4.2,13303
Eagle Vale,1769.0,77.0,95.8,4.2,11341
Eschol Park,861.0,40.0,95.6,4.4,11441
Blairmount,120.0,5.0,96.0,4.0,10401
Kearns,841.0,29.0,96.7,3.3,12079
Claymore,605.0,71.0,89.5,10.5,10924
Holsworthy,1418.0,63.0,95.7,4.3,11926
Ingleburn,4993.0,285.0,94.6,5.4,11978
Macquarie Links,381.0,20.0,95.0,5.0,12435
Denham Court,565.0,51.0,91.7,8.3,11235
Bardia,466.0,18.0,96.3,3.7,10194
Edmondson Park,582.0,50.0,92.1,7.9,11383
Ruse,1866.0,105.0,94.7,5.3,13443
Kentlyn,207.0,10.0,95.4,4.6,12101
Minto Heights,93.0,8.0,92.1,7.9,12643
Macquarie Fields,4400.0,232.0,95.0,5.0,12433
Glenfield (NSW),2903.0,178.0,94.2,5.8,11664
St Andrews (NSW),1771.0,70.0,96.2,3.8,13631
Bow Bowing,492.0,17.0,96.7,3.3,10526
Minto,3825.0,206.0,94.9,5.1,12642
Rosemeadow,2407.0,133.0,94.8,5.2,13410
Ambarvale,2302.0,100.0,95.8,4.2,10049
Menangle Park,78.0,4.0,95.1,4.9,12569
Gilead,133.0,3.0,97.8,2.2,11617
Glen Alpine,1309.0,44.0,96.7,3.3,11645
Englorie Park,137.0,10.0,93.2,6.8,11423
Yanderra,197.0,19.0,91.2,8.8,14461
Douglas Park,424.0,20.0,95.5,4.5,11283
Razorback,303.0,24.0,92.7,7.3,13328
Appin (NSW),784.0,44.0,94.7,5.3,10063
Menangle,361.0,15.0,96.0,4.0,12568
Picton (NSW),1593.0,127.0,92.6,7.4,13200
Tahmoor,1715.0,118.0,93.6,6.4,13727
Buxton (NSW),618.0,37.0,94.4,5.6,10726
Thirlmere,1312.0,73.0,94.7,5.3,13847
Lakesland,133.0,11.0,92.4,7.6,12258
The Oaks,792.0,44.0,94.7,5.3,13831
Werombi,260.0,17.0,93.9,6.1,14232
Orangeville,353.0,26.0,93.1,6.9,13094
Belimbla Park,161.0,17.0,90.4,9.6,10261
Mount Hunter,201.0,16.0,92.6,7.4,12765
Theresa Park,152.0,8.0,95.0,5.0,13845
Silverdale (NSW),1044.0,56.0,94.9,5.1,13544
Oakdale (NSW),579.0,58.0,90.9,9.1,13054
Blackheath,1907.0,728.0,72.4,27.6,10393
Mount Victoria,387.0,158.0,71.0,29.0,12797
Glenbrook,1716.0,109.0,94.0,6.0,11656
Blaxland (NSW),2580.0,174.0,93.7,6.3,10407
Warrimoo,826.0,43.0,95.1,4.9,14174
Lapstone,319.0,16.0,95.2,4.8,12276
Mount Riverview,1032.0,57.0,94.8,5.2,12788
Yarramundi,226.0,14.0,94.2,5.8,14477
Katoomba,3397.0,879.0,79.4,20.6,12077
Leura,1814.0,551.0,76.7,23.3,12309
Medlow Bath,250.0,65.0,79.4,20.6,12553
Linden (NSW),176.0,9.0,95.1,4.9,12335
Woodford (NSW),710.0,67.0,91.4,8.6,14383
Hazelbrook,1819.0,164.0,91.7,8.3,11881
Lawson (NSW),1007.0,112.0,90.0,10.0,12289
Bullaburra,466.0,51.0,90.1,9.9,10656
Faulconbridge,1424.0,99.0,93.5,6.5,11496
Winmalee,2128.0,129.0,94.3,5.7,14334
Hawkesbury Heights,150.0,0.0,100.0,0.0,11872
Yellow Rock (Blue Mountains - NSW),309.0,22.0,93.4,6.6,14502
Springwood (NSW),3157.0,205.0,93.9,6.1,13629
Valley Heights,417.0,18.0,95.9,4.1,14069
Wentworth Falls,2412.0,426.0,85.0,15.0,14226
Werrington Downs,1046.0,49.0,95.5,4.5,14237
Cambridge Park,2299.0,130.0,94.6,5.4,10768
Werrington County,1191.0,48.0,96.1,3.9,14236
Cambridge Gardens,670.0,34.0,95.2,4.8,10767
Cranebrook,4928.0,211.0,95.9,4.1,11105
Llandilo,419.0,28.0,93.7,6.3,12363
Castlereagh,323.0,6.0,98.2,1.8,10850
Penrith,5355.0,504.0,91.4,8.6,13184
Jordan Springs,1587.0,182.0,89.7,10.3,12042
Emu Plains,2904.0,148.0,95.2,4.8,11418
Leonay,819.0,44.0,94.9,5.1,12304
Emu Heights (NSW),1057.0,44.0,96.0,4.0,11417
Glenmore Park,6942.0,319.0,95.6,4.4,11670
Regentville,265.0,9.0,96.7,3.3,13346
Jamisontown,2087.0,136.0,93.9,6.1,12000
South Penrith,4071.0,200.0,95.3,4.7,13596
Kingswood (Penrith - NSW),3411.0,332.0,91.1,8.9,12163
Caddens,349.0,19.0,94.8,5.2,10743
Werrington,1535.0,105.0,93.6,6.4,14235
Claremont Meadows,1433.0,59.0,96.0,4.0,10918
Wallacia,519.0,28.0,94.9,5.1,14101
Mulgoa,538.0,48.0,91.8,8.2,12814
Luddenham,470.0,46.0,91.1,8.9,12419
Badgerys Creek,68.0,9.0,88.3,11.7,10132
Orchard Hills,533.0,32.0,94.3,5.7,13095
Warragamba,456.0,28.0,94.2,5.8,14158
Richmond (NSW),2069.0,181.0,92.0,8.0,13360
North Richmond,1742.0,121.0,93.5,6.5,13002
Agnes Banks,255.0,19.0,93.1,6.9,10021
Hobartville (NSW),999.0,64.0,94.0,6.0,11917
South Windsor,2163.0,152.0,93.4,6.6,13601
Windsor (NSW),679.0,43.0,94.0,6.0,14325
Bligh Park,2151.0,109.0,95.2,4.8,10411
Windsor Downs,341.0,13.0,96.3,3.7,14326
Londonderry (NSW),1062.0,57.0,94.9,5.1,12375
Berkshire Park,302.0,15.0,95.3,4.7,10305
Erskine Park,1906.0,55.0,97.2,2.8,11438
St Clair (Penrith - NSW),6037.0,234.0,96.3,3.7,13632
Colyton,2728.0,192.0,93.4,6.6,10987
Oxley Park,1007.0,124.0,89.0,11.0,13110
St Marys (NSW),4285.0,443.0,90.6,9.4,13643
North St Marys,1285.0,78.0,94.3,5.7,13007
Silverwater (Parramatta - NSW),777.0,72.0,91.5,8.5,13547
Newington (NSW),1887.0,101.0,94.9,5.1,12953
Lidcombe,5760.0,315.0,94.8,5.2,12316
Wentworth Point,3000.0,270.0,91.7,8.3,14227
Auburn (NSW),9914.0,678.0,93.6,6.4,10106
Berala,2720.0,164.0,94.3,5.7,10299
Regents Park (NSW),1547.0,114.0,93.1,6.9,13345
Carlingford,7772.0,515.0,93.8,6.2,10818
Beecroft,2956.0,185.0,94.1,5.9,10249
Epping (NSW),7862.0,478.0,94.3,5.7,11428
Rydalmere,2253.0,146.0,93.9,6.1,13453
Parramatta,8926.0,719.0,92.5,7.5,13156
Ermington,3511.0,309.0,91.9,8.1,11435
Dundas (NSW),1480.0,92.0,94.1,5.9,11312
Melrose Park (NSW),507.0,39.0,92.9,7.1,12563
Telopea,2079.0,160.0,92.9,7.1,13782
Oatlands (NSW),1779.0,106.0,94.4,5.6,13063
Dundas Valley,1820.0,133.0,93.2,6.8,11313
Chester Hill,3840.0,291.0,93.0,7.0,10899
Sefton,1695.0,120.0,93.4,6.6,13516
Carramar (NSW),1179.0,89.0,93.0,7.0,10826
Old Guildford,661.0,38.0,94.6,5.4,13077
Fairfield East,1418.0,125.0,91.9,8.1,11478
Yennora,455.0,29.0,94.0,6.0,14506
Fairfield (NSW),5667.0,423.0,93.1,6.9,11477
Merrylands,9045.0,592.0,93.9,6.1,12588
Granville (NSW),4742.0,345.0,93.2,6.8,11738
Guildford (NSW),6478.0,493.0,92.9,7.1,11790
Pemulwuy,1511.0,63.0,96.0,4.0,13181
Greystanes,7198.0,386.0,94.9,5.1,11781
South Granville,1567.0,151.0,91.2,8.8,13583
Merrylands West,2195.0,160.0,93.2,6.8,12589
Guildford West,1450.0,102.0,93.4,6.6,11791
Woodpark,451.0,20.0,95.8,4.2,14390
South Wentworthville,1934.0,128.0,93.8,6.2,13599
Holroyd,415.0,22.0,95.0,5.0,11925
Smithfield (NSW),3696.0,211.0,94.6,5.4,13559
North Parramatta,4729.0,346.0,93.2,6.8,13001
North Rocks,2521.0,317.0,88.8,11.2,13003
Northmead,4265.0,322.0,93.0,7.0,13023
Westmead,5239.0,326.0,94.1,5.9,14261
Wentworthville,3664.0,235.0,94.0,6.0,14228
Winston Hills,3902.0,199.0,95.1,4.9,14335
Rosehill (NSW),1322.0,171.0,88.5,11.5,13408
Harris Park,1865.0,138.0,93.1,6.9,11860
Old Toongabbie,1073.0,62.0,94.5,5.5,13081
Constitution Hill,1320.0,82.0,94.2,5.8,11014
Pendle Hill,2292.0,178.0,92.8,7.2,13182
Girraween (NSW),1712.0,97.0,94.6,5.4,11636
Mays Hill,215.0,33.0,86.7,13.3,12538
North Epping,1428.0,74.0,95.1,4.9,12990
Cheltenham (NSW),669.0,31.0,95.6,4.4,10896
Pennant Hills,2448.0,183.0,93.0,7.0,13183
Denistone,1188.0,61.0,95.1,4.9,11238
Eastwood (NSW),5899.0,421.0,93.3,6.7,11369
Denistone East,690.0,45.0,93.9,6.1,11239
Denistone West,289.0,14.0,95.4,4.6,11240
Gladesville,4531.0,361.0,92.6,7.4,11638
Tennyson Point,382.0,36.0,91.4,8.6,13790
Henley,149.0,15.0,90.9,9.1,11891
Huntleys Cove,319.0,27.0,92.2,7.8,11960
Hunters Hill,2875.0,279.0,91.2,8.8,11954
Macquarie Park,3049.0,294.0,91.2,8.8,12437
Marsfield,4764.0,310.0,93.9,6.1,12506
North Ryde,3498.0,385.0,90.1,9.9,13005
Ryde,9683.0,710.0,93.2,6.8,13454
East Ryde,794.0,61.0,92.9,7.1,11361
Meadowbank (NSW),2010.0,170.0,92.2,7.8,12550
West Ryde,4879.0,314.0,94.0,6.0,14251
Putney,1300.0,88.0,93.7,6.3,13277
Busby,1205.0,59.0,95.3,4.7,10720
Heckenberg,867.0,41.0,95.5,4.5,11887
Miller,1060.0,72.0,93.6,6.4,12617
Ashcroft,1017.0,76.0,93.0,7.0,10097
Sadleir,943.0,74.0,92.7,7.3,13461
Austral,822.0,61.0,93.1,6.9,10109
Rossmore (NSW),620.0,41.0,93.8,6.2,13420
Kemps Creek,571.0,69.0,89.2,10.8,12094
Bringelly,691.0,55.0,92.6,7.4,10575
Greendale (Liverpool - NSW),95.0,7.0,93.1,6.9,11759
Cecil Park,205.0,16.0,92.8,7.2,10866
Cecil Hills,1807.0,58.0,96.9,3.1,10865
Catherine Field,412.0,26.0,94.1,5.9,10856
Leppington,1061.0,92.0,92.0,8.0,12305
Cobbitty,644.0,29.0,95.7,4.3,10954
Oran Park,1395.0,68.0,95.4,4.6,13091
Green Valley (NSW),3334.0,126.0,96.4,3.6,11756
Elizabeth Hills,683.0,47.0,93.6,6.4,11397
Hinchinbrook (NSW),2987.0,116.0,96.3,3.7,11915
Hoxton Park,1158.0,39.0,96.7,3.3,11951
Carnes Hill,571.0,28.0,95.3,4.7,10820
Horningsea Park,975.0,27.0,97.3,2.7,11935
Middleton Grange,1418.0,70.0,95.3,4.7,12607
West Hoxton,2538.0,97.0,96.3,3.7,14246
Bonnyrigg Heights,1896.0,59.0,97.0,3.0,10472
Bonnyrigg,2464.0,122.0,95.3,4.7,10471
Bossley Park,4151.0,158.0,96.3,3.7,10515
Abbotsbury,1193.0,42.0,96.6,3.4,10002
Cabramatta,6469.0,383.0,94.4,5.6,10740
Lansvale,756.0,34.0,95.7,4.3,12275
Canley Vale,2969.0,182.0,94.2,5.8,10792
Mount Pritchard,2911.0,185.0,94.0,6.0,12785
Cabramatta West,1917.0,94.0,95.3,4.7,10741
Canley Heights,3032.0,205.0,93.7,6.3,10791
Edensor Park,2698.0,108.0,96.2,3.8,11377
Fairfield West,3252.0,170.0,95.0,5.0,11480
Fairfield Heights,2130.0,132.0,94.2,5.8,11479
Greenfield Park,1363.0,46.0,96.7,3.3,11761
Prairiewood,960.0,36.0,96.4,3.6,13258
Horsley Park,511.0,44.0,92.1,7.9,11943
Mount Vernon,299.0,10.0,96.8,3.2,12796
Wetherill Park,1802.0,88.0,95.3,4.7,14264
Wakeley,1345.0,43.0,96.9,3.1,14089
St Johns Park,1660.0,58.0,96.6,3.4,13641
Casula,4571.0,229.0,95.2,4.8,10852
Moorebank,3033.0,168.0,94.8,5.2,12712
Chipping Norton,2809.0,145.0,95.1,4.9,10908
Voyager Point,487.0,8.0,98.4,1.6,14079
Wattle Grove (NSW),2739.0,119.0,95.8,4.2,14192
Hammondville,1107.0,57.0,95.1,4.9,11844
Sandy Point (NSW),192.0,15.0,92.8,7.2,13487
Pleasure Point,145.0,4.0,97.3,2.7,13229
Liverpool,8395.0,480.0,94.6,5.4,12361
Warwick Farm,2125.0,157.0,93.1,6.9,14177
Cartwright,824.0,53.0,94.0,6.0,10838
Lurnea,2736.0,125.0,95.6,4.4,12422
Prestons,4012.0,112.0,97.3,2.7,13260
Gymea Bay,2128.0,117.0,94.8,5.2,11827
Gymea,2979.0,215.0,93.3,6.7,11826
Grays Point,963.0,52.0,94.9,5.1,11743
Miranda (NSW),5673.0,451.0,92.6,7.4,12645
Yowie Bay,988.0,70.0,93.4,6.6,14519
Taren Point,649.0,42.0,93.9,6.1,13766
Caringbah,4714.0,317.0,93.7,6.3,10815
Sylvania Waters,1051.0,84.0,92.6,7.4,13718
Sylvania,3688.0,266.0,93.3,6.7,13717
Kangaroo Point (NSW),176.0,14.0,92.6,7.4,12060
Caringbah South,4072.0,272.0,93.7,6.3,10816
Dolans Bay,193.0,12.0,94.1,5.9,11266
Kurnell,699.0,53.0,93.0,7.0,12216
Greenhills Beach,203.0,9.0,95.8,4.2,11764
Cronulla,7731.0,908.0,89.5,10.5,11119
Bundeena,702.0,189.0,78.8,21.2,10672
Maianbar,192.0,62.0,75.6,24.4,12443
Woolooware,1402.0,93.0,93.8,6.2,14410
Lilli Pilli (Sutherland Shire - NSW),412.0,32.0,92.8,7.2,12322
Port Hacking,342.0,22.0,94.0,6.0,13244
Burraneer,1122.0,70.0,94.1,5.9,10705
Heathcote (NSW),2041.0,107.0,95.0,5.0,11883
Illawong,2255.0,126.0,94.7,5.3,11974
Alfords Point,913.0,44.0,95.4,4.6,10031
Barden Ridge,1196.0,39.0,96.8,3.2,10193
Menai,3299.0,118.0,96.5,3.5,12567
Bangor (NSW),1785.0,65.0,96.5,3.5,10177
Woronora,680.0,38.0,94.7,5.3,14420
Bonnet Bay,723.0,45.0,94.1,5.9,10469
Jannali,2177.0,141.0,93.9,6.1,12001
Oyster Bay,1698.0,110.0,93.9,6.1,13112
Como (NSW),1243.0,74.0,94.4,5.6,10996
Kareela,1141.0,49.0,95.9,4.1,12073
Kirrawee,3371.0,198.0,94.5,5.5,12172
Sutherland (NSW),4511.0,336.0,93.1,6.9,13701
Loftus,1352.0,66.0,95.3,4.7,12371
Engadine,5779.0,280.0,95.4,4.6,11422
Yarrawarrah,877.0,47.0,94.9,5.1,14485
Woronora Heights,836.0,32.0,96.3,3.7,14422
