,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Abbotsbury,4190.0,2080.0,2110.0,33.0,3943.0,1383.0,10.0,1108.0,1188.0,3.7,1603.0,1733.0,300.0
Abbotsford,4946.0,2377.0,2569.0,40.0,4089.0,1401.0,47.0,1323.0,2368.0,2.3,1472.0,2167.0,327.0
Acacia Gardens,3110.0,1512.0,1598.0,30.0,2732.0,1062.0,13.0,876.0,986.0,3.3,1746.0,2253.0,298.0
Adamstown,5267.0,2535.0,2732.0,36.0,4780.0,538.0,18.0,1333.0,2472.0,2.2,823.0,1300.0,180.0
Adamstown Heights,5190.0,2551.0,2639.0,42.0,4855.0,656.0,29.0,1523.0,2061.0,2.6,1115.0,1390.0,230.0
Airds,3742.0,1688.0,2054.0,23.0,3052.0,660.0,3.0,938.0,1238.0,3.1,503.0,867.0,120.0
Albion Park,11261.0,5592.0,5669.0,31.0,10328.0,1511.0,14.0,3107.0,3794.0,3.1,1184.0,1550.0,220.0
Albion Park Rail,6937.0,3355.0,3582.0,35.0,6206.0,1116.0,20.0,1929.0,2589.0,2.7,965.0,1339.0,200.0
Alexandria,5852.0,3091.0,2761.0,33.0,4386.0,1522.0,54.0,1384.0,3224.0,2.0,1690.0,2167.0,340.0
Alfords Point,3376.0,1692.0,1684.0,35.0,3201.0,724.0,6.0,902.0,950.0,3.7,2060.0,1780.0,405.0
Allambie Heights,6540.0,3122.0,3418.0,41.0,5839.0,1605.0,54.0,1758.0,2376.0,2.8,1314.0,2098.0,250.0
Allawah,4924.0,2338.0,2586.0,35.0,3693.0,2567.0,59.0,1321.0,2185.0,2.4,1025.0,1733.0,240.0
Ambarvale,7345.0,3577.0,3768.0,28.0,6340.0,1667.0,13.0,1962.0,2507.0,3.1,1020.0,1408.0,180.0
Annandale,8286.0,4025.0,4261.0,36.0,6778.0,1988.0,80.0,1958.0,3956.0,2.1,1673.0,2340.0,320.0
Argenton,1337.0,686.0,651.0,39.0,1227.0,135.0,4.0,369.0,561.0,2.4,678.0,1085.0,170.0
Arncliffe,8508.0,4281.0,4227.0,36.0,7189.0,3489.0,119.0,2113.0,3120.0,2.8,941.0,1924.0,220.0
Artarmon,8363.0,4064.0,4299.0,34.0,6380.0,3415.0,116.0,2165.0,3861.0,2.3,1578.0,2167.0,335.0
Ashbury,3242.0,1603.0,1639.0,39.0,2812.0,1055.0,20.0,876.0,1131.0,3.0,1352.0,2000.0,330.0
Ashcroft,3091.0,1527.0,1564.0,32.0,2599.0,1013.0,14.0,779.0,1134.0,2.9,602.0,1300.0,125.0
Ashfield,21260.0,10378.0,10882.0,35.0,14642.0,10585.0,305.0,5060.0,9287.0,2.3,1041.0,1733.0,245.0
Asquith,3092.0,1507.0,1585.0,40.0,2742.0,829.0,8.0,871.0,1175.0,2.8,1246.0,1928.0,310.0
Auburn,29968.0,15407.0,14561.0,29.0,20583.0,16909.0,258.0,6961.0,9813.0,3.3,736.0,1500.0,215.0
Austinmer,2211.0,1075.0,1136.0,40.0,2021.0,335.0,14.0,615.0,907.0,2.8,1547.0,1800.0,295.0
Avoca Beach,4196.0,2100.0,2096.0,38.0,3778.0,591.0,23.0,1128.0,2152.0,2.7,1147.0,1720.0,250.0
Balgowlah,6411.0,3047.0,3364.0,38.0,5393.0,1627.0,61.0,1749.0,2919.0,2.4,1461.0,2286.0,320.0
Balgowlah Heights,3191.0,1544.0,1647.0,41.0,2693.0,846.0,23.0,863.0,1114.0,3.0,2511.0,2800.0,695.0
Balgownie,5577.0,2726.0,2851.0,40.0,5131.0,1163.0,26.0,1583.0,2160.0,2.7,1157.0,1733.0,225.0
Balmain,9403.0,4536.0,4867.0,36.0,7402.0,2718.0,109.0,2382.0,4851.0,2.1,1876.0,2565.0,375.0
Balmain East,1688.0,802.0,886.0,40.0,1352.0,466.0,31.0,429.0,928.0,2.1,1980.0,2383.0,355.0
Bangor,5188.0,2562.0,2626.0,37.0,4827.0,819.0,15.0,1442.0,1673.0,3.2,1786.0,1750.0,348.0
Banksia,2955.0,1489.0,1466.0,38.0,2533.0,1319.0,11.0,836.0,1078.0,2.9,1092.0,1973.0,290.0
Bankstown,26446.0,13053.0,13393.0,31.0,20222.0,13417.0,200.0,6604.0,9673.0,2.9,762.0,1517.0,220.0
Bar Beach,1322.0,689.0,633.0,36.0,1199.0,149.0,11.0,296.0,710.0,2.1,886.0,2167.0,143.0
Barden Ridge,4191.0,2127.0,2064.0,31.0,3964.0,649.0,7.0,1087.0,1171.0,3.7,1903.0,1757.0,370.0
Bardwell Park,2386.0,1220.0,1166.0,37.0,2117.0,818.0,20.0,658.0,930.0,2.8,1190.0,2000.0,300.0
Bardwell Valley,1965.0,941.0,1024.0,37.0,1751.0,662.0,15.0,518.0,752.0,2.8,1105.0,1625.0,280.0
Barnsley,1799.0,934.0,865.0,32.0,1707.0,109.0,4.0,507.0,624.0,3.0,1047.0,1170.0,200.0
Barrack Heights,6160.0,3023.0,3137.0,37.0,5495.0,1407.0,6.0,1791.0,2418.0,2.7,778.0,1343.0,170.0
Barrack Point,549.0,275.0,274.0,45.0,492.0,74.0,0.0,141.0,291.0,2.2,949.0,2000.0,200.0
Bass Hill,7225.0,3617.0,3608.0,35.0,6270.0,2349.0,31.0,1843.0,2603.0,2.9,801.0,1733.0,200.0
Bateau Bay,11599.0,5317.0,6282.0,43.0,10393.0,1236.0,15.0,3145.0,4931.0,2.5,774.0,1500.0,210.0
Baulkham Hills,34490.0,16929.0,17561.0,36.0,30772.0,9965.0,232.0,9897.0,12539.0,2.9,1560.0,1950.0,300.0
Bayview,3090.0,1418.0,1672.0,52.0,2723.0,699.0,19.0,804.0,1351.0,2.5,1310.0,2203.0,470.0
Beacon Hill,6145.0,3031.0,3114.0,38.0,5498.0,1647.0,54.0,1723.0,2063.0,3.1,1561.0,2097.0,431.0
Beaconsfield,669.0,358.0,311.0,34.0,465.0,187.0,6.0,154.0,356.0,2.4,1710.0,2326.0,340.0
Beecroft,8614.0,4110.0,4504.0,43.0,7912.0,2327.0,85.0,2413.0,2992.0,3.0,2026.0,2167.0,380.0
Belfield,5707.0,2802.0,2905.0,37.0,4890.0,2249.0,30.0,1531.0,2125.0,2.8,933.0,1800.0,250.0
Bella Vista,6379.0,3138.0,3241.0,34.0,5631.0,2439.0,60.0,1681.0,1949.0,3.6,2196.0,2167.0,420.0
Bellambi,4172.0,2008.0,2164.0,34.0,3657.0,734.0,15.0,1136.0,1768.0,2.5,619.0,1407.0,135.0
Bellevue Hill,9446.0,4585.0,4861.0,36.0,7471.0,3089.0,170.0,2290.0,4395.0,2.4,2047.0,2700.0,370.0
Belmont,6476.0,3111.0,3365.0,43.0,5969.0,550.0,12.0,1766.0,2934.0,2.3,733.0,1517.0,165.0
Belmont North,5580.0,2700.0,2880.0,38.0,5226.0,424.0,5.0,1577.0,2156.0,2.6,863.0,1300.0,170.0
Belmont South,1166.0,565.0,601.0,38.0,1089.0,74.0,5.0,336.0,515.0,2.5,668.0,1200.0,170.0
Belmore,12129.0,6017.0,6112.0,36.0,9387.0,5696.0,79.0,3073.0,4741.0,2.7,804.0,1600.0,185.0
Belrose,8408.0,3951.0,4457.0,43.0,7470.0,2160.0,62.0,2323.0,2993.0,2.8,1576.0,2167.0,475.0
Bensville,2817.0,1428.0,1389.0,35.0,2569.0,310.0,5.0,769.0,939.0,3.2,1330.0,1700.0,260.0
Berala,7889.0,4002.0,3887.0,35.0,6194.0,4071.0,46.0,2035.0,2829.0,3.0,861.0,1500.0,195.0
Berkeley,7415.0,3628.0,3787.0,38.0,6394.0,1693.0,14.0,1983.0,2898.0,2.7,662.0,1300.0,126.0
Berkeley Vale,7980.0,3755.0,4225.0,35.0,7274.0,845.0,10.0,2175.0,3086.0,2.7,977.0,1408.0,220.0
Berowra,4281.0,2143.0,2138.0,36.0,3901.0,925.0,22.0,1186.0,1440.0,3.1,1717.0,1800.0,321.0
Berowra Heights,5180.0,2588.0,2592.0,37.0,4667.0,933.0,19.0,1452.0,1763.0,3.0,1592.0,1842.0,333.0
Beverley Park,2003.0,995.0,1008.0,41.0,1763.0,652.0,16.0,563.0,791.0,2.8,1137.0,1842.0,300.0
Beverly Hills,8052.0,3802.0,4250.0,40.0,6904.0,3206.0,50.0,2211.0,3095.0,2.7,1046.0,1733.0,260.0
Bexley,17916.0,8768.0,9148.0,36.0,14955.0,7056.0,116.0,4646.0,6616.0,2.8,1090.0,1793.0,250.0
Bexley North,3764.0,1831.0,1933.0,38.0,3358.0,1379.0,6.0,1050.0,1426.0,2.8,987.0,1950.0,250.0
Bidwill,4323.0,2024.0,2299.0,26.0,3484.0,913.0,0.0,1087.0,1430.0,3.1,584.0,1400.0,125.0
Birchgrove,3520.0,1706.0,1814.0,38.0,2790.0,895.0,41.0,919.0,1723.0,2.3,2340.0,2817.0,410.0
Birmingham Gardens,1846.0,913.0,933.0,32.0,1529.0,262.0,21.0,444.0,798.0,2.4,692.0,1045.0,200.0
Birrong,1984.0,981.0,1003.0,40.0,1712.0,778.0,10.0,517.0,722.0,2.9,894.0,1500.0,228.0
Blackalls Park,2773.0,1353.0,1420.0,38.0,2575.0,250.0,4.0,782.0,1123.0,2.6,780.0,1200.0,180.0
Blackbutt,3106.0,1479.0,1627.0,35.0,2747.0,733.0,15.0,839.0,1184.0,2.8,1088.0,1517.0,210.0
Blackett,3210.0,1574.0,1636.0,30.0,2622.0,732.0,6.0,823.0,1127.0,3.0,686.0,1138.0,149.0
Blacksmiths,1188.0,604.0,584.0,42.0,1138.0,53.0,0.0,340.0,508.0,2.6,923.0,1300.0,214.0
Blacktown,38914.0,19265.0,19649.0,33.0,31440.0,15426.0,234.0,10380.0,14735.0,2.8,972.0,1588.0,215.0
Blackwall,1858.0,905.0,953.0,43.0,1593.0,206.0,11.0,483.0,880.0,2.3,738.0,1473.0,200.0
Blairmount,541.0,349.0,192.0,20.0,478.0,129.0,0.0,103.0,133.0,3.2,1300.0,1767.0,215.0
Blakehurst,5337.0,2590.0,2747.0,41.0,4756.0,1443.0,24.0,1415.0,1874.0,3.0,1475.0,2167.0,306.0
Blaxland,6953.0,3439.0,3514.0,37.0,6424.0,1033.0,21.0,1954.0,2656.0,2.8,1383.0,1558.0,230.0
Blue Bay,922.0,414.0,508.0,46.0,787.0,96.0,5.0,242.0,682.0,2.1,639.0,1625.0,195.0
Blue Haven,5878.0,2834.0,3044.0,30.0,5324.0,732.0,4.0,1644.0,2181.0,2.9,894.0,1517.0,225.0
Bolton Point,2157.0,1018.0,1139.0,37.0,1962.0,154.0,3.0,578.0,832.0,2.6,631.0,1300.0,124.0
Bondi,9358.0,4699.0,4659.0,34.0,6123.0,3574.0,380.0,1844.0,4984.0,2.1,1244.0,2184.0,350.0
Bondi Beach,10373.0,5311.0,5062.0,33.0,5920.0,3188.0,582.0,1824.0,5920.0,1.9,1317.0,2167.0,340.0
Bondi Junction,8000.0,4006.0,3994.0,36.0,5055.0,3097.0,330.0,1699.0,4261.0,2.1,1320.0,2400.0,396.0
Bonnet Bay,2183.0,1103.0,1080.0,42.0,2032.0,332.0,7.0,661.0,745.0,3.0,1984.0,2000.0,378.0
Bonnyrigg,8303.0,4006.0,4297.0,32.0,7208.0,4232.0,25.0,2183.0,2528.0,3.4,736.0,1500.0,121.0
Bonnyrigg Heights,6942.0,3421.0,3521.0,31.0,6356.0,3558.0,28.0,1852.0,1928.0,3.7,1202.0,1700.0,240.0
Booker Bay,1404.0,669.0,735.0,50.0,1222.0,156.0,0.0,363.0,842.0,2.0,607.0,1511.0,210.0
Boolaroo,954.0,482.0,472.0,40.0,887.0,68.0,0.0,267.0,429.0,2.4,718.0,1096.0,180.0
Booragul,1427.0,630.0,797.0,45.0,1357.0,115.0,0.0,358.0,538.0,2.5,620.0,1135.0,133.0
Bossley Park,13932.0,7003.0,6929.0,35.0,12328.0,6525.0,44.0,3773.0,4235.0,3.4,1145.0,1600.0,240.0
Botany,7455.0,3687.0,3768.0,36.0,6243.0,2174.0,33.0,1921.0,2944.0,2.6,1191.0,2167.0,240.0
Bow Bowing,1602.0,773.0,829.0,31.0,1435.0,518.0,11.0,423.0,508.0,3.2,1229.0,1600.0,230.0
Bradbury,9239.0,4459.0,4780.0,34.0,8053.0,2014.0,44.0,2539.0,3506.0,2.7,1066.0,1500.0,195.0
Broadmeadow,1730.0,851.0,879.0,34.0,1588.0,234.0,10.0,437.0,832.0,2.2,833.0,1404.0,200.0
Bronte,6121.0,2998.0,3123.0,36.0,4853.0,1611.0,74.0,1473.0,2803.0,2.4,1706.0,2500.0,350.0
Brookvale,3223.0,1579.0,1644.0,36.0,2632.0,1083.0,98.0,864.0,1448.0,2.5,1255.0,2107.0,320.0
Budgewoi,2955.0,1479.0,1476.0,45.0,2628.0,344.0,5.0,828.0,1603.0,2.2,615.0,1300.0,180.0
Buff Point,3427.0,1632.0,1795.0,39.0,3085.0,396.0,3.0,956.0,1498.0,2.5,734.0,1343.0,200.0
Bulli,5453.0,2672.0,2781.0,38.0,4826.0,745.0,17.0,1450.0,2186.0,2.7,1087.0,1694.0,180.0
Burwood,11984.0,5753.0,6231.0,34.0,7811.0,6925.0,222.0,2849.0,4673.0,2.7,1005.0,1800.0,300.0
Burwood Heights,1011.0,467.0,544.0,38.0,873.0,365.0,7.0,217.0,294.0,3.0,1237.0,2113.0,274.0
Busby,3948.0,1894.0,2054.0,32.0,3401.0,1250.0,6.0,1026.0,1354.0,3.1,639.0,1300.0,150.0
Cabarita,2232.0,1102.0,1130.0,40.0,1806.0,683.0,20.0,620.0,831.0,2.8,1924.0,2980.0,590.0
Cabramatta,19812.0,9721.0,10091.0,35.0,16005.0,12349.0,105.0,5008.0,6973.0,2.9,631.0,1100.0,150.0
Cabramatta West,6390.0,3112.0,3278.0,35.0,5687.0,3378.0,19.0,1703.0,2035.0,3.3,762.0,1408.0,174.0
Cambridge Gardens,2079.0,1032.0,1047.0,31.0,1914.0,334.0,3.0,609.0,707.0,3.0,1300.0,1500.0,230.0
Cambridge Park,5979.0,2993.0,2986.0,32.0,5435.0,1029.0,5.0,1712.0,2294.0,2.7,1040.0,1500.0,215.0
Camden,3166.0,1492.0,1674.0,40.0,2877.0,422.0,13.0,804.0,1378.0,2.4,956.0,1733.0,220.0
Camden South,4363.0,2120.0,2243.0,36.0,3976.0,549.0,5.0,1253.0,1626.0,2.8,1289.0,1517.0,250.0
Cammeray,6695.0,3205.0,3490.0,36.0,5412.0,2080.0,84.0,1727.0,3544.0,2.1,1781.0,2200.0,350.0
Campbelltown,8013.0,3972.0,4041.0,35.0,6761.0,1860.0,22.0,2115.0,3441.0,2.5,822.0,1390.0,180.0
Camperdown,6544.0,3154.0,3390.0,30.0,4690.0,1779.0,186.0,1183.0,3154.0,1.9,1566.0,2282.0,350.0
Campsie,20508.0,10234.0,10274.0,35.0,14247.0,12592.0,290.0,5413.0,7846.0,2.8,777.0,1500.0,200.0
Canada Bay,1228.0,584.0,644.0,37.0,1039.0,389.0,5.0,340.0,505.0,2.5,1376.0,2000.0,305.0
Canley Heights,9813.0,4783.0,5030.0,33.0,8555.0,5320.0,27.0,2633.0,3093.0,3.3,794.0,1317.0,185.0
Canley Vale,8980.0,4434.0,4546.0,35.0,7596.0,5322.0,37.0,2273.0,3018.0,3.0,694.0,1300.0,165.0
Canterbury,5416.0,2730.0,2686.0,36.0,4376.0,2490.0,58.0,1425.0,2135.0,2.7,1006.0,1733.0,220.0
Canton Beach,1035.0,499.0,536.0,62.0,925.0,149.0,0.0,250.0,587.0,1.7,456.0,1083.0,160.0
Cardiff,5796.0,2829.0,2967.0,37.0,5433.0,498.0,16.0,1601.0,2431.0,2.5,901.0,1300.0,200.0
Cardiff Heights,2687.0,1348.0,1339.0,41.0,2512.0,289.0,4.0,739.0,998.0,2.8,1218.0,1322.0,205.0
Cardiff South,2881.0,1458.0,1423.0,36.0,2639.0,201.0,5.0,785.0,1154.0,2.6,977.0,1300.0,200.0
Caringbah,21281.0,10374.0,10907.0,39.0,19097.0,3287.0,107.0,5797.0,9023.0,2.5,1173.0,2000.0,265.0
Carlingford,21365.0,10681.0,10684.0,39.0,18444.0,8656.0,207.0,5888.0,7442.0,2.9,1335.0,1792.0,300.0
Carlton,9635.0,4784.0,4851.0,37.0,7650.0,4013.0,72.0,2490.0,3705.0,2.7,1079.0,1733.0,245.0
Carramar,2958.0,1498.0,1460.0,38.0,2344.0,1563.0,15.0,726.0,1311.0,2.4,625.0,1083.0,150.0
Carrington,1795.0,922.0,873.0,35.0,1531.0,162.0,3.0,421.0,896.0,2.1,736.0,1300.0,195.0
Carss Park,1215.0,584.0,631.0,41.0,1130.0,285.0,6.0,334.0,484.0,2.7,1300.0,2270.0,200.0
Cartwright,2084.0,1085.0,999.0,37.0,1698.0,694.0,5.0,485.0,914.0,2.5,509.0,1265.0,87.0
Castle Cove,2381.0,1172.0,1209.0,43.0,2085.0,889.0,47.0,688.0,883.0,2.9,2191.0,2876.0,608.0
Castle Hill,35386.0,16984.0,18402.0,38.0,31425.0,10815.0,240.0,9618.0,12726.0,3.0,1715.0,2080.0,320.0
Castlecrag,2807.0,1396.0,1411.0,41.0,2495.0,878.0,43.0,804.0,1022.0,3.0,2672.0,3000.0,600.0
Casula,13202.0,6436.0,6766.0,33.0,11427.0,5067.0,83.0,3591.0,4519.0,3.1,1115.0,1900.0,240.0
Caves Beach,4142.0,2015.0,2127.0,42.0,3900.0,408.0,8.0,1180.0,1639.0,2.8,983.0,1260.0,220.0
Cecil Hills,6778.0,3362.0,3416.0,31.0,6081.0,2788.0,5.0,1737.0,1857.0,3.8,1498.0,1800.0,285.0
Centennial Park,2138.0,1036.0,1102.0,34.0,1549.0,602.0,27.0,390.0,1288.0,1.8,1361.0,2050.0,295.0
Charlestown,11725.0,5673.0,6052.0,39.0,10858.0,1277.0,44.0,3321.0,4992.0,2.4,992.0,1343.0,210.0
Charmhaven,2211.0,1086.0,1125.0,36.0,2018.0,246.0,0.0,585.0,914.0,2.6,770.0,1300.0,200.0
Chatswood,13513.0,6256.0,7257.0,33.0,8642.0,7414.0,449.0,3420.0,6025.0,2.4,1188.0,2300.0,360.0
Chatswood West,7776.0,3746.0,4030.0,37.0,6055.0,3195.0,132.0,2104.0,3241.0,2.6,1719.0,2167.0,350.0
Cheltenham,2095.0,1001.0,1094.0,42.0,1933.0,498.0,17.0,593.0,714.0,3.1,2250.0,2500.0,400.0
Cherrybrook,18491.0,8950.0,9541.0,38.0,16098.0,7496.0,170.0,5070.0,5931.0,3.2,1857.0,2000.0,381.0
Chester Hill,10513.0,5203.0,5310.0,36.0,8932.0,3927.0,50.0,2644.0,3785.0,2.9,783.0,1500.0,200.0
Chifley,3078.0,1523.0,1555.0,41.0,2623.0,769.0,19.0,819.0,1164.0,2.8,1086.0,2000.0,200.0
Chippendale,4066.0,2188.0,1878.0,29.0,1595.0,1299.0,463.0,514.0,2060.0,1.9,1110.0,2000.0,320.0
Chipping Norton,8577.0,4256.0,4321.0,36.0,7562.0,2378.0,17.0,2308.0,2983.0,3.0,1367.0,1744.0,255.0
Chiswick,2377.0,1139.0,1238.0,34.0,1767.0,716.0,19.0,630.0,1240.0,2.1,1836.0,2409.0,390.0
Chittaway Bay,2128.0,1060.0,1068.0,36.0,1932.0,232.0,7.0,581.0,804.0,2.8,873.0,1430.0,210.0
Chittaway Point,804.0,406.0,398.0,40.0,730.0,95.0,3.0,220.0,354.0,2.7,1045.0,1517.0,245.0
Church Point,1153.0,578.0,575.0,45.0,1026.0,280.0,13.0,338.0,463.0,2.8,2271.0,2763.0,485.0
Claremont Meadows,3455.0,1720.0,1735.0,29.0,3006.0,848.0,10.0,928.0,1097.0,3.2,1284.0,1600.0,230.0
Claymore,3294.0,1532.0,1762.0,20.0,2505.0,831.0,3.0,771.0,1034.0,3.3,474.0,1263.0,112.0
Clontarf,1580.0,779.0,801.0,43.0,1410.0,436.0,19.0,446.0,574.0,3.0,2543.0,3500.0,525.0
Clovelly,4426.0,2152.0,2274.0,36.0,3687.0,1144.0,66.0,1152.0,2059.0,2.4,1783.0,2269.0,350.0
Coal Point,1731.0,856.0,875.0,46.0,1582.0,178.0,8.0,503.0,692.0,2.6,1317.0,1517.0,223.0
Coledale,963.0,469.0,494.0,37.0,888.0,125.0,5.0,267.0,385.0,2.7,1179.0,1517.0,280.0
Collaroy,14212.0,6963.0,7249.0,37.0,12439.0,2953.0,188.0,3849.0,5701.0,2.7,1502.0,2158.0,340.0
Colyton,7886.0,3949.0,3937.0,33.0,6739.0,1916.0,29.0,2130.0,2830.0,2.9,1054.0,1517.0,210.0
Como,3736.0,1873.0,1863.0,37.0,3552.0,490.0,10.0,1032.0,1290.0,3.0,1668.0,1950.0,300.0
Concord,13006.0,6341.0,6665.0,38.0,11281.0,4048.0,77.0,3490.0,5008.0,2.8,1352.0,2000.0,300.0
Concord West,5522.0,2689.0,2833.0,39.0,4854.0,1656.0,42.0,1481.0,2045.0,2.8,1391.0,2000.0,300.0
Condell Park,10415.0,5186.0,5229.0,34.0,9042.0,4087.0,40.0,2637.0,3459.0,3.1,931.0,1733.0,240.0
Coniston,1883.0,937.0,946.0,37.0,1651.0,632.0,3.0,485.0,839.0,2.3,775.0,1408.0,170.0
Connells Point,2864.0,1389.0,1475.0,41.0,2568.0,691.0,9.0,803.0,1065.0,2.9,1438.0,2167.0,340.0
Coogee,13179.0,6352.0,6827.0,34.0,9765.0,4059.0,776.0,3029.0,7061.0,2.1,1601.0,2167.0,340.0
Cooks Hill,2931.0,1337.0,1594.0,33.0,2502.0,377.0,20.0,614.0,1599.0,2.0,1050.0,1700.0,236.0
Copacabana,2672.0,1318.0,1354.0,36.0,2321.0,320.0,8.0,692.0,1372.0,2.8,1172.0,1500.0,240.0
Cordeaux Heights,5067.0,2550.0,2517.0,33.0,4596.0,960.0,20.0,1335.0,1512.0,3.4,1713.0,1564.0,239.0
Corrimal,6534.0,3191.0,3343.0,39.0,5920.0,1331.0,19.0,1816.0,2848.0,2.4,867.0,1517.0,175.0
Cranebrook,13100.0,6424.0,6676.0,28.0,11666.0,1876.0,19.0,3520.0,4375.0,3.1,1232.0,1600.0,200.0
Cremorne,10442.0,4808.0,5634.0,37.0,7791.0,3359.0,118.0,2503.0,5803.0,2.0,1750.0,2498.0,350.0
Cremorne Point,1820.0,832.0,988.0,41.0,1284.0,495.0,18.0,446.0,1063.0,2.0,2199.0,2809.0,391.0
Cringila,2181.0,1151.0,1030.0,37.0,1889.0,1010.0,6.0,596.0,859.0,2.9,612.0,953.0,153.0
Cromer,7635.0,3710.0,3925.0,39.0,6866.0,1758.0,50.0,2154.0,2878.0,2.8,1368.0,2000.0,363.0
Cronulla,16754.0,8419.0,8335.0,36.0,13943.0,2587.0,183.0,4017.0,9122.0,2.0,1148.0,2000.0,250.0
Croudace Bay,394.0,201.0,193.0,46.0,381.0,27.0,0.0,125.0,158.0,2.6,1055.0,1454.0,230.0
Crows Nest,3154.0,1538.0,1616.0,33.0,2401.0,958.0,33.0,771.0,1761.0,1.9,1639.0,2200.0,330.0
Croydon,9646.0,4746.0,4900.0,38.0,7807.0,3844.0,129.0,2443.0,3607.0,2.8,1175.0,1907.0,270.0
Croydon Park,10456.0,5006.0,5450.0,37.0,8847.0,3937.0,69.0,2772.0,4239.0,2.7,1046.0,1800.0,220.0
Curl Curl,2116.0,1055.0,1061.0,36.0,1848.0,417.0,23.0,556.0,820.0,2.8,1634.0,2167.0,380.0
